"Business name","Phone","Email","Website","State","City","Address"
"Cannasseur King","6616007177","HERBALEXPRESS13@MAIL.COM","","Palmdale","California","Palmdale, California US 93551"
"Herbal Express","661-361-8785","HERBALEXPRESS13@MAIL.COM","","Palmdale","California","Palmdale, California US 93550"
"Tree House","661-468-0272","treehouse7601@gmail.com","","Antelope Valley","California","Antelope Valley, California US 93550"
"Green Side Collective","(661)-609-7455 ","GREENSIDECOLLECTIVE@AOL.COM","","Antelope Valley","CA","Antelope Valley, CA USA 93501"
"AV Remedies Delivery","661-210-0426","avremedies@gmail.com","http://avremedies.nuggmd.com","Lancaster","CA","Lancaster, CA  93534"
"Valley's Finest Caregivers","661-468-0410","vfclancaster@gmail.com","","Lancaster","California","Lancaster, California US 93536"
"Sacred Garden","661-450-9755","sacredgardendelivery@gmail.com","http://SacredGardenDelivery.com","Antelope Valley","California","Antelope Valley, California US 91390"
"The GreenHouse Delivery","661-547-5909","sosdispensary@gmail.com","","Lancaster","California","Lancaster, California US 93534"
"Weed On Wheels","661-494-3234","weedonwheels024@gmail.com","http://wow.nuggmd.com","Quartz Hill","CA","Quartz Hill, CA  93536"
"Daily Grace Collective","6614453579","dailygracecollective@gmail.com","https://weedmaps.com/deliveries/daily-grace-collective","Antelope Valley","California","Antelope Valley, California US 93550"
"600s Cannabis","+1 (818) 423-0642","RAMIROREYES1080@GMAIL.COM","http://600delivery.com","Littlerock","California","Littlerock, California US 93543"
"AGC Delivery","661-450-9755","SacredGardenDelivery@gmail.com","http://SacredGardenDelivery.com","Antelope Valley","California","Antelope Valley, California US 93534"
"Top Herbal Connection","6614888499","topherbalconnection@gmail.com","","Antelope Valley","California","Antelope Valley, California US 93536"
"Kush Delivery Company LLC","661-916-6581","kushdeliveryco@gmail.com","https://kushdeliveryco.com","Antelope Valley","California","Antelope Valley, California US 93536"
"AV Discount","6615403923","avdoubled@gmail.com","","Lancaster","California","Lancaster, California US 93534"
"AV Discount","6615403923","avdoubled@gmail.com","","Lancaster","California","Lancaster, California US 93535"
"Hippie Delivery","562-616-1197","orders@olhippie.com","http://olhippie.com","Palmdale","California","Palmdale, California US 92648"
"Sold Profit Hustle","17605773522","soldprofithustle1@gmail.com","","Palmdale","California","Palmdale, California US 93552"
"SAVON420","1 (661) 418-8624","SAVON420@YAHOO.COM","","Antelope Valley","CA","Antelope Valley, CA USA 93535"
"Foreign Resources","4242987145","foreignresources420@gmail.com","","Lancaster","California","Lancaster, California US 93550"
"All Day Pharma","661-382-2728","alldaypharmaone@gmail.com","","Palmdale","California","Palmdale, California US 93535"
"PalmdaleCommute","(661)998-6576","palmdalecommute@gmail.com","","Palmdale","California","Palmdale, California US 93550"
"Hidden Hills","818-810-7849","misterandersxn@gmail.com","","Palmdale","California","Palmdale, California US 93550"
"Meds on Demand","818-747-6485","medsondemand420@gmail.com","","Antelope Valley","California","Antelope Valley, California US 93550"
"AV Flower Delivery","661-491-0700","avflowerdelivery@gmail.com","","Lancaster","California","Lancaster, California US 93534"
"CannaGarden","818-318-0378","cannagardenAV@gmail.com","","Palmdale/Lancaster (Antelope Valley)","California","Palmdale/Lancaster (Antelope Valley), California US 93550"
"Weed on Wheels","661-494-3234","weedonwheels024@gmail.com","","Palmdale","CA","Palmdale, CA USA 93543"
"Green Gold Delivery Service","6614859076","greengold.empire420@gmail.com","","Lake Los Angeles","California","Lake Los Angeles, California US 93535"
"Green Side Collective","661-609-7455","thegreensidecollective@outlook.com","","Little Rock","CA","Little Rock, CA (Select a country) 93543"
"All Green Delivery","661-494-5873","green.all@aol.com","","Lancaster","California","Lancaster, California US 93534"
"Kali Greens","6612702208","KaligreensWM@gmail.com","","Antelope Valley","California","Antelope Valley, California US 93536"
