"Business name","Phone","Email","Website","State","City","Address"
"Pleasant Trees Co-op","760-488-3065","bwk12125@msn.com","","Apple Valley","CA","Apple Valley, CA  92308"
"Global Meds - Apple Valley","760-490-5996","globalmeds760@gmail.com","","Apple Valley","California","Apple Valley, California US 92307"
"Desert Family Collective","4428003288","desertfamilycollectiv@gmail.com","","Apple Valley","California","Apple Valley, California US 92307"
"Connoisseur Supply Co.","916-298-1328","connoisseursupplyco@gmail.com","","Apple Valley","California","Apple Valley, California US 92308"
"Boss Bomb Budz","(760) 680-7645","bossbombbudz@gmail.com","","Apple valley","California","Apple valley, California US 92308"
"Flipside Farmacy","(760) 245-4542","AHGroupD@gmail.com","","Apple Valley","CA","Apple Valley, CA  92308"
"SoCAL Green Meds - Apple Valley","760-514-7007","patientinfo@socalgreenmeds.com","","Apple Valley","California","Apple Valley, California US 92307"
"Rollin Greens Inc.","760-905-9631","rollingreensinc@gmail.com","","Apple Valley","California","Apple Valley, California US 92308"
"Inland Hempire","7605246646","Inlandhempire21@gmail.com","","Apple valley","California","Apple valley, California US 92308"
"Wake N Bake","7029780661","WAKENBAKE92307@yahoo.com","http://wakenbakemedslasvegas.com","Apple Valley","California","Apple Valley, California US 92307"
"OG Cannabis - Apple Valley","(760) 760-4000","info@ogcannabis.com","https://www.ogcannabis.com","Apple Valley","California","Apple Valley, California US 92307"
"Green Scorpion","760-867-0888","greenscorpion760@gmail.com","https://www.greenscorpionorganics.com/","Apple Valley","California","Apple Valley, California US 92307"
"Homeboy Delivery","727-278-3670","HomeboyDelivery@gmail.com","","Apple Valley","CA","Apple Valley, CA USA 92307"
"Todays Meds","1-877-420-Meds","todaysmeds@yahoo.com","http://www.todaysmeds.com","Apple Valley","CA","Apple Valley, CA  92307"
"Mountain Organics - Lucerne Valley","(951) 878-0659","mtnorganics@gmail.com","","Lucerne Valley","CA","Lucerne Valley, CA  92356"
