"Business name","Phone","Email","Website","State","City","Address"
"CannaBeasts","(916) 800-7873","cannabeast18@gmail.com","http://cannabeast.co","Arden","California","Arden, California US 99999"
"NorCal Holistics","(916) 993-5361","orders@norcalholistics.org","http://www.norcalholistics.org","Arden Arcade","California","Arden Arcade, California US 95825"
"Organic Care of California","9163464233","organiccareofcalifornia@gmail.com","http://Organiccareofcalifornia.com","Arden-Arcade","California","Arden-Arcade, California US 95821"
"DubHub","916-917-0697","dubhub916@gmail.com","","Arden-Arcade","California","Arden-Arcade, California US 95821"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Sacramento","CA","Sacramento, CA  95825"
"Gaia Xpress","9162560431","greengaiaxpress@gmail.com","","Arden Arcade","California","Arden Arcade, California US 95821"
"Ohana Gardens","(916) 354-9646","info@ohanagardens.org","","Arden Arcade","CA","Arden Arcade, CA USA 95825"
"STC Alternative Healing","916-661-1542","info@stcalternativehealing.com","http://www.stcalternativehealing.com","Arden-Arcade","CA","Arden-Arcade, CA USA 95864"
"SacCity Compassion","916-204-7277","SacCityCompassion@gmail.com","","Arden Arcade","California","Arden Arcade, California US 95825"
"Dro Man's Collective - Carmichael","916 6472849","calidroman@gmail.com","","Sacramento","CA","Sacramento, CA  95821"
"Citadel Alternative Care - Carmichael","844-778-6741","order.citadel@gmail.com","","Carmichael","CA","Carmichael, CA  95608"
"Premium Meds","916-226-5336","Premiummeds916@gmail.com","","Carmichael","CA","Carmichael, CA  95608"
"Kanobi Farms","(916)267-9328","kanobifarms@gmail.com","","Arden","CA","Arden, CA USA 95825"
"SilverStreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Arden/Arcade","CA","Arden/Arcade, CA USA 95825"
"California Green Cross","(916) 600-0211","orders@californiagreencross.org","https://www.californiagreencross.org","Arden Arcade","California","Arden Arcade, California US 95825"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Sacramento","California","Sacramento, California US 95864"
"NORCANNA INC","916-671-3446","Norcanna@gmail.com","http://www.norcanna.com","Carmichael","CA","Carmichael, CA  95821"
"California Best Genetics","916-668-0001","delahighcompassion@gmail.com","","Arden-Arcade","California","Arden-Arcade, California US 95864"
"Exclusive Care","916-850-9607","exclusivecare916@gmail.com","","Arden-Arcade","California","Arden-Arcade, California US 95825"
"Potkings","(916) 472-4194  ","potkings916@gmail.com","","Carmichael","","Carmichael, US 95608"
"Norcanna Inc","916-671-3446","Norcanna@gmail.com","http://www.norcanna.com/","Rancho Cordova","CA","Rancho Cordova, CA  95670"
"Jay Goods Delivery","(916) 519-5747","jaygoodsdelivery@gmail.com","http://jaygoods.store","Arden-Arcade","California","Arden-Arcade, California US 95608"
"Trees Of Knowledge","916-494-8424","info@treesofknowledge.net","http://www.treesofknowledge.net","arden-arcade","California","arden-arcade, California US 95821"
"Urban Flavours Delivery - Arden-Arcade","855-232-7229","orders@urbanflavoursdelivery.com","http://www.urbanflavoursdelivery.com","Arden-Arcade","CA","Arden-Arcade, CA USA 95825"
"Exclusive Care","916-850-9607","exclusivecare916@gmail.com","","Sacramento","CA","Sacramento, CA United States 95670"
"Space Boy X","916 582-1996","spaceboyxpress@gmail.com","","Carmichael","California","Carmichael, California US 95821"
"The Plug Inc","916-794-5754","theplug916@gmail.com","","Rancho","California","Rancho, California US 95630"
"Ghostbudz","(916) 235-3640","ghostbudz420@gmail.com","","Arden","California","Arden, California US 95864"
"Organicc Matters","(916) 271-6901","bullybrocc@gmail.com","","Sacramento","California","Sacramento, California US 95825"
"Humble Root","9167935182","orders@humbleroot.com","http://www.humbleroot.com","Carmichael","CA","Carmichael, CA CA 95670"
"Zipp Delivery - Arden-Arcade/Carmichael","916-318-9931","info@zipp.delivery","","Arden-Arcade/Carmicheal","California","Arden-Arcade/Carmicheal, California US 95864"
"Fire Farms","916-430-8500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Arden-Arcade","CA","Arden-Arcade, CA  95825"
"Norcanna Inc","916-671-3446","Norcanna@gmail.com","http://www.norcanna.com/","Arden-Arcade","California","Arden-Arcade, California US 95821"
"Dank Dash","9166617324","dankdashcoop@gmail.com","","Rancho Cordova","CA","Rancho Cordova, CA  95825"
"Dank Dash","9166617324","dankdashcoop@gmail.com","","Carmichael","CA","Carmichael, CA  95825"
"Cali Cannabliss Health & Wellness","9162258681","420calideals@gmail.com","","Arden-Arcade","California","Arden-Arcade, California US 95864"
"INFINITE DELIVERY","916-265-4011","info@infinitedelivery.net","http://www.infinitedelivery.net","Carmichael","California","Carmichael, California US 95608"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Carmichael","California","Carmichael, California US 95608"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Arden-Arcade","California","Arden-Arcade, California US 95821"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Sacramento South","California","Sacramento South, California US 95670"
