"Business name","Phone","Email","Website","State","City","Address"
"The Re-Up Auburn","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Sacramento","California","Sacramento, California US 95650"
"Green Acres Delivery","530-270-9063","greenacreslocaldelivery@gmail.com","","Grass Valley","California","Grass Valley, California US 95949"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Auburn","California","Auburn, California US 95603"
"Premium Meds","916-226-5336","premiummeds916@gmail.com","","Auburn","CA","Auburn, CA  95603"
"NorCal Holistics","(916) 993-5361 ","order@norcalholistics.org","http://www.norcalholistics.org","Auburn","California","Auburn, California US 95603"
"Sac Medical Extracts","916-476-7859","sacmedicalextracts@gmail.com","","Auburn","California","Auburn, California US 95603"
"DubHub","916-420-0926","dubhub916@gmail.com","","Auburn","California","Auburn, California US 95603"
"The Re-Up","Text 916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Foresthill","California","Foresthill, California US 95631"
"The Re-Up","Text 916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Grass Valley","California","Grass Valley, California US 95949"
"CannaBeast","(916) 800-7873","cannabeasts18@gmail.com","","Auburn","California","Auburn, California US 95603"
