"Business name","Phone","Email","Website","State","City","Address"
"Cal Meds Delivery Service","661-565-4819","calmedalternatives@gmail.com","","Bakersfield, Wasco","CA","Bakersfield, Wasco, CA  93309"
"Bakersfield Medicinal Collective","661-292-9831","im420ready@hotmail.com","sc: bakomedipacks","Bakersfield","California","Bakersfield, California US 93305"
"MJs Delivery - Bakersfield","661-750-0049","mary@mjsdelivery.com","http://www.mjsdelivery.com","Bakersfield","California","Bakersfield, California US 93308"
"Bakersfield Express","661-779-4705","bfieldexpress@gmail.com","https://weedmaps.com/deliveries/bakersfield-expres","Bakersfield","California","Bakersfield, California US 93305"
"GreenTribe","661-703-5192","Greentribetrading@gmail.com","","Bakersfield","California","Bakersfield, California US 93313"
"Fyre Plug","8183993027","fyerplugelite@gmail.com","","Bakersfield","California","Bakersfield, California US 93313"
"Higher Generation","6613444201","highergenerationclub@gmail.com","","Bakersfield","California","Bakersfield, California US 93301"
"Medi - Drop","661-448-2899 ","medidrop661@gmail.com","","Bakersfield","California","Bakersfield, California US 93309"
"Weed Gott It","(661) 544-1595","weedgottit@gmail.com","","Bakersfield","California","Bakersfield, California US 93304"
"The Imperial Roots Collective","6614370343","info@theimperialroots.com","http://www.theimperialroots.com","Bakersfield","CA","Bakersfield, CA USA 93313"
"TJC Delivery","213-306-9342","TJCDelivery661@gmail.com","","Bakersfield","California","Bakersfield, California US 93301"
"MotaMen","6619128426","Motamen661@yahoo.com","","Bakersfield","California","Bakersfield, California US 93312"
"SoKind","661-699-3669","yousoverykind@gmail.com","","Bakersfield","California","Bakersfield, California US 93308"
"Bombay","661-662-6148","bombayinc@outlook.com","","Bakersfield","California","Bakersfield, California US 93308"
"Mothers Medicine Delivery Service","661-376-3859","mothersmedicine420@yahoo.com","","Bakersfield","California","Bakersfield, California US 93309"
"IMC","6618294412","imc.bksfld@gmail.com","","Bakersfield","California","Bakersfield, California US 93308"
"Medcannabis Farms","6615334090","services@mariawannahelpyou.com","","Bakersfield","California","Bakersfield, California US 93304"
"D's Kana Bus","661-623-2827","dskanabus@gmail.com","","Taft","California","Taft, California US 93268"
"Blue Ghost Inc.","(661) 344-4350 ","blueghostincorporated@gmail.com","","Bakersfield","California","Bakersfield, California US 93304"
"Empire Delivery - Bakersfield","(209) 299-6760","empirehealthandwellness64@gmail.com","http://www.empirehw.com","Bakersfield","California","Bakersfield, California US 93311"
"Bakersfield Medicinal Collective","661-292-9831","im420ready@hotmail.com","","Bakersfield","California","Bakersfield, California US 93305"
