"Business name","Phone","Email","Website","State","City","Address"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","Berkeley","CA","Berkeley, CA USA 94701"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://kushagram.com","Berkeley","California","Berkeley, California US 94704"
"Mountain Remedy","(925) 420-4215","info@mountainremedy.com","http://www.mountainremedy.com","Berkeley","California","Berkeley, California US 94704"
"GRO","510-631-1644","hello@gro.life","http://www.gro.life","Emeryville","CA","Emeryville, CA  94608"
"Green On The Go","(510) 7472283","greenonthego7@gmail.com","http://www.greenonthego7.com","Berkeley","California","Berkeley, California US 94704"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Berkeley","California","Berkeley, California US 94705"
"The Green Team Cannabis Delivery","510-697-1566","thegreenteam510@gmail.com","http://www.the-green-team.org","Berkley","California","Berkley, California US 94709"
"Herbi","844-464-3724","support@herbi.com","http://www.herbi.com","Berkeley","California","Berkeley, California US 94704"
"CRAFT Cannabis Delivery","855-563-2738","info@bayareacraft.com","http://bayareacraft.org","Berkeley","California","Berkeley, California US 94703"
"Overland","(844) 687-5263","info@overlanddelivery.com","","Berkeley","California","Berkeley, California US 94701"
"Cali Coast Delivery","510-325-6617","registration@calicoast420.com","http://www.calicoast420.com","Berkeley","California","Berkeley, California US 94701"
"Weed Now","510-488-4706","weednow510@gmail.com","http://www.getweednow.co","Berkeley","California","Berkeley, California US 94703"
"Fly Fast Delivery - Berkeley","(510) 776-2965","flyfast2017@gmail.com","http://www.flyfastfam.com","Berkeley","California","Berkeley, California US 94530"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://kushagram.com","Berkeley","California","Berkeley, California US 94703"
"Good Tree","510-725-4405","support@goodtreedelivery.com","","Hayward","California","Hayward, California US 90001"
"FLOWER CO.","415-360-0896","hello@flowercompany.com","https://www.flowercompany.com","Berkeley","California","Berkeley, California US 94704"
"Hii-Timez Delivery # 2","(510) 860-8387","hiitimezdelivery1@gmail.com","","Berkeley","California","Berkeley, California US 94720"
"Golden State Canna","5104993681","goldenstatecann@gmail.com","","Berkeley","CA","Berkeley, CA  94720"
"City Greens","415-993-6847","info@citygreens.org","http://www.citygreens.org","Oakland","California","Oakland, California US 94704"
"Smoakland - Berkeley","510-513-9570","register@smoakland.com","https://www.smoakland.com/","Albany","CA","Albany, CA USA 94706"
"Buzz Delivery","(844) 420-2899","info@buzzdelivery.org","http://www.buzzdelivery.org/","Berkeley","California","Berkeley, California US 94705"
"Fresh Mint - Berkeley","5106925365","freshmintmd@gmail.com","http://www.freshmintmd.com","Berkeley","California","Berkeley, California US 94710"
"Mountain Lion Delivery","(510) 878-7462","Mountainliondelivery@gmail.com","http://www.mountainliondelivery.com","Berkeley","California","Berkeley, California US 94705"
"Golden State Canna","5104993681","Goldenstatecann@gmail.com","","Orinda","CALIFORNIA","Orinda, CALIFORNIA United States 94563"
"QualiCanna","510-415-0060","qualicanna@gmail.com","http://www.qualicanna.com","Berkeley","California","Berkeley, California US 94703"
"C3 Delivery - Berkeley","(510) 616-8381","C3DeliveryBay@gmail.com","http://C3Delivered.com","Berkeley","California","Berkeley, California US 94701"
"The City.Delivery","510-900-9420","info@thecity.delivery","http://www.thecity.delivery","Berkeley","California","Berkeley, California US 94704"
"Urban Flavours Delivery - Berkeley","855-635-2868","orders@urbanflavoursdelivery.com","https://www.urbanflavoursdelivery.com","Berkeley","California","Berkeley, California US 94705"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://Kushagram.com","Berkeley","California","Berkeley, California US 94703"
"Mary & Joe","510-282-9557","info@supremeoakllc.com","http://www.maryandjoeshop.com","Berkeley","California","Berkeley, California US 94710"
"The City.Delivery-Campus","5109009420","info@thecity.delivery","http://www.thecity.delivery","Berkeley","California","Berkeley, California US 94704"
"KUSHAGRAM","5106338136","kgoak@kushagram.com","http://Kushagram.com","El Cerrito","California","El Cerrito, California US 94530"
"420 Friendly- Berkeley","5103973333","420friendly.us@gmail.com","http://the420friendly.com","Berkeley","California","Berkeley, California US 94702"
"Mary & Joe","510-282-9557","info@supremeoakllc.com","http://www.maryandjoeshop.com","Berkeley","California","Berkeley, California US 94707"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://Kushagram.com","Berkeley","California","Berkeley, California US 94709"
"Cannabud Express","5108336372","customer.service@cannabudexpress.com","http://www.cannabudexpress.com","Berkeley","California","Berkeley, California US 94705"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Berkeley","California","Berkeley, California US 94704"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Berkeley","California","Berkeley, California US 94710"
"Padre Mu","510-605-7071","delivery@padremu.com","http://www.padremu.com","Berkeley","California","Berkeley, California US 94704"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Berkeley","California","Berkeley, California US 94709"
"The Natural Fix - Berkeley","707-365-5104","thenaturalfix18@gmail.com","","Berkeley","California","Berkeley, California US 94704"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://Kushagram.com","Berkeley","California","Berkeley, California US 94702"
"Community Gardens","(510) 993-4123","hello@communitygardensdelivery.com","","Berkeley","CA","Berkeley, CA US 94704"
