"Business name","Phone","Email","Website","State","City","Address"
"OG Pharmacy","626-991-6909","og.pharmacyco@gmail.com","https://ogpharmacy.dropdelivery.app","Brea","California","Brea, California US 92821"
"Hyperwolf - Brea","(714) 988-4700","order@Hyperwolf.com","http://Hyperwolf.com","Brea","California","Brea, California US 92821"
"BudEx Delivery- La Habra","626-425-0432","sgvbudex@yahoo.com","","La Habra","California","La Habra, California US 90631"
"Clarity California Cannabis","(657) 254-6496","Michael@ObtainClarity.Com","http://www.obtainclarity.com","Brea","CA","Brea, CA  92870"
"1-866-DELIVERY","1-866-DELIVERY","info@DeliveryGreens.com","http://www.DeliveryGreens.com","La Habra","CA","La Habra, CA  90631"
"Puffy Delivery","657-341-3793","support@puffydelivery.com","http://puffydelivery.com","Brea","California","Brea, California US 92832"
"KUSHAGRAM - BREA","949-750-2002","donations@kushagram.com","http://kushagram.com","Brea","California","Brea, California US 92821"
"VIP","714-443-8862 ","vipot420@gmail.com","","La Habra","CA","La Habra, CA USA 92821"
"Best Remedy","626-371-5321","sgvbestremedy@yahoo.com","","Brea","CA","Brea, CA  92821"
"1 Stop OC - Brea","714-585-5657","santaanapc@gmail.com","","Brea","CA","Brea, CA  12345"
"40 Cap CC Delivery - La Habra","562-631-4161","40capCC@gmail.com","","La Habra","California","La Habra, California US 90631"
"POT Delivery","714-312-9707","potdeliveryoc@gmail.com","","Brea","California","Brea, California US 92886"
"Real Remedies - Brea","714-860-3240","realremediescollective@gmail.com","http://RealRemediesCollective.com","Brea","CA","Brea, CA  92831"
"420 Dank Delivery","562-547-8676","qualityorganicsolutions@gmail.com","","La Habra","Ca","La Habra, Ca  90703"
"Hill Valley Healers - Brea","657-234-7783","hillvalleyhealers@gmail.com","","Brea","California","Brea, California US 92822"
"Friendly Xpress","562-325-4435","friendlyxpress@gmail.com","","La Habra","California","La Habra, California US 90631"
"Flowers and Wax - Brea / La Habra","(657) 234-1420","brea@flowersandwax.com","http://brea.flowersandwax.com","Brea","California","Brea, California US 92821"
"Stone Zone Delivery - Brea","714-696-8718","stonezonecollective@gmail.com","","Brea","California","Brea, California US 92821"
"Mr.Chowws Remedies","714-773-2107","MrChowwsRemedies@Yahoo.com","","Brea","CA","Brea, CA  92821"
"Green Vibes Wellness","8005819346","greenvibeswellness@protonmail.com","","La Habra","California","La Habra, California US 92821"
"The Green Mile","714-323-9469","thegreenmiledelivery714@gmail.com","","Brea","California","Brea, California US 92821"
"Secret Nug Exchange","714-420-6133","snedelivers@gmail.com","","Brea","California","Brea, California US 91765"
"KUSHAGRAM - La Habra","949-750-2002","donations@kushagram.com","http://kushagram.com","La Habra","California","La Habra, California US 90631"
"SpaceLabz","714-905-9380","Spacelabsmedical221@gmail.com","","La Habra","California","La Habra, California US 90631"
