"Business name","Phone","Email","Website","State","City","Address"
"Bento - Campbell - Cupertino","415-862-3686","order@bento.delivery","http://www.bento.delivery","Campbell","California","Campbell, California US 95008"
"MINT XPRESS now Enjoymint","(408) 648-2253","info@enjoymintdelivered.com","http://www.mintxpress.net","Campbell","California","Campbell, California US 94015"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Campbell","CA","Campbell, CA  95008"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Campbell","California","Campbell, California US 95008"
"Community Wellness Center","(831) 221-6207","santacruzcwc@gmail.com","https://www.communitywellness.center/","Campbell","California","Campbell, California US 95008"
"Bento - Cupertino","415-862-3686","order@bento.delivery","http://www.bento.delivery","Cupertino","California","Cupertino, California US 95014"
"Bayshore now MINT XPRESS - Campbell","(408) 495-5167","info@mintxpress.net","http://www.mintxpress.net","Campbell","California","Campbell, California US 95129"
"Calis Finest Greens - Los Gatos/Saratoga","(408) 6615362","calisfinestgreens@yahoo.com","","Los Gatos","California","Los Gatos, California US 95032"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","Saratoga","CA","Saratoga, CA  95070"
"Enjoymint - Los Gatos","(833)295-2749","info@enjoymintdelivered.com","","Los Gatos","California","Los Gatos, California US 90001"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","San Jose","California","San Jose, California US 95129"
"Overland","(844) 687-5263","info@overlanddelivery.com","","Campbell","California","Campbell, California US 95008"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Cupertino","CA","Cupertino, CA US 95014"
"Green On The Go - Cupertino","510-688-4396","greenonthego7@gmail.com","","Cupertino","California","Cupertino, California US 95014"
