"Business name","Phone","Email","Website","State","City","Address"
"Sticky Selections","619-504-0065","Stickyselection710@gmail.com","","Carlsbad","California","Carlsbad, California US 92011"
"West Coast Farms","7602015470","onthemove92084@gmail.com","","Carlsbad","California","Carlsbad, California US 92010"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Carlsbad","California","Carlsbad, California US 92011"
"New Age Botanicals","855-472-0686","newageverify@gmail.com","http://newage.care","Carlsbad","California","Carlsbad, California US 92008"
"Speedy Weedy Delivery","657-333-3331","info@speedyweedydelivery.com","https://speedyweedydelivery.com","Carlsbad","California","Carlsbad, California US 92011"
"Better Daze - Carlsbad","619-876-3269","betterdazecollective@gmail.com","","Carlsbad","California","Carlsbad, California US 92008"
"Fuego Meds","619-396-4621","fuegomeds420@gmail.com","","Carlsbad","California","Carlsbad, California US 92084"
"The Gas Station Delivery - Carlsbad","1 (909) 420-5214","tgsdelivery@yahoo.com","","Carlsbad","CA","Carlsbad, CA USA 92008"
"Bud Rush","760-291-7326","budrush760@gmail.com","","Carlsbad","California","Carlsbad, California US 92010"
"Superfly Delivery","858-717-0563","superflydeliverysd@gmail.com","","Carlsbad","California","Carlsbad, California US 92008"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Carlsbad","California","Carlsbad, California US 92011"
"Dankology","619-504-8134","DANKOLOGYSD@GMAIL.COM","","Carlsbad","California","Carlsbad, California US 92009"
"House Of Dank","619-383-4740","houseofdank@yahoo.com","","Carlsbad","California","Carlsbad, California US 92008"
"Extraction - Carlsbad","949-375-8936","extraction420@gmail.com","","Carlsbad","CA","Carlsbad, CA USA 92008"
"Budzilla","6198360619","BudzillaSD619@protonmail.com","","Carlsbad","CA","Carlsbad, CA  92026"
"Puffy Delivery","760-273-5041","support@puffydelivery.com","http://puffydelivery.com","Carlsbad","California","Carlsbad, California US 92865"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Oceanside","California","Oceanside, California US 92008"
"Alpha - Carlsbad","619-306-3721","godfatherog710@gmail.com","","Carlsbad","California","Carlsbad, California US 92008"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Carlsbad","California","Carlsbad, California US 92011"
"Holistic Gardens Delivery","760-421-2942","HolisticGardensDelivery@gmail.com","","Carlsbad","California","Carlsbad, California US 92008"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","Carlsbad","CA","Carlsbad, CA  92010"
"Lunar Smokes","7602995712","lunarsmokescompany@gmail.com","","Carlsbad","California","Carlsbad, California US 92008"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","Carlsbad","California","Carlsbad, California US 92009"
"Nature's Own Remedy","9095330065","naturesownremedy2020@gmail.com","","San Diego","California","San Diego, California US 92008"
"Lunar Smokes","7602995712","lunarsmokescompany@gmail.com","","Carlsbad","California","Carlsbad, California US 92008"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Carlsbad","California","Carlsbad, California US 92008"
"MCEC - Carlsbad","760-299-6232","customerservice@mcecdelivery.com","https://mcecdelivery.com/shopping-cart/","Carlsbad","California","Carlsbad, California US 92011"
"Lunar Smokes","7602995712","lunarsmokescompany@gmail.com","","Carlsbad","California","Carlsbad, California US 92011"
