"Business name","Phone","Email","Website","State","City","Address"
"Nug Runner - Cerritos","562-714-1002","thenugrunner420@gmail.com","","Los Alamitos","California","Los Alamitos, California US 92701"
"KUSHAGRAM - CYPRESS","949-750-2002","donations@kushagram.com","http://kushagram.com","Cypress","California","Cypress, California US 90630"
"The Premium Choice","1 (657) 400-2740","tpccollective@gmail.com","","hawaiian Gardens","CA","hawaiian Gardens, CA  90716"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Cerritos","California","Cerritos, California US 90623"
"OneStopOC - Cerritos","714-585-5657","santaanapc@gmail.com","","Cerritos","CA","Cerritos, CA  90703"
"1-866-DELIVERY","1-866-DELIVERY","info@DeliveryGreens.com","http://www.DeliveryGreens.com","La Palma","CA","La Palma, CA USA 90623"
"Green Tree Remedy","3238005420","sales@greentreeremedy.com","","Cerritos","Ca","Cerritos, Ca  90703"
"Weedrive2U","(562) 350-5637","weedrive2u@gmail.com","","Cerritos","California","Cerritos, California US 90623"
"Higher Purpose Delivery","562-552-0889","higherpurposedelivery@gmail.com","http://HigherPurposeDelivery.com","Los Alamitos","California","Los Alamitos, California US 90720"
"Black Sheep","562-334-8660","blaacksheep625@gmail.com","","Cerritos","CA","Cerritos, CA  90703"
"Doobie Dash","562-658-7615","doobie420dash@gmail.com","","Cerritos","California","Cerritos, California US 90703"
"Good Tree","562-315-8955","support@goodtreedelivery.com","http://goodtreedelivery.com","Cerritos","California","Cerritos, California US 90703"
"Puffy Delivery - Cerritos","562-269-5560","support@puffydelivery.com","http://puffydelivery.com","Cerritos","California","Cerritos, California US 90703"
"That Place","562-221-7197","thatoneplacemaps@gmail.com","","Cerrtios","California","Cerrtios, California US 90713"
"UGC - UnderGround Cannabis","5623629052","ugclbc420@gmail.com","","Cerritos","California","Cerritos, California US 90630"
"SpaceLabz","714-905-9380","Spacelabsmedical221@gmail.com","","Cerritos","California","Cerritos, California US 90630"
"The Medicine Man (OPEN LATE)","310-951-6006","mundunugucaregivers@gmail.com","","Cerritos","California","Cerritos, California US 90703"
"Dopeboyz","5624131372","562dopeboys@gmail.com","","Cerritos","California","Cerritos, California US 90703"
"The Highest Choice","562-450-8232","gsuarez1355@gmail.com","","Cerritos","California","Cerritos, California US 90715"
"MoeGreenENERGY - Cerritos","(562) 349-4018","moegreenenergy@gmail.com","","Cerritos","CA","Cerritos, CA USA 90703"
"UGC - UnderGround Cannabis","5623629052","ugclbc420@gmail.com","","Cerritos","California","Cerritos, California US 90715"
"Mr.Chowws Remedies","714-773-2107","MrChowwsRemedies@Yahoo.com","","Cypress","CA","Cypress, CA  90630"
"Root215 - Cerritos","562-228-4408","root215delivery@gmail.com","","Cerritos","CA","Cerritos, CA USA 90623"
"The House Of Ounces","657-289-8133","TheLAhouseofounces@gmail.com","","Cerritos","California","Cerritos, California US 90703"
"KUSHAGRAM","949-750-2002","Donations@kushagram.com","http://kushagram.com","Cerritos","California","Cerritos, California US 90703"
"The Highest Choice","5624508232","gsuarez1355@gmail.com","","Artesia","California","Artesia, California US 90701"
