"Business name","Phone","Email","Website","State","City","Address"
"Recreational - Queen of Dragons","530-840-6420","queenofdragonsdelivery@yahoo.com","http://queenofdragons.com","Chico","California","Chico, California US 95928"
"Recreational - Queen of Dragons","530-840-6420","queenofdragonsdelivery@yahoo.com","http://queenofdragons.com","Chico","CA","Chico, CA (Select a country) 95929"
"Zente Farms - Chico","530-420-9001","zentefarms@gmail.com","","Chico","California","Chico, California US 95928"
"Golden State Meds - Durham","text or call 747-334-8589","goldenstatemeds@yahoo.com","","Chico","CA","Chico, CA USA 95928"
"High North - Chico/ Paradise","(530) 433-3651","info@high-north.club","http://high-north.club","Chico","California","Chico, California US 95928"
"Weed The People","530-570-4164","wtpchico@gmail.com","","Chico","California","Chico, California US 95928"
"Sovereign","530-717-7119","sovereignchico@gmail.com","http://www.sovereign707.com","Chico","California","Chico, California US 95928"
"Chico Grown","5309651550","chicogrown22@gmail.com","","Chico","CA","Chico, CA United States 95928"
"CEAS - Chico","650-556-5135","info@ceascollective.org","http://www.ceascollective.org","Chico","California","Chico, California US 95926"
"EZ and Young","530-321-9816","northstatepharms@gmail.com","","Chico","CA","Chico, CA USA 95926"
"JWC Deliveries -Recreational","916-968-6292","jwcdelivery@gmail.com","http://www.jwcdeliveries.co","Chico","California","Chico, California US 95928"
"GoodVibesRxDelivery","(530) 965-1211 ","goodvibesrxdelivery@gmail.com","http://www.goodvibesrxdelivery.com/","Chico","CA","Chico, CA  95928"
"Sticky Trees - Recreational and Medical","530-454-5152","Support@stickytreesdelivery.com","","Chico","California","Chico, California US 95926"
"Max Value","5307740094","btbutte@gmail.com","","Chico","CA","Chico, CA (Select a country) 95926"
"NorCal Green Fire Inc.","5303420420","norcalgreenfire@hotmail.com","http://norcalgreenfire.com","Chico","CA","Chico, CA  95926"
"HÈ","(530) 519-3409","contacthedirect@yahoo.com","","Chico","California","Chico, California US 95926"
"SnapDabs","5302406144","snapdabs710@gmail.com","http://www.snapdabs.com","Chico","California","Chico, California US 95927"
"The THC collective","530-456-6237","thccollective91@gmail.com","","Chico","CA","Chico, CA USA 95973"
"MLC Delivery","5306930504","marleylovecanna@gmail.com","","Chico","California","Chico, California US 95928"
"Top Flight Delivery","5307205131","tfdchico@gmail.com","","Chico","California","Chico, California US 95926"
"Dojo Reserve","833-843-3656","dojoreserve@gmail.com","","Chico","California","Chico, California US 95928"
"ganjarunner","(855) 554-2652","contact@ganjarunner.com","http://ganjarunner.com","Chico","California","Chico, California US 95928"
"Sacramento Confidential Delivery","(530) 433-9420","scdprop215@gmail.com","http://www.sacconfidential.com","Chico","California","Chico, California US 95928"
