"Business name","Phone","Email","Website","State","City","Address"
"Happy Time Delivery","(619) 402-2345","happytimegroup420@gmail.com","","Chula Vista","California","Chula Vista, California US 91910"
"True Meds Delivery Incorporated","619-332-9597","truemedsdelivery@gmail.com","","Chula Vista","CA","Chula Vista, CA  91910"
"Speedy Weedy Delivery","619-333-3335","sales@weedydelivers.com","https://speedyweedydelivery.com","National City","California","National City, California US 91950"
"E Z Treez Delivery","(619) 375-7120","eztreezdelivery@gmail.com","","Chula Vista","California","Chula Vista, California US 91910"
"Need 4 Weed","(619) 635-5694","N4W619@gmail.com","","Chula Vista/National City","CA","Chula Vista/National City, CA  91911"
"Supreme Meds","(619)486-2299","suprememeds1@gmail.com","","Chula Vista","California","Chula Vista, California US 91910"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Chula Vista / National City","California","Chula Vista / National City, California US 91950"
"Exotic Meds","619-610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","Chula Vista","CA","Chula Vista, CA  91914"
"Pronto Delivery","6198328845","sdbestdelivery@hotmail.com","","Chula Vista","California","Chula Vista, California US 91911"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","Chula Vista","California","Chula Vista, California US 91911"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","Chula Vista","CA","Chula Vista, CA  91911"
"$100.00 Oz","619-653-4122","iwholesalemedical@icloud.com","","San Diego / OceanSide","CA.","San Diego / OceanSide, CA.  91910"
"Freedom Farmers","619-818-1258","FreedomFarmers@yahoo.com","","San Diego","CA","San Diego, CA  92122"
"Exclusive Deals","619-396-6983","exclusivedeals2@gmail.com","","San Diego","California","San Diego, California US 91950"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Chula Vista","California","Chula Vista, California US 91913"
"Buzzed Bunny","619-900-3355","buzzedbunnyy@gmail.com","","Chula Vista","California","Chula Vista, California US 91910"
"Modern Medicine","(619) 862-4971","modernmedicinedelivers@gmail.com","","Chula Vista","CA","Chula Vista, CA USA 91911"
"VIP Specials","(619)631-9232","vipspecials420@gmail.com","","San Diego","CA","San Diego, CA USA 91911"
"Express Care","619-631-9592","Expresscaresd@gmail.com","","chula vista","CA","chula vista, CA (Select a country) 91910"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","Chula Vista","California","Chula Vista, California US 91915"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","Chula Vista","California","Chula Vista, California US 91911"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","http://sdgreenfellas.org","San Diego","California","San Diego, California US 92139"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","Bonita","California","Bonita, California US 91902"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Chula Vista","California","Chula Vista, California US 91911"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Chula Vista","California","Chula Vista, California US 91950"
"City Meds","6194322929","CITYMEDS2019@GMAIL.COM","","Chula Vista","California","Chula Vista, California US 91910"
