"Business name","Phone","Email","Website","State","City","Address"
"Fiori Delivery","(916) 407-3731","sales@fioridelivery.com","http://www.fioridelivery.com","Citrus Heights","California","Citrus Heights, California US 95825"
"DubHub","916-917-0697","dubhub916@gmail.com","","Citrus Heights","California","Citrus Heights, California US 95841"
"Convnt (Meditation Meds)","9166637138","MeditationMeds420@gmail.com","https://www.convnt.com","Citrus Heights","California","Citrus Heights, California US 95843"
"I Heart Canna - Citrus Heights / Orangevale","1 (844) 882-2662","iheartcannasacramento@gmail.com","https://iheartcanna.club/sacramento-menu/","Citrus Heights","California","Citrus Heights, California US 95662"
"California Best Genetics","(916) 241-3985","calisbestcannabis.ca@gmail.com","https://www.calibestgenetics.com/","Citrus Heights","California","Citrus Heights, California US 95621"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Citrus Heights","California","Citrus Heights, California US 95621"
"Potkings","(916) 472-4194  ","potkings916@gmail.com","","Sacramento","CA","Sacramento, CA  95842"
"VIP Express","916-500-8103","exclusivecare916@gmail.com","","Orangevale","California","Orangevale, California US 95610"
"Ohana Gardens","(916) 354-9646","info@ohanagardens.org","","Citrus Heights","California","Citrus Heights, California US 95628"
"Gaia Xpress","9162560431","greengaiaxpress@gmail.com","","Citrus Heights","CA","Citrus Heights, CA  95678"
"Citadel Alternative Care","844-778-6741","order.citadel@gmail.com","","Citrus Heights","CA","Citrus Heights, CA  95610"
"Trees Of Knowledge","9164948424","info@treesofknowledge.net","http://www.treesofknowledge.net","Citrus Heights","California","Citrus Heights, California US 95660"
"The Green Depot","916-889-3791","oaklandraiders42012@yahoo.com","","Citrus Heights","California","Citrus Heights, California US 95016"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Citrus Heights","CA","Citrus Heights, CA (Select a country) 95660"
"Fire Farms","916-430-8500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Citrus Heights","CA","Citrus Heights, CA  95610"
"Puffy Delivery","916-226-1789","support@puffydelivery.com","http://puffydelivery.com","Citrus Heights","California","Citrus Heights, California US 95621"
"Discount Meds","916-634-3984","sacdiscountmeds@gmail.com","","Citrus Heights","CA","Citrus Heights, CA (Select a country) 95628"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Citrus Heights","California","Citrus Heights, California US 95841"
"Green Frog","9164107839","4greenfrogdelivery@gmail.com","","Fair Oaks","Ca","Fair Oaks, Ca (Select a country) 95628"
"Space Boy X","(916) 582-1996","spaceboyxpress@gmail.com","http://www.spaceboyx.com","Citrus Heights","California","Citrus Heights, California US 95660"
"Higher Class Delivery","916-800-3873","HigherClassDelivery@gmail.com","https://mmjmenu.com/higherclassdelivery","Citrus Heights","","Citrus Heights,  US 95610"
"Sac Medical Extracts","916-476-7859","sacmedicalextracts@gmail.com","","Citrus Heights","California","Citrus Heights, California US 95610"
"Mountain High Recreation","(916) 673-7100","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Citrus Heights","CA","Citrus Heights, CA  95662"
"California Green Cross","(916) 600-0211","orders@californiagreencross.org","https://www.californiagreencross.org","Citrus Heights","California","Citrus Heights, California US 95610"
"NorCal Holistics - Citrus Heights","(916) 993-5361","orders@norcalholistics.org","http://www.norcalholistics.org","Citrus Heights","California","Citrus Heights, California US 95610"
"Exclusive Care","916-990-7070","exclusivecare916@gmail.com","","Citrus Heights","California","Citrus Heights, California US 95621"
"Cali Cannabliss Health & Wellness","9162258681","420calideals@gmail.com","","Citrus heights","California","Citrus heights, California US 95660"
"Organic Care of California","9163464233","Organiccareofcalifornia@gmail.com","http://Organiccareofcalifornia.com","Citrus Heights","CA","Citrus Heights, CA USA 95670"
"Urban Flavours Delivery - Citrus Heights","855-232-7229","orders@urbanflavoursdelivery.com","http://urbanflavoursdelivery.com","Citrus Heights","CA","Citrus Heights, CA USA 95842"
"ganjarunner","(855) 554-2652","contact@ganjarunner.com","http://ganjarunner.com","citrus heights","California","citrus heights, California US 95112"
"Ghostbudz","(916) 235-3640","ghostbudz420@gmail.com","","Citrus Heights","California","Citrus Heights, California US 95621"
"Sacramento Confidential Delivery","9165204512","scdprop215@gmail.com","","Citrus Heights","California","Citrus Heights, California US 95660"
"Premium Meds","916-226-5336","premiummeds916@gmail.com","","Citrus Heights","CA","Citrus Heights, CA  95621"
"Dank Dash","9166617324","dankdashcoop@gmail.com","","Citrus Heights","CA","Citrus Heights, CA  95610"
"Urban Flavours Delivery - Orangevale","855-232-7229","orders@urbanflavoursdelivery.com","https://urbanflavoursdelivery.com","Citrus Heights","CA","Citrus Heights, CA (Select a country) 95842"
"SacCity Compassion","916-204-7277","SacCityCompassion@gmail.com","","Carmichael","California","Carmichael, California US 95608"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Citrus Heights","California","Citrus Heights, California US 95621"
"Humble Root","9167935182","orders@humbleroot.com","https://www.humbleroot.com","Antelope","California","Antelope, California US 95843"
"VIP Express","916-500-8103","exclusivecare916@gmail.com","","Antelope","California","Antelope, California US 95610"
"Fleet Flower","9166980013","fleetflower916@gmail.com","http://www.fleetflower.com","Orangevale","California","Orangevale, California US 95662"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Orangevale","California","Orangevale, California US 95610"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Citrus Heights","California","Citrus Heights, California US 95610"
"VIP Express","916-500-8103","exclusivecare916@gmail.com","","Fair Oaks","California","Fair Oaks, California US 95628"
