"Business name","Phone","Email","Website","State","City","Address"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Clairemont Kearny","California","Clairemont Kearny, California US 92123"
"Speedy Weedy Delivery","619-333-3331","sales@weedydelivers.com","https://speedyweedydelivery.com","Kearny Mesa","California","Kearny Mesa, California US 92111"
"MedMen Delivery - Clairemont Kearny","(619) 450-8909","info.sandiego@medmen.com","https://medmen.com/stores/san-diego-kearny-mesa","Clairemont Kearny","California","Clairemont Kearny, California US 92117"
"True Meds Delivery Incorporated","(619) 5770910","truemedsdelivery@gmail.com","","San Diego","CA","San Diego, CA  92110"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Clairemont","","Clairemont, US 92111"
"Exotic Meds","619-610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","San Diego","CA","San Diego, CA San Diego 92020"
"Dankology- Clairemont Kearny","6194935337","DANKOLOGYSD@GMAIL.COM","","Clairemont","California","Clairemont, California US 92020"
"House Of Dank","6194860730","HOUSEOFDANK@YAHOO.COM","","Clairemont","CA","Clairemont, CA  92117"
"Anodized Group","(858) 344-1356","anodizedgroup@gmail.com","","San Diego","CA","San Diego, CA  92111"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","Clairemont","CA","Clairemont, CA (Select a country) 92111"
"Supreme Meds","(619) 486-2299","suprememeds1@gmail.com","","Clairemont","California","Clairemont, California US 92110"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Clairemont","CA","Clairemont, CA  92117"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","Clairemont Kearny","CA","Clairemont Kearny, CA  92110"
"Holy Green","619-387-6952","forbiddengreen@yahoo.com","","San Diego","California","San Diego, California US 92111"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92123"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Diego","CA","San Diego, CA  92110"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","San Diego","California","San Diego, California US 92129"
"Purple Dragon Delivery","619-635-1729","Purpledragonsd@gmail.com","http://sandiegomedicalcannabisdelivery.com","San Diego","California","San Diego, California US 92123"
"Chili Dogg Deliveries","858-405-9878","ChiliDoggDeliveries@gmail.com","","San Diego","California","San Diego, California US 92014"
"Super Buds","6199199666 ","SUPERBUDSSD@GMAIL.COM","","Clairemont","California","Clairemont, California US 92117"
"Buzzed Bunny","619-900-3355","buzzedbunnyy@gmail.com","","San Diego","California","San Diego, California US 92111"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","http://sdgreenfellas.org","Clairemont","California","Clairemont, California US 92117"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","Clairemont","CA","Clairemont, CA  92117"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","San Diego","California","San Diego, California US 92111"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","Clairemont","California","Clairemont, California US 92123"
"Bud Club","619-874-4793","budclubsd@hushmail.com","","Delivery","CA","Delivery, CA  92111"
"Golden State Greens Point Loma - La Jolla","6192688035","delivery@goldenstategreens.com","http://plpcc.org/download-app","San Diego","California","San Diego, California US 92107"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92117"
"Limitless Care Collective","619-301-8903","limitlesscollectives@icloud.com","","Clairemont","CA","Clairemont, CA  92111"
"Clone Kings","8582287937","clonekingssd@gmail.com","","Clairemont","California","Clairemont, California US 92117"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","San Diego","California","San Diego, California US 921"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92124"
"Bud Club","619-874-4793","CallorText@dontemail.com","","Clairemont Kearny","CA","Clairemont Kearny, CA  92117"
"Limitless Care Collective","619-301-8903 ","limitlesscarecollec@gmail.com","","San Diego","CA","San Diego, CA  92110"
"Seaside Holistics CBD","(855)728-9223","seasideholistic@gmail.com","http://seasideholistics.com","San Diego","California","San Diego, California US 92117"
