"Business name","Phone","Email","Website","State","City","Address"
"Hermies Herbs","5593563443","hermiesherbs@gmail.com","","Clovis","California","Clovis, California US 93612"
"MJ 13 Delivery","559-712-1516","Mj13elevated@gmail.com","","Clovis","California","Clovis, California US 92561"
"Empire Delivery - Clovis","(209) 299-6760","empirehealthandwellness64@gmail.com","http://www.empirehw.com","Clovis","California","Clovis, California US 93611"
"CLOUD LEGENDS 420","559-269-7236","cloudlegends420@gmail.com","http://www.CLOUDLEGENDS420.COM","Clovis","California","Clovis, California US 93726"
"The Valleys Finest","559-575-5554","thevalleysfinest215@gmail.com","","Clovis","California","Clovis, California US 93611"
"Top Shelf","(559) 349-0109","topshelf92@yahoo.com","","Clovis","CA","Clovis, CA  93611"
"Tiny Weeds","5594121658","420tinyweeds@gmail.com","","Clovis","California","Clovis, California US 93611"
"Green Medical Express - Clovis","559-593-6337","greenmedicalexpress@gmail.com","","Clovis","CA","Clovis, CA United States 93612"
"THE PLUG","(559) 668-6444","FresnoPlug@GMAIL.com","","CLOVIS","California","CLOVIS, California US 93612"
"Care Package Deliveries","(559) 770-5608","CarePackageDeliveries@gmail.com","","Clovis","California","Clovis, California US 93710"
"Royalty Quality Tree","(408) 722-1768","Royaltyqualitytree@gmail.com","","Clovis","California","Clovis, California US 93612"
"Gaia's Garden","5592467654","gaiasgardenfresno559@gmail.com","","Clovis","California","Clovis, California US 93612"
"Guaranteed Flight 559 - Clovis","559-288-4044","guaranteedflight559@gmail.com","","Clovis","California","Clovis, California US 93611"
"Heat Seekers","702-850-9880","officialheatseekers420@gmail.com","","Clovis","California","Clovis, California US 93710"
"The Gas Station - Clovis","559-981-0696","thegasstationfresno@gmail.com","","Clovis","California","Clovis, California US 93619"
"LowCostBuds","559-307-9463","LowCostBuds@gmail.com","","Clovis","California","Clovis, California US 93726"
"559 Flowerz","559-978-6305","559flowerz@gmail.com","","Clovis/Fresno","CA","Clovis/Fresno, CA USA 93720"
"Top Shelf","559-349-0109","topshelf92@yahoo.com","","Clovis","CA","Clovis, CA  93611"
"Hempceuticals","559-412-6078","hempceuticals559@gmail.com","","Fresno","California","Fresno, California US 93726"
"24/7 Heaven","559-217-3161","247heavencoop@gmail.com","","Clovis","CA","Clovis, CA (Select a country) 93740"
"Greenthumb","5597019771","mjmacc11@gmail.com","","Clovis","California","Clovis, California US 93611"
"Tiny Weeds","5594121658","420tinyweeds@gmail.com","","Clovis","California","Clovis, California US 93611"
"CannaBabes","559-795-6000","cannababesfresno@gmail.com","","Clovis","California","Clovis, California US 93612"
"Hermies Herbs","5592812519","hermiesherbs@gmail.com","","Parlier","California","Parlier, California US 93648"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Clovis","California","Clovis, California US 93726"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Clovis","California","Clovis, California US 93726"
"CannaBabes","559-795-6000","cannababesfresno@gmail.com","","Fresno","California","Fresno, California US 93720"
