"Business name","Phone","Email","Website","State","City","Address"
"Honor Roll Delivery","(888) 884-7229","honorrolldelivery@gmail.com","http://www.honorrolldelivery.com","West Covina","California","West Covina, California US 91790"
"Buddies","626-238-8784","buddiesmedexpress@yahoo.com","","Covina","California","Covina, California US 91744"
"Mellow Martian - Glendora/Covina","626-720-9344","mellowmartiancollective@gmail.com","http://mellowmartian.com","Covina","CA","Covina, CA USA 91724"
"High Rollers Xpress","626-615-3720","HIGHRx420@gmail.com","","West Covina","California","West Covina, California US 91791"
"Green Vibes Wellness","1(800) 581-9346","GreenvibesWellness@protonmail.com","","Covina","California","Covina, California US 91723"
"Taste Budz","626-502-9194","taste_budz1@yahoo.com","","West Covina","California","West Covina, California US 90001"
"Loilty Caregivers","6262951638","loiltycaregivers@yahoo.com","","Covina","CA","Covina, CA  91723"
"Wee-Delivery Medical Marijuana Collective","888-422-9658","donationsweedelivery@gmail.com","https://www.wee-delivery.com/","Covina","CA","Covina, CA  91722"
"SGV MED EXPRESS","626-200-3587","sgv20132@yahoo.com","","Covina","Ca","Covina, Ca USA 91724"
"Sky High Originals - WEST COVINA","6264652724","weedmaps626@gmail.com","","West Covina","California","West Covina, California US 91706"
"World Class Cannabis","949-554-4233","WorldClassCannabis420@gmail.com","","Covina","California","Covina, California US 91723"
"Real Monster Delivery","8052856973","realmonsterdelivery@gmail.com","","Covina","California","Covina, California US 91722"
"Eufloric Healing","(626) 379-6072","eh.main2019@gmail.com","","Covina","California","Covina, California US 91722"
"Quality Meds Delivery","626-782-3270","qualitymedsdelivery@gmail.com","","Covina","California","Covina, California US 91722"
"The Green Goose","(626)848-5060","thegreengoose@gmail.com","","Covina","CA","Covina, CA  91724"
"The Wizard Of OZ","626 626-5434","greenwolfpreico@yahoo.com","","Anywhere in SGV","California","Anywhere in SGV, California US 91706"
"Hatters House of Holistics","626-607-9627 ","hattershouse710@gmail.com","","San Gabriel Valley","California","San Gabriel Valley, California US 91789"
"Mom & Pop Delivery","(626) 464-2703","Dalekweed27@yahoo.com","","Covina","California","Covina, California US 91722"
"Best Choice Deliveries - Covina","626-820-2548  ","BestChoiceDeliveries@gmail.com","","Covina","CA","Covina, CA  91706"
"Rolling Up","2139992786","rollingupsgv@gmail.com","","West Covina","California","West Covina, California US 91793"
"The New Frontier","6266329598","thenewfrontierassoc@gmail.com","","Covina","California","Covina, California US 91722"
"420 Cure","6269913140","Healthyliving4200@gmail.com","","West Covina","CA","West Covina, CA  91790"
"Mr. Chowws Remedies","626-622-5998","MrChowwsRemedies@Yahoo.com","","Covina","CA","Covina, CA  91723"
"Hyperwolf - Baldwin Park 2.0","310-566-8384","order@hyperwolf.com","http://www.HyperWolf.com","Baldwin Park","California","Baldwin Park, California US 91706"
"Red Eye Meds","(650) 489-4914","theredeyeclub420@gmail.com","http://theredeyeclub.com","Covina","California","Covina, California US 91706"
"The Highest Choice","(626)413-2682","thehighestchoice@gmail.com","","Covina","California","Covina, California US 91723"
"MCEC - Covina","760-299-6232","customerservice@mcecdelivery.com","https://mcecdelivery.com/shopping-cart/","West Covina","California","West Covina, California US 91791"
"Route 22","909-569-4529","myroute2248@yahoo.com","","Covina","California","Covina, California US 91790"
"OG Pharmacy","9094564169","og.pharmacyco@gmail.com","https://ogpharmacy.dropdelivery.app","Covina","California","Covina, California US 91724"
"Hyperwolf - West Covina 2.0","310-566-8384","order@hyperwolf.com","http://www.HyperWolf.com","West Covina","California","West Covina, California US 91790"
"Green Gold Express","6264983080","greengoldexp.1@gmail.com","","Covina","California","Covina, California US 91790"
"THRC - VERIFIED PRODUCTS","(323) 868-2207","THRC1012@gmail.com","","West Covina","California","West Covina, California US 91790"
"Seven Leaves Delivery","626-489-9491","sevenleavesdelivery@gmail.com","","Covina","California","Covina, California US 91722"
