"Business name","Phone","Email","Website","State","City","Address"
"The Good People Farms","530-758-9333","info@thegoodpeoplefarms.com","http://www.thegoodpeoplefarms.com","Davis","California","Davis, California US 95618"
"Green Life Davis","530-802-0072","orders@gldelivery.com","http://gldelivery.com","Davis","California","Davis, California US 95616"
"People's Kush","(530) 302-5661","info@peopleskush.org","http://peopleskush.org","Davis","California","Davis, California US 95616"
"CakeBaby","747-240-0173","CakeBabyKitchen@gmail.com","","Davis","California","Davis, California US 95618"
"Premium Meds","916-226-5336","premiummeds916@gmail.com","","Davis","CA","Davis, CA  95618"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Davis","Ca","Davis, Ca  95616"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Dixon","California","Dixon, California US 95620"
"Puffy Delivery","530-298-6950","support@puffydelivery.com","http://puffydelivery.com","Davis","California","Davis, California US 95616"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Davis","California","Davis, California US 95616"
"Exclusive Care","916-790-4228","exclusivecare916@gmail.com","","Woodland","CA","Woodland, CA  95695"
"Earthman Meds","(916) 538-9468","earthmanmeds@gmail.com","","Davis","CA","Davis, CA USA 95691"
"Green Life Woodland","530-802-0072","orders@gldelivery.com","http://gldelivery.com","Woodward","CA","Woodward, CA  95695"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Davis","California","Davis, California US 95616"
"Exclusive Care","916-790-4228","exclusivecare916@gmail.com","","Davis","CA","Davis, CA United States 95618"
"Budcars","916-306-0420","hello@budcars.com","http://www.budcars.com","Davis","California","Davis, California US 95616"
"Budcars","916-306-0420","hello@budcars.com","http://www.budcars.com","Davis","California","Davis, California US 95695"
"The Natural Fix - Dixon","707-580-1522 707-365-5104","thenaturalfix18@gmail.com","","Dixon","California","Dixon, California US 95620"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Davis","California","Davis, California US 95616"
