"Business name","Phone","Email","Website","State","City","Address"
"MedMen Delivery - Del Mar","(858) 529-1985","info.sorrentovalley@medmen.com","https://medmen.com/stores/san-diego-sorrento-valley","San Diego","California","San Diego, California US 92130"
"Sticky Selections","619-493-7637","Stickyselection710@gmail.com","","Del Mar","California","Del Mar, California US 92014"
"Speedy Weedy Delivery","657-333-3331","info@speedyweedydelivery.com","https://speedyweedydelivery.com","Del Mar","California","Del Mar, California US 92037"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Del Mar","California","Del Mar, California US 92014"
"Weedrive","6194022849","weedrive1@gmail.com","","Del Mar","California","Del Mar, California US 92014"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Del Mar","California","Del Mar, California US 92014"
"Herbs & Meds","858-648-8678","herbsnmeds@gmail.com","","del mar","California","del mar, California US 92014"
"Golden State Greens Point Loma - Del Mar","6192688035","delivery@goldenstategreens.com","","Del Mar","California","Del Mar, California US 92014"
"Duckys Meds","619-404-8705","duckys619@gmail.com","","San Diego","California","San Diego, California US 92014"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Diego","CA","San Diego, CA  92126"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Del Mar","California","Del Mar, California US 92130"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","Del Mar","CA","Del Mar, CA (Select a country) 92130"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Del Mar","California","Del Mar, California US 92130"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","Del Mar","California","Del Mar, California US 92014"
