"Business name","Phone","Email","Website","State","City","Address"
"KUSHAGRAM - DTLA","323-739-1134","donations@kushagram.com","http://kushagram.com","Los Angeles","California","Los Angeles, California US 90017"
"Budex","626-554-4813","sgvbudex@yahoo.com","","Los Angeles","California","Los Angeles, California US 90017"
"BudHub Delivery - Downtown Los Angeles","213-806-9508","hello@gobudhub.com","","Los Angeles","California","Los Angeles, California US 90012"
"TMC The Members Club","(213) 700-1579","themembersclub420@gmail.com","","Los Angeles","California","Los Angeles, California US 90015"
"Kush House","626-328-9108","Kushhouse@gmail.com","","Downtown Los Angeles","California","Downtown Los Angeles, California US 90015"
"Kush Factory Delivery","323-633-1007","kushdelivery3@gmail.com","","Downtown LA","California","Downtown LA, California US 90014"
"Greenfer","323-631-2975","collectivegreenfer@gmail.com","","Downtown LA","California","Downtown LA, California US 90015"
"OrangeLeaf","818-572-5156 ","orangeleaf2007@mail.com","","Downtown LA","California","Downtown LA, California US 90014"
"Green Tree Remedy","3238005420","sales@greentreeremedy.com","","LA","CA","LA, CA  90021"
"Kush Klinic","323-454-7010","kushklinic@gmail.com","https://kushklinic.com/","Los Angeles","CA","Los Angeles, CA USA 90021"
"LA DANKTOWN","213-999-1387","ladanktown@gmail.com","","Downtown LA","CA","Downtown LA, CA (Select a country) 90017"
"HERB","(844) 437-2213","support@HERB.delivery","http://www.HERB.delivery","Los Angeles","California","Los Angeles, California  90014"
"DGLA","3234644745","DGLAORDERS@gmail.com","","Los angeles","California","Los angeles, California US 90071"
"Metro Green Meds - Downtown LA","310-261-8827","mgmmeds@gmail.com","http://www.metrogreenmeds.com","Downtown LA","California","Downtown LA, California US 90014"
"Discreet Medical Cannabis","(323) 491-7491","discreetmedicalcannabis@gmail.com","","Downtown LA","California","Downtown LA, California US 90015"
"Puffy Delivery - DTLA","213-814-1130","support@puffydelivery.com","http://puffydelivery.com","Downtown LA","California","Downtown LA, California US 90021"
"Mood Delivery","818-617-4444","support@mooddelivery.com","https://www.mooddelivery.com","Los Angeles","California","Los Angeles, California US 90015"
"Hello Happy Delivery - Downtown LA","818-912-4745","hellohappydelivery@gmail.com","","Los Angeles","California","Los Angeles, California US 90014"
"Downtown Care","213 999-9014 ","Downtowncare1@yahoo.com","","Los Angeles","California","Los Angeles, California US 90012"
"THRC - VERIFIED PRODUCTS","(323) 868-2207","THRC1012@gmail.com","","Los Angeles","California","Los Angeles, California US 90012"
"Diamond Garden","(310) 883-8935","jfloyd479@gmail.com","","Los Angeles","California","Los Angeles, California US 90015"
"The Private Reserve","323-488-5050","ThePrivateReserveLA@gmail.com","","Downtown LA","California","Downtown LA, California US 90071"
"The Buddha Company - DTLA","(213) 628-3144","thebuddhacompanyla@gmail.com","","Los Angeles","","Los Angeles,  US 90014"
"RUSH","818-927-9923","rushdeliveryla@gmail.com","","Los Angeles","California","Los Angeles, California US 90012"
"Cured Cannabis - Downtown LA","213-275-9996","curedcannabis@gmail.com","http://WWW.CUREDCANNABISDELIVERY.COM","Los Angeles","California","Los Angeles, California US 90014"
"Buddha Company - DTLA","(213) 628-3144","thebuddhacompanyla@gmail.com","","Los Angeles","California","Los Angeles, California US 90012"
"Starleaf","501-550-5055","starleaf@yahoo.com","","Downtown LA","Ca","Downtown LA, Ca  90015"
"420Ganja","(323) 580-1650","420ganja.org@gmail.com","","Los Angeles","California","Los Angeles, California US 90014"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Downtown Los Angeles","California","Downtown Los Angeles, California US 90015"
"KUSHAGRAM","323-739-1134","donations@kushagram.com","http://kushagram.com","Los Angeles","California","Los Angeles, California US 90013"
"Mary Couture Delivery Service","(310) 920-0136","marycouture1@gmail.com","https://www.instagram.com/marycouture1/","Los Angeles","California","Los Angeles, California US 90015"
"Buddha Company","2136283144","tbd@gmail.com","","Chinatown","California","Chinatown, California US 90012"
"Limited Edition 420","323-800-1985","limitededition420@yahoo.com","https://limitededition420delivery.wordpress.com/","Los Angeles","California","Los Angeles, California US 90015"
"Green Supply","(213) 407-2915","greensupplydelivery@gmail.com","","Los Angeles","California","Los Angeles, California US 90012"
"Cured Cannabis - Downtown LA","213-275-9996","curedcannabis@gmail.com","http://WWW.CUREDCANNABISDELIVERY.COM","Downtown LA","California","Downtown LA, California US 90014"
"Joy Delivery","818-423-3744","joydelivered420@gmail.com","","Downtown LA","California","Downtown LA, California US 90071"
"ganjarunner","855-554-2652","contact@ganjarunner.com","https://ganjarunner.com/","Los Angeles","California","Los Angeles, California US 90013"
"Pure CA","310-594-6391","delivery@moxie710.com","","DTLA","California","DTLA, California US 90015"
"Good Tree","562-315-8955","support@goodtreedelivery.com","http://www.goodtreedelivery.com","Los Angeles","California","Los Angeles, California US 90015"
"MedMen Delivery - Los Angeles DTLA","(213) 908 2244","info.dtla@medmen.com","https://medmen.com/stores/los-angeles-downtown-dtla","Los Angeles","California","Los Angeles, California US 90013"
"420 Rush Delivery","213-295-6055","420rushdelivery@gmail.com","","Downtown Los Angeles","California","Downtown Los Angeles, California US 90017"
