"Business name","Phone","Email","Website","State","City","Address"
"Speedy Weedy Delivery","619-333-3335","sales@weedydelivers.com","https://speedyweedydelivery.com","Santee","California","Santee, California US 92071"
"Express Care","619-631-9592","Expresscaresd1@gmail.com","","El Cajon","CA","El Cajon, CA USA 92020"
"Happy Time Delivery","619-404-8830","happytimegroup420@gmail.com","","El Cajon","California","El Cajon, California US 92020"
"Weed Management","619-430-7153","weedmanagement@yahoo.com","","El Cajon","California","El Cajon, California US 92040"
"House Of Dank","619-558-6718","houseofdank@yahoo.com","","El Cajon","CA","El Cajon, CA  92020"
"True Meds Delivery Incorporated","619-577-0910","truemedsdelivery@gmail.com","","San Diego","CA","San Diego, CA  92020"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","El Cajon","California","El Cajon, California US 92021"
"Pronto Delivery","6198328845 ","sdbestdelivery@hotmail.com","","El Cajon","California","El Cajon, California US 92020"
"Gas House Delivery","619-592-6710","gashouse619@gmail.com","","El Cajon","California","El Cajon, California US 92020"
"Poseidon's Buds","(619) 323-6897","poseidonsbuds@gmail.com","","El Cajon","California","El Cajon, California US 92071"
"Best Bud","619-878-4214","mo619as@gmail.com","","Elcajon","California","Elcajon, California US 92020"
"Lavish Buds Delivery","6196395422 ","lavishbudsdelivery@gmail.com","https://loyalboxads.com/p?c=q76513&i=22129858","San Diego","California","San Diego, California US 91901"
"Holy Green","619-387-6952","forbiddengreen@yahoo.com","","El CAjon","California","El CAjon, California US 92021"
"Weed 4 Less","1(619) 310-2976","weed4less619@gmail.com","","El Cajon","California","El Cajon, California US 92071"
"Discount 420","619-627-4795","Discount420d@gmail.com","","El Cajon","California","El Cajon, California US 92019"
"Puffy Delivery","619-289-9702","support@puffydelivery.com","http://puffydelivery.com","El Cajon","California","El Cajon, California US 92020"
"CHRON DON I","(619) 715-0539","surfhami@gmail.com","","Santee","California","Santee, California US 92701"
"Freedom Farmers","619-388-9638","FreedomFarmers@yahoo.com","","San Diego","CA","San Diego, CA USA 92111"
"Freedom Farmers","619-818-1258","FreedomFarmers@yahoo.com","","San Diego","CA","San Diego, CA USA 92020"
"SD Greens","6193439112","sandiegogreens619@gmail.com","","El cajon","CA","El cajon, CA  92021"
"Super Buds","619-919-9666","SUPERBUDSSD@GMAIL.COM","","El Cajon","California","El Cajon, California US 92021"
"Buzzed Bunny","619-900-3354","buzzedbunnyy@gmail.com","","El Cajon","California","El Cajon, California US 92020"
"House of Deals","619-558-4133","houseofdealsd@yahoo.com","","El Cajon","California","El Cajon, California US 92020"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Lakeside/El Cajon","California","Lakeside/El Cajon, California US 92083"
"Budzilla","6198360619","BudzillaSD619@protonmail.com","","San Diego","Ca","San Diego, Ca  92117"
"Healthcare Alternatives","619-277-4523","healthcarealternatives@gmail.com","http://www.hca215.tumblr.com","San Diego","CA","San Diego, CA  92020"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","El cajon","California","El cajon, California US 92020"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","Santee","CA","Santee, CA (Select a country) 92071"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","El Cajon","California","El Cajon, California US 92020"
