"Business name","Phone","Email","Website","State","City","Address"
"Organic Care of California","9163464233","Organiccareofcalifornia@gmail.com","http://Organiccareofcalifornia.com","Elk Grove","California","Elk Grove, California US 95814"
"CannaBeasts","(916) 800-7873","cannabeast18@gmail.com","http://cannabeast.co","Elk Grove","California","Elk Grove, California US 95624"
"Citadel Alternative Care - Elk Grove","844-778-6741","order.citadel@gmail.com","","Elk Grove","CA","Elk Grove, CA USA 95758"
"Cannadirect420","(916)995-5672","Cannadirect420@gmail.com","","Elk Grove","California","Elk Grove, California US 95758"
"Organicc Matters","916-271-6901","bullybrocc@gmail.com","","Sacramento","California","Sacramento, California US 95842"
"Premium Meds","916-226-5336","premiummeds916@gmail.com","","Elk Grove","CA","Elk Grove, CA  95624"
"Canopy Collective","916-271-5945","canopycollective916@gmail.com","","Elk Grove","California","Elk Grove, California US 95758"
"SilverStreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Elk Grove","CA","Elk Grove, CA (Select a country) 95758"
"WeedJoy","(916) 849-7101","info@WeedJoy.com","http://WeedJoy.com","Elk Grove","California","Elk Grove, California US 95758"
"California Best Genetics","916-668-0001","delahighcompassion@gmail.com","","Elk Grove","California","Elk Grove, California US 95757"
"Puffy Delivery","916-226-1821","support@puffydelivery.com","http://puffydelivery.com","Elk Grove","California","Elk Grove, California US 95624"
"Fire Farms","916-430-8500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Elk Grove","CA","Elk Grove, CA  95624"
"TrapWeed","916 968 5810","Trapweed420@gmail.com","","Elk Grove","California","Elk Grove, California US 95758"
"I Heart Canna - Elk Grove","1 (844) 882-2662","iheartcannasacramento@gmail.com","https://iheartcanna.club/sacramento-menu/","Elk Grove","CA","Elk Grove, CA USA 95624"
"Ghostbudz","(916) 235-3640","ghostbudz420@gmail.com","","Elk Grove","California","Elk Grove, California US 95757"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","https://TheCannabisReUp.com","Elk Grove","California","Elk Grove, California US 95624"
"Cannaisseur - Elk Grove","(844)916-WEED","cannaisseurcollective916@gmail.com","","Elk Grove","","Elk Grove,  US 95757"
"Norcanna Inc","916-671-3446","Norcanna@gmail.com","http://www.norcanna.com/","Elk Grove","California","Elk Grove, California US 95630"
"Exclusive Care - Elk Grove","916.990-7070","customercare@exclusivecares.com","http://www.exclusivecares.com","Elk Grove","California","Elk Grove, California US 95758"
"Potkings","(916) 472-4194  ","potkings916@gmail.com","","Elk Grove","California","Elk Grove, California US 95624"
"State Of Mind","916-538-9602","StateOfMindDelivery@gmail.com","","Elk Grove","California","Elk Grove, California US 95758"
"Sacramento Confidential Delivery","9165204512","scdprop215@gmail.com","","Elk Grove","California","Elk Grove, California US 95758"
"Urban Flavours Delivery - Elk Grove","855-232-7229","orders@urbanflavoursdelivery.com","http://urbanflavoursdelivery.com","Elk Grove","California","Elk Grove, California US 95624"
"I Heart Canna - Galt"," 1 (844) 882-2662","iheartcannastockton@gmail.com","https://iheartcanna.club/stockton-menu/","Galt","CA","Galt, CA  95624"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Elk Grove","California","Elk Grove, California US 95624"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Elk Grove","California","Elk Grove, California US 95632"
