"Business name","Phone","Email","Website","State","City","Address"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Encinitas","California","Encinitas, California US 92024"
"Sticky Selections","760-717-2580","Stickyselection710@gmail.com","","Encinitas","California","Encinitas, California US 92024"
"West Coast Farms","7602015470","onthemove92084@gmail.com","","Encinitas","CA","Encinitas, CA  92024"
"Mankind Delivery","(858) 247-0953","info@mankindcannabis.com","https://mankindcannabis.com/mankind-dispensary-delivery/","Encinitas","California","Encinitas, California US 92024"
"Speedy Weedy Delivery","(657)-333-3336","info@speedyweedydelivery.com","https://speedyweedydelivery.com","Encinitas","California","Encinitas, California US 92007"
"BudMart","7606974807","BudMart@yahoo.com","","Encinitas","California","Encinitas, California US 92024"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Encinitas","California","Encinitas, California US 92024"
"Golden State Greens Point Loma","6192688035","delivery@goldenstategreens.com","http://plpcc.org/download-app","Encinitas","California","Encinitas, California US 92121"
"Duckys Meds","619-404-8705","duckys619@gmail.com","","San Diego","California","San Diego, California US 92024"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Diego","CA","San Diego, CA  92130"
"Modern Medicine Delivery","424-292-0246","modernmedicinedelivers@gmail.com","","Encinitas","CA","Encinitas, CA United States 92024"
"Quality Therapeutics","619-536-8932","qualitytherapeutics@gmail.com","http://www.qualitytherapeutics.org","Encinitas","California","Encinitas, California US 92024"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Encinitas","California","Encinitas, California US 92024"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","Encinitas","CA","Encinitas, CA (Select a country) 92023"
"Budzilla","6198360619","BudzillaSD619@protonmail.com","","Encinitas","CA","Encinitas, CA  92078"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Encinitas/Cardiff","California","Encinitas/Cardiff, California US 92007"
