"Business name","Phone","Email","Website","State","City","Address"
"VHHC Delivery - Fairfield"," (707) 652-5018","vhhc420@gmail.com","http://www.vhhc420.org","Fairfield","California","Fairfield, California US 94533"
"GRO","707-631-4096","hello@gro.life","http://www.gro.life","Fairfield","California","Fairfield, California US 94534"
"MCPG Happy Herbs Delivery Service - Fairfield","707-567-1790","mcpgmembership@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"I Heart Canna - Fairfield","1 (844) 882-2662","iheartcannasolano@gmail.com","https://iheartcanna.club/solano-menu/","Fairfield","California","Fairfield, California US 94533"
"Tree4Life Mobile Dispensary","(707) 419 2934","tree4lifemedical@gmail.com","http://www.t4lcannabis.com","Fairfield","California","Fairfield, California US 94534"
"Premier Budz - Fairfield","(408) 444-0898","Premierbudz420@gmail.com","https://teespring.com/stores/premierbudz-2","Fairfield","CA","Fairfield, CA USA 94533"
"Peace, Love, & Smoke","707-207-9013","peaceloveandsmoke707@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"Mountain High Recreation","(916) 673-7100","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Fairfield","CA","Fairfield, CA  94533"
"Royal Greens","(510) 491-0899","info@royalgreens.shop","","Fairfield","California","Fairfield, California US 94533"
"Semper Fidelis Deliveries","707 384-9835","semperfidelisdeliveries@gmail.com","","Fairfiled","California","Fairfiled, California US 94533"
"Finer Things","(707) 803-2013","TheFinerThings@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"420doordash","7076524883","420doordash@gmail.com","http://420doordash.dudaone.com","Fairfield","California","Fairfield, California US 94533"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Fairfield","Ca","Fairfield, Ca  94533"
"Local Plug","7076069982","g@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Fairfield","California","Fairfield, California US 94533"
"Happy Hour Holistics","(707) 515-0983","happyhourfarmz@gmail.com","","FAIRFIELD","California","FAIRFIELD, California US 94533"
"Urban Flavours Delivery- Fairfield","(855) 205-3380","orders@urbanflavoursdelivery.com","https://urbanflavoursdelivery.com","Fairfield","California","Fairfield, California US 94533"
"WizKid","7077742051","wizkiddelivery@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"The Natural Fix - Fairfield","707-580-1522 707-365-5104","thenaturalfix18@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"Buds Galaxy","707-655-5935","allaboutthebiz100@gmail.com","","Fairfield","California","Fairfield, California US 94533"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Fairfield","California","Fairfield, California US 94533"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Fairfield","California","Fairfield, California US 94533"
"Docs Greenhouse","707-287-4906","docsgreenhouse@yahoo.com","","Fairfield","California","Fairfield, California US 94533"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Fairfield","California","Fairfield, California US 94533"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Fairfield","California","Fairfield, California US 94534"
