"Business name","Phone","Email","Website","State","City","Address"
"WeedBell Delivery- Fontana","(909)359-8432","hello@weedbell.com","http://www.weedbell.com","Fontana","California","Fontana, California US 92336"
"Hyperwolf","(951) 200-2088","order@Hyperwolf.com","https://www.Hyperwolf.com","Fontana","California","Fontana, California US 92336"
"Green Care Solutions","(951) 609-4071","Info@greencaresolutions.com","","Fontana","California","Fontana, California US 92336"
"Loyalty Buds","(909) 7455359","loyaltybuds@icloud.com","","Fontana","California","Fontana, California US 92335"
"Healing Leaf Village","(951) 437-5363","info@healingleafvillage.com","http://www.healingleafvillage.com","Fontana","CA","Fontana, CA USA 92336"
"Green Bee Meds - Fontana","909-546-9684","GreenBeeMeds420@gmail.com","","Fontana","California","Fontana, California US 92336"
"Nurse K","(888) 463-3155 ","nursek420@gmail.com","","Fontana","CA","Fontana, CA  92335"
"Buddha Masters","9093201165","buddhamasters909@gmail.com","","Fontana","California","Fontana, California US 92335"
"GOOD ROOTS","800-476-0697","support@goodrootscanna.com","https://goodrootscanna.com/","Fontana","California","Fontana, California US 92336"
"Chubby's Med House","9093177296","chubbysmed@gmail.com","http://chubbysmedhouse.com","Fontana","California","Fontana, California US 91763"
"Cannalife365","9093074475","cannalife365@gmail.com","","Fontana","California","Fontana, California US 92053"
"Diamond Budz Association","909-574-5931","diamondbudzassociation@gmail.com","","Fontana","California","Fontana, California US 92335"
"Green Eagle Collective","909-307-4985","greeneaglecollective@gmail.com","","Fontana","California","Fontana, California  92336"
"Seven Point Express","(909) 417-6817","sevenpointexpress@gmail.com","","Fontana","California","Fontana, California US 92336"
"Emerald Halo","909 231 4102","emeraldhalowellness@yahoo.com","","Fontana","California","Fontana, California US 92336"
"RICO","(507)400-7426","RICO2Help@gmail.com","http://RicoToGo.com","Fontana","California","Fontana, California US 92336"
"4 Twenty","9518008228","join420now@gmail.com","http://www.4twentyhub.com","Fontana","California","Fontana, California US 92335"
"Gas Company","562-390-0898","gasco.rx@gmail.com","","Fontana","","Fontana, US 92335"
"Highly Elevated","909-329-9413","hollyweedwellness@gmail.com","","Fontana","California","Fontana, California US 92335"
"Cured Delivery","(909) 329-7809","thecurecollectivee@gmail.com","","Fontana","California","Fontana, California US 92336"
"4 Twenty","9518008228","join420now@gmail.com","http://www.4twentyhub.com","Fontana","California","Fontana, California US 92336"
"KUSH WAGON","9092586607","k9davidgonzalez@gmail.com","","Fontana","California","Fontana, California US 92336"
"Kush Bro's","(909)775-2092 ","kushbros2@gmail.com","","Fontana","CA","Fontana, CA USA 92335"
"Todays Meds - Fontana","1-877-420-Meds","todaysmeds@yahoo.com","http://www.todaysmeds.com","Fontana","CA","Fontana, CA  92335"
"Celebrity Budz","3233748878 ","CELEBRITYBUDZTHO@gmail.com","https://www.instagram.com/celebritybudzdelivery/","Fontana","California","Fontana, California US 92376"
"True Medical Health Care, Inc.","909-758-1046","truemedicalhealthcare@gmail.com","http://www.truemedicalhealthcare.com","Fontana","CA","Fontana, CA  91701"
"Manchester's Finest 420","909-319-0743","manchestersfinest420@gmail.com","","Fontana","CA","Fontana, CA USA 92336"
"4 Twenty","9518008228","Join420now@gmail.com","http://www.4twentyhub.com","Fontana","California","Fontana, California US 92335"
"Buderfly Delivery","909-438-7592","buderflydelivery@outlook.com","","Fontana","California","Fontana, California US 92316"
"Cured Delivery","(909) 329-7809","thecurecollectivee@gmail.com","","Fontana","California","Fontana, California US 92337"
"Hangar 47","9092122537","gabrieljunk123@gmail.com","","Fontana","California","Fontana, California US 92336"
"4 Twenty","9518008228","join420now@gmail.com","http://www.4twentyhub.com","Fontana","California","Fontana, California US 92336"
"The House Of Ounces","2132145440","TheLAhouseofounces@gmail.com","","San Bernardino","California","San Bernardino, California US 92346"
"Hyperwolf - Fontana 2.0","951-200-2088","info@Hyperwolf.com","http://Hyperwolf.com","Fontana","California","Fontana, California US 92335"
"ARC Collective","951-217-0052","arccollective25@gmail.com","http://arccollective25.com","Fontana","CA","Fontana, CA USA 91730"
"Dank Bank Collective","909-533-0065 ","supersticky710@gmail.com","","Fontana","CALIFORNIA","Fontana, CALIFORNIA United States 92336"
"Cloud Green Express","9092356691","cloudgreenexpress@gmail.com","","Fontana","California","Fontana, California US 92336"
"Black Sheep Co.","909-507-7733","blacksheepmeds2018@icloud.com","","Fontana","California","Fontana, California US 92336"
"Celebrity Budz","3233748878 ","CELEBRITYBUDZTHO@gmail.com","https://www.instagram.com/celebritybudzdelivery/","Fontana","California","Fontana, California US 92335"
"T.M.A.D. Collective","9092013769","t.m.a.d.collective@gmail.com","","Fontana","California","Fontana, California US 92336"
