"Business name","Phone","Email","Website","State","City","Address"
"Bento - Fremont","415-862-3686","order@bento.delivery","http://www.bento.delivery","Fremont","","Fremont, US 94555"
"Hellapaxx","(925) 351-5997  ","hellapaxx@gmail.com","http://hellapaxx.com","Fremont","California","Fremont, California US 94560"
"Lakeside Remedy - Fremont","510-309-6981","lakesideremedy@gmail.com","http://www.lakesideremedy.com","Fremont","","Fremont, US 94538"
"Green On The Go - Fremont","510-688-4396","greenonthego7@gmail.com","","Fremont","California","Fremont, California US 94538"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Milpitas","California","Milpitas, California US 95035"
"Irie Care Delivery - Union City","510-328-8896","IrieCareCollective@gmail.com","http://www.Iriecarecollective.com","Hayward","CA","Hayward, CA USA 94544"
"10 Collective - Union city - Fremont","(415) 966- 5941","10collectivellc@gmail.com","https://10collective.org/","Union City","CA","Union City, CA  94587"
"Emerald Supply Company","510-600-2850","info.emeraldsupplycompany@gmail.com","http://www.emeraldsupplycompany.com","Fremont","CA","Fremont, CA  94538"
"Overland","(844) 687-5263","info@overlanddelivery.com","","Fremont","California","Fremont, California US 94536"
"Weed Now","510-488-4706","weednow510@gmail.com","http://www.getweednow.co","Union City","California","Union City, California US 94587"
"A Cut Above Now Enjoymint","8555434010","info@enjoymintdelivered.com","http://www.mintxpress.net","Fremont","California","Fremont, California US 94583"
"Royal Greens","(510) 491-0899","info@royalgreens.shop","http://www.royalgreens.shop","Fremont","CA","Fremont, CA (Select a country) 94536"
"Smoakland - Union City","(510) 513-9570","register@smoakland.com","http://www.smoakland.com","Union City","CA","Union City, CA USA 94587"
"Tri-City Medicinal","408-449-6721","tricitymedicinal@yahoo.com","","Newark","California","Newark, California US 94560"
"Elemental Wellness - Fremont / Milpitas / Union City","408-433-3344 ext. 5","delivery@elementalwellnesscenter.com","http://elementalwellnesscenter.com/","Fremont","California","Fremont, California US 94536"
"California Patients Club - Fremont","(510) 342 - 9655","californiapatientsclub@gmail.com","","Fremont","CA","Fremont, CA  94536"
"Mitchs Boutique","510-626-0420","info@mitchsboutique.com","http://www.mitchsboutique.com","Union City","California","Union City, California US 94587"
"Frosty Flowers Delivery","510-306-1083","Info@frostyflowersdelivery.com","https://potify.net/promo/frosty-flowers-delivery-oakland","Fremont","California","Fremont, California US 94538"
"Citadel Alternative Care - Fremont","844-778-6741","order.citadel@gmail.com","","Newark","CA","Newark, CA  94560"
"Calico Buds RX","5109541494","Calicobudsrx@gmail.com","","Fremont","California","Fremont, California US 94538"
"Secret circle","5104970981","secretcxrcle@yahoo.com","","Fremont","California","Fremont, California US 94536"
"Puffy Delivery - Fremont","510-273-0102","support@puffydelivery.com","http://puffydelivery.com","Fremont","California","Fremont, California US 94536"
"The Hidden Leaf","510-556-9614","hiddenleaf510@gmail.com","","Fremont","California","Fremont, California US 94587"
"Emerald Supply Company","5106002850","info.emeraldsupplycompany@gmail.com","http://www.emeraldsupplycompany.com","Newark","CA","Newark, CA  94560"
"Hemp Mania","(510) 320 3390","hempmania510@gmail.com","http://hempmaniainc.com","Fremont","California","Fremont, California US 94539"
"Healthy Greens - Fremont","510-240-2437","hgnewpatient@gmail.com","http://www.healthygreensdelivery.com","Fremont","CA","Fremont, CA (Select a country) 94538"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","Milpitas","CA","Milpitas, CA  95035"
"C3 Delivery","(510) 616-8381","C3DeliveryBay@gmail.com","http://C3Delivered.com","Union city","California","Union city, California US 94587"
"Green Care Collective","(408)449-2000","greencaredelivery1337@gmail.com","","Newark","California","Newark, California US 94560"
"Fresh Mint - Fremont"," (510) 692-5365","freshmintmd@gmail.com","http://www.freshmintmd.com","Fremont","California","Fremont, California US 94538"
"Arch Wellness","510-600-7948","arch.420.215@gmail.com","http://www.archmedicaldelivery.com","Fremont","California","Fremont, California US 94536"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","http://topshelf.express","Newark","California","Newark, California US 94560"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Milpitas","California","Milpitas, California US 95035"
"Urban Flavours Delivery- Union City","855-635-2868","orders@urbanflavoursdelivery.com","http://Urbanflavoursdelivery.com","Fremont","California","Fremont, California US 94536"
"Good Tree","510-725-4405","support@goodtreedelivery.com","","Union City","California","Union City, California US 90001"
"Cannabud Express","(510) 833-6372","customer.service@cannabudexpress.com","http://www.cannabudexpress.com","Union City","California","Union City, California US 94587"
