"Business name","Phone","Email","Website","State","City","Address"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","San Diego","CA","San Diego, CA  92101"
"Speedy Weedy Delivery","619-333-3330","sales@weedydelivers.com","https://speedyweedydelivery.com","San Diego","California","San Diego, California US 92101"
"True Meds Delivery Incorporated","1619 332 9597","truemedsdelivery@gmail.com","","San Diego","CA","San Diego, CA  92101"
"WEEDRIVE","619-569-7512","weedrive1@gmail.com","","Gaslamp","CA","Gaslamp, CA  92101"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"The Great Meds","6195588963","thegreatmgmt@gmail.com","","San Diego","California","San Diego, California US 92101"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","Gaslamp","CA","Gaslamp, CA  91201"
"Happy Time Delivery","(619) 402-2345","happytimegroup420@gmail.com","","San Diego","California","San Diego, California US 92101"
"Pronto Delivery","6198328845","sdbestdelivery@hotmail.com","","Gaslamp","California","Gaslamp, California US 92101"
"Strictly Humboldt","(619) 550-7055","strictlyhumboldt@gmail.com","","San Diego","California","San Diego, California US 91942"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Gaslamp","CA","Gaslamp, CA USA 92101"
"House of Dank","619-383-4740","HOUSEOFDANK@YAHOO.COM","","Gaslamp","CA","Gaslamp, CA  92011"
"Supreme Meds","(619) 486-2299","suprememeds1@gmail.com","","Gaslamp","California","Gaslamp, California US 92101"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","San Diego","","San Diego,  US 92101"
"A+ Deliveries","858-868-1828","aplusdeliveries619@gmail.com","","San Diego","CA","San Diego, CA  92101"
"Alpha - Gaslamp / Hillcrest","619-306-3721","godfatherog710@gmail.com","","San Diego","Ca","San Diego, Ca  92101"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","San Diego","CA","San Diego, CA USA 92101"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92101"
"Lucky Shamrock","(619) 634-6803","luckyshamrock007@gmail.com","https://youtu.be/j37berwG_Eo","Gaslamp","California","Gaslamp, California US 92101"
"High Octane Express","619.301.1742","highoctaneexpress@gmail.com","https://highoctaneexpress.com/","San Diego","California","San Diego, California US 92128"
"Buzzed Bunny","619-900-3354","buzzedbunnyy@gmail.com","","Gas Lamp","California","Gas Lamp, California US 92121"
"Exotic Meds","619-610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","Gaslamp District","CA","Gaslamp District, CA  92101"
"BOGO Boys - Downtown","(619) 549-9786","tmp@tmp.com","","San Diego","California","San Diego, California usa 92102"
"Bueno Buds","(619) 677-9496","contact@buenobuds.com","","San Diego","California","San Diego, California US 92101"
"Fast and Friendly - Gaslamp District","1-310-870-7115","fastandfriendlydeliveries@gmail.com","http://fastandfriendly.us/","San Diego","California","San Diego, California US 92101"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","San diego","CA","San diego, CA (Select a country) 92102"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","San Diego","CA","San Diego, CA  92132"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Diego","CA","San Diego, CA  92101"
"Golden State Greens Point Loma","6192688035","delivery@goldenstategreens.com","http://plpcc.org/download-app","Gaslamp","California","Gaslamp, California US 92101"
"Lavish Buds Delivery","6196395422 ","lavishbudsdelivery@gmail.com","https://loyalboxads.com/p?c=q76513&i=22129858","San Diego","California","San Diego, California US 92101"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92113"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","Gaslamp","California","Gaslamp, California US 92101"
"Express Care","619-631-9592","Expresscaresd@gmail.com","","Del Mar","CA","Del Mar, CA (Select a country) 92107"
