"Business name","Phone","Email","Website","State","City","Address"
"Fly Delivery - Glendale","(323) 905-4359","flydelivery@yahoo.com","https://weedmaps.com/deliveries/fly-delivery-3","Glendale","CA","Glendale, CA United States 91206"
"Green Tree Remedy","(323)714-0420","sales@greentreeremedy.com","","Highland Park","CA","Highland Park, CA USA 90042"
"Hyperwolf - Glendale","310-566-8384","order@Hyperwolf.com","http://www.HyperWolf.com","Glendale","","Glendale, US 91206"
"Redeye","+18183704892","redeye.glendale@gmail.com","","Glendale","California","Glendale, California US 91205"
"Speedy Meds","747-229-5111","speedymeds365@gmail.com","","Highland Park","California","Highland Park, California US 90041"
"Green Plug","(818)396-9112","R@yahoo.com","","Glendale","California","Glendale, California US 91208"
"Potmates Delivery - Glendale","626-545-5749","Potmates77@gmail.com","","Northridge","California","Northridge, California US 91325"
"Starleaf","501-550-5055","starleaf@yahoo.com","","Glendale","California","Glendale, California US 92108"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Glendale","California","Glendale, California US 91020"
"Level Up Delivery","323-873-0777","level420delivery@gmail.com","","Glendale","CA","Glendale, CA USA 92104"
"Just Smoke It Delivery","310-880-9290","justsmokeit@yahoo.com","https://weedmaps.com/dispensaries/hp-med-collectiv","Glendale","CA","Glendale, CA United States 90065"
"AFFCO","(323) 986-1927","affco.delivery@gmail.com","","Glendale","California","Glendale, California US 90065"
"RUSH","818-927-9923","rushdeliveryla@gmail.com","","Glendale","California","Glendale, California US 90039"
"3rd Eye Healing","(562) 324-4639","3rdeyehealing@gmail.com","http://WWW.3RDEYEHEALING.COM","Glendale","CA","Glendale, CA USA 91205"
"Magna Med","TEXT (747) 201-0802","magnamed@yahoo.com","","Glendale","","Glendale, US 91206"
"Good Tree","562-315-8955","support@goodtreedelivery.com","","Los Angeles","California","Los Angeles, California US 90039"
"Green Ways Delivery","8184786473","greenways323@yahoo.com","","Glendale","California","Glendale, California US 90065"
"Cloud Nine Delivery - Glendale","213-760-6102","cloud9delivery@aol.com","","Glendale","California","Glendale, California US 91207"
"Green Guest - Glendale","(424) 362-6244 ","jordangest1@gmail.com","","Glendale","California","Glendale, California US 91205"
"Puffy Delivery - Glendale","818-296-3434","support@puffydelivery.com","http://puffydelivery.com","Glendale","California","Glendale, California US 91207"
"Fly Delivery - Glendale","(323) 905-4359","flydelivery@yahoo.com","","Glendale","CA","Glendale, CA  90041"
"Whisper Weed","818-815-1983","whisperweeddelivery@gmail.com","https://www.instagram.com/whisperweed/?hl=en","Glendale","California","Glendale, California US 91205"
"Delivery Service","949-445-6468","DeliveryService2045@gmail.com","","Glendale","CA","Glendale, CA (Select a country) 91202"
"The Private Reserve","323-488-5050","ThePrivateReserveLA@gmail.com","","Glendale","California","Glendale, California US 91206"
"The Green Coma","2133029198","thegreencoma@gmail.com","","Los Angeles","California","Los Angeles, California US 90042"
"We The Best Delivery - Glendale","213-712-3607","wethebestdelivery420@gmail.com","","Glendale","CA","Glendale, CA  91204"
"Greenline Express - Glendale","818-422-6644","GreenLineExpressLA@yahoo.com","","Glendale","CA","Glendale, CA  90042"
"Daily Dose Delivery","TEXT 818-274-6453","dailydosedelivery818@gmail.com","","Glendale","California","Glendale, California US 91206"
"Greenline Express - Los Angeles","818-422-6644","GreenLineExpressLA@yahoo.com","","Los Angeles","CA","Los Angeles, CA USA 91202"
"Speedy Meds","747-229-5111","speedymeds365@gmail.com","","Glendale","CA","Glendale, CA  91203"
"Delivery Service","949-445-6468","DeliveryService2045@gmail.com","","Glendale","CA","Glendale, CA (Select a country) 91202"
"BGM","626-703-2720","theblackmarketla@gmail.com","","Eagle Rock","CA","Eagle Rock, CA (Select a country) 90042"
"Delivery Service","949-445-6468","DeliveryService2045@gmail.com","","Glendale","CA","Glendale, CA (Select a country) 90042"
"Med City Delivery - Eagle Rock","3233358623","420citydelivery@gmail.com","","Eagle Rock","California","Eagle Rock, California US 90041"
"The Spot Delivery - Glendale","(747) 998-9199","TheSpotDelivery818@yahoo.com","","Glendale","California","Glendale, California US 91203"
"Med City Delivery - Glendale","3233358623","420citydelivery@gmail.com","","Glendale","California","Glendale, California US 91205"
"AceBuds","8189153311","Acebuds19@gmail.com","","Silver Lake","California","Silver Lake, California US 90065"
"OrangeLeaf","818-572-5156 ","orangeleaf2007@gmail.com","","Eagle Rock / Glendale","California","Eagle Rock / Glendale, California US 90041"
"Crystal Cannabis","626-689-5142","Crystalcannabisla@gmail.com","","Glendale","California","Glendale, California US 90042"
"KUSHAGRAM","323-739-1134","donations@kushagram.com","http://kushagram.com","Glendale","California","Glendale, California US 92103"
"Holy Smokes Delivery","747-609-6904","holysmokesdelivery@gmail.com","","Glendale","California","Glendale, California US 91207"
"Emberz Delivery","3109350063","emberzdelivery@gmail.com","https://emberzdelivery.com/","Glendale","California","Glendale, California US 90065"
"Speedy Meds","747-229-5111","speedymeds365@gmail.com","","Eagle Rock","ca","Eagle Rock, ca  90041"
"Pure Decision","818-288-1435","puredecision@icloud.com","","Glendale","California","Glendale, California US 91201"
"The House Of Ounces","2139855615","TheOChouseofounces@gmail.com","","Glendale","California","Glendale, California US 91205"
"ganjarunner","(855) 554-2652","contact@ganjarunner.com","http://www.ganjarunner.com","Glendale","California","Glendale, California US 91204"
"HCMA - NC Co-Op Delivery","(818)699-9333","hcmadelivery@gmail.com","https://hcmadelivery.com/","Glendale","California","Glendale, California US 91203"
"iWeed","747-203-5085","iweed007@gmail.com","https://iweed.me/","Glendale","California","Glendale, California US 91206"
"Holy Smokes Delivery","747-609-6904","holysmokesdelivery@gmail.com","","Korea Town","California","Korea Town, California US 90041"
"Daily Dose Delivery","TEXT 818-274-6453","dailydosedelivery818@gmail.com","","Los Angeles","California","Los Angeles, California US 90042"
"Deluxe Caregivers","818-427-6706","deluxecaregiversds@gmail.com","","Glendale","California","Glendale, California US 91201"
"HCMA - NC Co-Op Delivery","(818)699-9333","hcmadelivery@gmail.com","https://hcmadelivery.com/","Glendale","California","Glendale, California US 91204"
"KUSHAGRAM - Highland Park","323-739-1134","donations@kushagram.com","http://kushagram.com","Highland Park","California","Highland Park, California US 90042"
"Green Earth Delivery","6262834075","Orders@gecollective.com","http://www.gecollective.com","Los Angeles","California","Los Angeles, California US 90042"
"HCMA - NC Co-Op Delivery","(818)699-9333","hcmadelivery@gmail.com","https://hcmadelivery.com/","Glendale","California","Glendale, California US 91208"
"Exhalence","(818) 394-9094","exhalencedelivery@gmail.com","","Glendale","California","Glendale, California US 31202"
"Joy Delivery","818-423-3744 ","joydelivered420@gmail.com","","Glendale","California","Glendale, California US 90065"
"HCMA - NC Co-Op Delivery","(818)699-9333","hcmadelivery@gmail.com","https://hcmadelivery.com/","Glendale","California","Glendale, California US 90041"
"Sky High Originals -","3239011198","weedmaps626@gmail.com","","Glendale","California","Glendale, California US 90069"
"Sky High Originals","3239011198","weedmaps626@gmail.com","","los angeles","California","los angeles, California US 90017"
"Pineapple Express","877 WE-Deliver","Support@PineappleExpress.com","https://pineappleexpress.com/","Glendale","California","Glendale, California US 90065"
"Pineapple Express","877 WE-Deliver","Support@PineappleExpress.com","https://pineappleexpress.com/","Glendale","California","Glendale, California US 91201"
"HCMA - NC Co-Op Delivery","(818)699-9333","hcmadelivery@gmail.com","https://hcmadelivery.com/","Glendale","California","Glendale, California US 91201"
"Holy Smokes Delivery","747-609-6904","holysmokesdelivery@gmail.com","","Los Angeles","California","Los Angeles, California US 90065"
"Sky High Originals","3239011198","weedmaps626@gmail.com","","los angeles","California","los angeles, California US 90042"
