"Business name","Phone","Email","Website","State","City","Address"
"Green Cuisine Delivery - Isla Vista","(844) 347-3360","gcdsignup@gmail.com","http://GreenCuisineCalifornia.com","Isla Vista","CA","Isla Vista, CA  93117"
"Santa Barbara Collective","(805)705-0656","info@sbcollective.net","","Goleta","CA","Goleta, CA (Select a country) 90001"
"Group Health Clinic Coop","805-444-8073","ghccinc@gmail.com","http://www.ghcsb.org","Goleta","CA","Goleta, CA  93117"
"Greenbridge Patient Collective","805-722-7150","greenbridge@rocketmail.com","http://gbpcsb.org","Goleta","CA","Goleta, CA  93111"
"LEAF","805-430-4204","leafdelivers@gmail.com","http://www.calileaf.com","Santa Barbara","California","Santa Barbara, California US 93110"
"URBS","805-451-5772","info@urbangrowsb.com","","Goleta","CA","Goleta, CA  93116"
"Garden Of Eden","805-252-1107","gardenofeden805@gmail.com","http://www.gardenofeden805.com","Goleta","California","Goleta, California US 93117"
"Good Grade","(805) 336-9642","gradeologist@gmail.com","","Isla Vista","California","Isla Vista, California US 93117"
"The Sensible Source","805-451-5723","thesensiblesource@gmail.com","","Isla Vista","CA","Isla Vista, CA USA 93117"
"Golden State Canna","5109934535","goldenstatecann@gmail.com","","Isla Vista","California","Isla Vista, California US 93117"
"Send IT","805-930-8297","SendTheGreen@gmail.com","http://SendTheGreen.com","Santa Barbara","California","Santa Barbara, California US 93111"
