"Business name","Phone","Email","Website","State","City","Address"
"Norcanna Inc","916-671-3446","Norcanna@gmail.com","http://www.norcanna.com/","Folsom","California","Folsom, California US 95757"
"CannaBeasts","(916) 800-7873","cannabeast18@gmail.com","","Folsom","California","Folsom, California US 95630"
"California Best Genetics","(916) 241-3985","calisbestcannabis.ca@gmail.com","https://www.calibestgenetics.com/","Folsom","California","Folsom, California US 95630"
"Potkings"," (916)472-4194  ","potkings916@gmail.com","","Granite Bay","CA","Granite Bay, CA  95818"
"Ohana Gardens","(916) 354-9646","info@ohanagardens.org","http://www.ohanagardens.org","Folsom","CA","Folsom, CA  95630"
"Gaia Express","9162560431","gaiaexpress420@gmail.com","","Folsom","CA","Folsom, CA United States 95630"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Folsom","California","Folsom, California US 95630"
"Organic Care of California","9163464233","Organiccareofcalifornia@gmail.com","http://Organiccareofcalifornia.com","Folsom","CA","Folsom, CA  95630"
"Premium Meds","916-226-5336","Premiummeds916@gmail.com","","Folsom","CA","Folsom, CA Sacramento County 95630"
"Finer Things","(707) 803-2013","TheFinerThings@gmail.com","","Folsom","California","Folsom, California US 95682"
"Space Boy X","916 582-1996","spaceboyxpress@gmail.com","","Granite Bay","California","Granite Bay, California US 95746"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Folsom","CA","Folsom, CA (Select a country) 95630"
"NorCal Holistics","(916) 993-5361","orders@norcalholistics.org","http://www.norcalholistics.org","Folsom","California","Folsom, California US 95630"
"Puffy Delivery","916-226-1762","support@puffydelivery.com","http://puffydelivery.com","Folsom","California","Folsom, California US 95630"
"Norcanna Inc","916-671-3446","Norcanna@gmail.com","http://norcanna.com","El Dorado Hills","CA","El Dorado Hills, CA  95762"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Shingle Springs","California","Shingle Springs, California US 95682"
"Exclusive Care","916-790-4228","exclusivecare916@gmail.com","","Folsom","CA","Folsom, CA United States 95630"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Placerville","California","Placerville, California US 95667"
"I Heart Canna - Granite Bay/Folsom","1 (844) 882-2662","iheartcannasacramento@gmail.com","https://iheartcanna.club/sacramento-menu/","Folsom","California","Folsom, California US 95746"
"Humble Root","9167935182","orders@humbleroot.com","http://humbleroot.com","Granite Bay","CA","Granite Bay, CA  95630"
"California Best Genetics","(916) 241-3985","calisbestcannabis.ca@gmail.com","https://www.calibestgenetics.com/","Folsom","California","Folsom, California US 95630"
"Fire Farms","(916) 430-8500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Folsom","","Folsom, US 95630"
"Sacramento Confidential Delivery","9165204512","scdprop215@gmail.com","","Folsom","California","Folsom, California US 95630"
"DubHub","916-420-0926","dubhub916@gmail.com","","Folsom","California","Folsom, California US 95630"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Granite Bay","California","Granite Bay, California US 95630"
"Budcars","916-306-0420","hello@budcars.com","http://www.budcars.com","El Dorado Hills","California","El Dorado Hills, California US 95762"
"Calm and Collective, Inc.","916-919-6877","Sacgrower@gmail.com","http://Calmandcollective.org","Roseville","California","Roseville, California US 95670"
