"Business name","Phone","Email","Website","State","City","Address"
"Bento - Hayward","415-862-3686","order@bento.delivery","http://www.bento.delivery","Hayward","California","Hayward, California US 94541"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://kushagram.com","Hayward","California","Hayward, California US 94541"
"Green On The Go - Hayward","510-688-4396","greenonthego7@gmail.com","","Hayward","California","Hayward, California US 94544"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Hayward","California","Hayward, California US 94540"
"Frosty Flowers Delivery","510-306-1083","Info@frostyflowersdelivery.com","https://potify.net/promo/frosty-flowers-delivery-oakland","Hayward","California","Hayward, California US 94544"
"Irie Care Delivery - Hayward","510-328-8896","IrieCareCollective@gmail.com","http://www.Iriecaredelivery.com","Hayward","California","Hayward, California US 94541"
"Calico Buds RX","510-954-1494","CalicoBudsRX@gmail.com","","Hayward","California","Hayward, California US 94544"
"California Patients Club - Hayward","(510) 342 - 9655","californiapatientsclub@gmail.com","https://californiapatientsclub.webjoint.com/shop/index.html#/","San Leandro","CA","San Leandro, CA USA 94580"
"Urban Flavours Delivery - Hayward","855-635-2868","orders@urbanflavoursdelivery.com","https://www.urbanflavoursdelivery.com","Hayward","California","Hayward, California US 95747"
"Healthy Greens - Hayward","510-240-2437","hgnewpatient@gmail.com","http://www.healthygreensdelivery.com","Hayward","CA","Hayward, CA CA 94544"
"HighLyfe","(510)9384602","patienthelp09@gmail.com","","Hayward","California","Hayward, California US 94545"
"GTG","510-239-9044 TEXT ONLY","gtggrowthgroup@gmail.com","","Hayward","CA","Hayward, CA  94540"
"Weed Now","510-488-4706","weednow510@gmail.com","http://www.getweednow.co","Hayward","California","Hayward, California US 94540"
"Citadel Alternative Care - Hayward","844-778-6741","order.citadel@gmail.com","","Hayward","California","Hayward, California  94536"
"Mitchs Boutique","510-626-0420","info@mitchsboutique.com","http://www.mitchsboutique.com","Hayward","California","Hayward, California US 94541"
"Fitness Bud","5106926328","fitnessbud420@gmail.com","https://WWW.FITNESSBUD420.COM","Hayward","California","Hayward, California US 94541"
