"Business name","Phone","Email","Website","State","City","Address"
"The Green Apple","(951)-492-2376","greenapplehemet420@gmail.com","http://www.GreenAppleHemet.com","Hemet/San Jacinto","CA","Hemet/San Jacinto, CA United States 92544"
"Mile High Supply"," 951-501-9009","MHSupplys@gmail.com","https://www.milehighsupplys.com/","Hemet","California","Hemet, California US 92545"
"The Treehouse Hemet","9513503215","ibudsofficial.123@gmail.com","","Hemet","California","Hemet, California US 92543"
"HoneyBudz - VALLE VISTA / HEMET / SAN JACINTO","(951) 448-9429","honeybubz@gmail.com","","San Jacinto","California","San Jacinto, California US 92582"
"Love Bud - Hemet","951-473-3502","lovebud420@yahoo.com","","Hemet & San Jacinto","CA","Hemet & San Jacinto, CA USA 92545"
"Green Coast","951-292-8957","greencoast951@gmail.com","","Hemet","California","Hemet, California US 92543"
"Top Notch Medical Hemet","(951) 438-0021","topnotchmedical2015@gmail.com","","Hemet","CA","Hemet, CA USA 92544"
"Santa Fe Co-Op","951-263-4917","santafe.collective@yahoo.com","http://www.santafecoop.com","San Jacinto","California","San Jacinto, California US 92585"
"Mr Green","9096880745","benjimanfranklin@gmail.com","","Hemet","California","Hemet, California US 92544"
"Leeping Lizards","(951) 795-0150","LeepingLizards313@Gmail.com","","Hemet","CA","Hemet, CA USA 92544"
"HTC Meds","951-237-6663","htc420meds@gmail.com","","Hemet","California","Hemet, California US 92582"
"Strange Therapy Solutions","1-877-420-8886","info@strangetherapysolutions.com","","Hemet","California","Hemet, California US 92543"
"Flower Pot","9514092267","jamesofthejungle42@yahoo.com","","Hemet","California","Hemet, California US 92543"
"California Gardens Remedies","(951) 651-2650","work.cgr@gmail.com","","Hemet","California","Hemet, California  92543"
"Bud Hub","951-442-7845","budhubpro@gmail.com","","Hemet","California","Hemet, California US 92543"
"Green Mile - Hemet - San Jacinto","951-451-7238","greenmile951@gmail.com","","San Jacinto","California","San Jacinto, California US 92543"
"Medz 4 Less","951-474-8083","medz4less420@gmail.com","","Hemet","California","Hemet, California US 92543"
"Green Chakra","7608458479 ","greenchakradelivery@gmail.com","","Hemet","California","Hemet, California US 92543"
"Tha Spot Delivery","9514519746","tbd@tbd.com","","Hemet","California","Hemet, California US 92544"
"HEAVY ORGANICS+ Powered by The Cookie House","951-251-2649","heavyorganics@gmail.com","","Hemet","California","Hemet, California US 92543"
