"Business name","Phone","Email","Website","State","City","Address"
"Green Scorpion","760-867-0888","greenscorpion760@gmail.com","https://www.greenscorpionorganics.com/","Hesperia","California","Hesperia, California US 92340"
"100% Delivery","760-981-5913","100percentdelivery@gmail.com","","Hesperia","CA","Hesperia, CA USA 92345"
"EZ","(442) 600-4216","Ezhighcollective@gmail.com","","Hesperia","California","Hesperia, California US 92345"
"Tree House","760-620-8494","treehouse7601@gmail.com","","Hesperia","Ca","Hesperia, Ca  92345"
"MCEC - Hesperia","760-299-6232","customerservice@mcecdelivery.com","https://mcecdelivery.com/shopping-cart/","Hesperia","CA","Hesperia, CA USA 92345"
"SoCAL Green Meds - Hesperia","760-514-7007","patientinfo@socalgreenmeds.com","","Hesperia","California","Hesperia, California US 92345"
"20° Below Delivery","760-628-4755","dabmasterdub@gmail.com","","Phelan","California","Phelan, California US 92371"
"Discount Dank","(760) 552-2447","discountdankhd@gmail.com","","Hesperia","CA","Hesperia, CA  92345"
"Kushman 420 Top Shelf","760-713-3415","www.NEWNATURALSOLUTIONS@GMAIL.COM","http://KUSHMAN420TOPSHELF.COM","Hesperia","California","Hesperia, California US 92345"
"Sugarpine","7609986318 ","Sugarpine001@hotmail.com","","Hesperia","California","Hesperia, California US 92345"
"REHAB Delivery","4422679282","rehabdelivery@gmail.com","http://www.rehabdeliveries.com","Hesperia","California","Hesperia, California US 92345"
"OG Discount Pharmacy","760-684-9796","710kushjunkies420@gmail.com","HAPPY HOUR ALL DAY, EVERY DAY, GET A $5 GRAM WITH EVERY $30 DONATED","Hesperia","CA","Hesperia, CA  92345"
"Grow And Deliver","(760) 646-0887	","growanddeliver@gmail.com","","Hesperia","California","Hesperia, California US 92345"
"Greencross","760-998-8280 ","greencrosshesperia@gmail.com","","Phelan","California","Phelan, California US 92371"
"OG Cannabis - Hesperia","760-760-4000","info.ogcannabis@gmail.com","https://www.ogcannabis.com","Hesperia","CA","Hesperia, CA USA 92345"
"Homeboy Delivery","727-278-3670","HomeboyDelivery@gmail.com","","Hesperia","CA","Hesperia, CA USA 92345"
"The Highest Choice","7602696446","thehighestchoice@gmail.com","","Hesperia","California","Hesperia, California US 92345"
