"Business name","Phone","Email","Website","State","City","Address"
"Super Buds","619-919-9666","SUPERBUDSSD@GMAIL.COM","","Imperial Beach","California","Imperial Beach, California US 91932"
"Happy Time Delivery","(619) 402-2345","happytimegroup420@gmail.com","","San Diego","California","San Diego, California US 92154"
"Dankology- Imperial Beach","6194935337","DANKOLOGYSD@GMAIL.COM","","Imperial Beach","California","Imperial Beach, California US 91932"
"WEEDRIVE","619-569-7512","weedrive1@gmail.com","http://www.weedriveusa.com","Imperial Beach","CA","Imperial Beach, CA  91932"
"Speedy Weedy Delivery","619-333-3335","sales@weedydelivers.com","https://speedyweedydelivery.com","Imperial Beach","California","Imperial Beach, California US 92173"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Imperial Beach","California","Imperial Beach, California US 91932"
"Freedom Farmers","619-818-1258","FreedomFarmers@yahoo.com","","San Diego","CA","San Diego, CA USA 92115"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","Imperial Beach","California","Imperial Beach, California US 91932"
"City Meds","6194322929","CITYMEDS2019@GMAIL.COM","","Imperial Beach","California","Imperial Beach, California US 91932"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92173"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92154"
