"Business name","Phone","Email","Website","State","City","Address"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","http://kushagram.com","Irvine","California","Irvine, California US 92606"
"Clarity California Cannabis","(657) 254-6496","Michael@ObtainClarity.Com","http://www.ObtainClarity.Com","Irvine","CA","Irvine, CA  92821"
"Releaf","(949) 439-3574","Releaf2deliveries@gmail.com","","Irvine","California","Irvine, California US 92651"
"MedMen Delivery - Irvine","(714) 515-8506","info.oc@medmen.com","https://medmen.com/stores/orange-county-santa-ana/","Irvine","California","Irvine, California US 92618"
"Puffy Delivery","949-313-8720","support@puffydelivery.com","http://puffydelivery.com","Irvine","California","Irvine, California US 92602"
"Natures Cure","949-205-0603","NaturesCureDeliveryService@gmail.com","","Irvine","California","Irvine, California US 92614"
"The Grasshopper Delivery - Irvine","(714) 425-0121","grasshopperdelivery714@gmail.com","","Irvine","California","Irvine, California US 92503"
"Green Tree Remedy - Irvine","3238005420","sales@greentreeremedy.com","","Irvine","Ca","Irvine, Ca  92604"
"Golden Leaf","909-720-0205","weedmaps@goldenleaf420.com","http://goldenleaf420.com","Irvine","California","Irvine, California US 92602"
"Euphorik Drop","(949) 394-1426","EuphorikDrop@gmail.com","","Irvine","California","Irvine, California US 92627"
"949 Insta-Grams","949-422-2206","xyz@gmail.com","","Irvine","CA","Irvine, CA USA 92620"
"OCPC","949-752-6272","ocpcdelivery123@gmail.com","http://www.ocpcdelivery.com","Irvine","CA","Irvine, CA USA 92606"
"Blum Delivery - Irvine","949-238-4203","ca-info@letsblum.com","https://www.letsblum.com/shop-blum","Irvine","California","Irvine, California US 92618"
"Cannabis on Wheels","949-522-0904","420otw@gmail.com","","Irvine","California","Irvine, California US 92618"
"OTCPA","9494056716","onthecoastpa@gmail.com","","irvine","California","irvine, California US 92614"
"Peoples OC","714-660-2521","marketing@pmcoc.com","https://www.peoplesorangecounty.com/menu","Irvine","CA","Irvine, CA USA 92602"
"Extraction - Irvine","949-375-8936","extraction420@gmail.com","","Irvine","CA","Irvine, CA USA 92612"
"OC Compassionate Care - Irvine","949-751-9747","occcdelivery@gmail.com","http://www.occompassionatecare.org","Irvine","CA","Irvine, CA United States 92614"
"QUIKBUDS Premium Delivery - Irvine","714-697-7003","quikbuds@gmail.com","http://quikbuds.com","Irvine","California","Irvine, California US 92604"
"MedExpress","9492452771","medexpressoc@protonmail.com","","Irvine","CA","Irvine, CA USA 92618"
"HIGHWAY","949-275-1099","ochighway420@gmail.com","","Irvine","California","Irvine, California US 92612"
"SCQM Delivery Irvine UCI","714-878-6069","SCQMDelivery@gmail.com","http://www.scqmdelivery.com","Irvine","CA","Irvine, CA USA 92612"
"THE REAL OG's Delivery","707-391-3031","REALOGSOC@GMAIL.COM","","Irvine","California","Irvine, California US 92602"
"KUSHAGRAM - UCI","949-750-2003","Donations@Kushgram.com","http://kushagram.com","Irvine","California","Irvine, California US 92604"
"GrassRoots Collective","949 432 0456","GRDeliveryService@gmail.com","","Irvine","CA","Irvine, CA  92617"
"Elevate Delivery","949-484-8880","ElevateDelivery@outlook.com","","Irvine","California","Irvine, California US 92606"
"PharmSquad","888-627-7958","info@pharmsquad.com","http://www.pharmsquad.com","Irvine","California","Irvine, California US 92620"
