"Business name","Phone","Email","Website","State","City","Address"
"HoneyBudz - JURUPA VALLEY / RUBIDOUX / EASTVALE","9514102321","honeybubz@gmail.com","","Jurupa Valley","California","Jurupa Valley, California US 92509"
"WeedBell Delivery - Jurupa Valley","(909)774-6132","hello@weedbell.com","http://WeedBell.com","Jurupa valley","","Jurupa valley,  US 91752"
"Reptar's Delivery-Eastvale","9516424597","highsky850@gmail.com","","Eastvale","California","Eastvale, California US 91752"
"High N Delivery","+1 (951) 532-1589","ays.delivery.ie@gmail.com","","Eastvale","California","Eastvale, California US 92880"
"Jane Welnis","951-512-0000","sales@janewelnis.com","","Eastvale","California","Eastvale, California US 92880"
"FTP Gifts Everyday","909-927-7795","ftpeveryday420@gmail.com","","Eastvale","CA","Eastvale, CA  92880"
"FTP Gifts Everyday","909-927-7795","ftpeveryday420@gmail.com","","Jurupa Valley","CA","Jurupa Valley, CA  92509"
"Todays Meds - Jurupa Valley","1-877-420-Meds","todaysmeds@yahoo.com","","Jurupa Valley","CA","Jurupa Valley, CA  92509"
"Hyperwolf - Eastvale 2.0","951-200-2088","order@Hyperwolf.com","https://www.Hyperwolf.com","Eastvale","California","Eastvale, California US 91752"
"Top Knotch","951-758-0533","topknotchinc86@gmail.com","","Mira Loma","California","Mira Loma, California US 92509"
"Leaf House Delivery","9513369867","theleafhousedelivery@gmail.com","","Jurupa Valley","California","Jurupa Valley, California US 92509"
