"Business name","Phone","Email","Website","State","City","Address"
"MedMen Delivery - La Jolla","(858) 529-1985","info.sorrentovalley@medmen.com","https://medmen.com/stores/san-diego-sorrento-valley","La Jolla","California","La Jolla, California US 92093"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"Speedy Weedy Delivery","619-333-3330","sales@weedydelivers.com","https://speedyweedydelivery.com","La Jolla","California","La Jolla, California US 92037"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"Happy Time Delivery","(619) 402-2345","happytimegroup420@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"WEEDRIVE","6194022849","weedrive1@gmail.com","","La Jolla","CA","La Jolla, CA  92037"
"The Great Meds","(619) 558-8963","thegreatmgmt@gmail.com","","La Jolla","California","La Jolla, California US 92121"
"Pronto Delivery","6198328845","sdbestdelivery@hotmail.com","","La Jolla","California","La Jolla, California US 92037"
"Weedfellas","6193179911","weedfellas@yahoo.com","","La Jolla","CA","La Jolla, CA  92037"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","La Jolla","California","La Jolla, California US 92037"
"Weed Management","6194307153","weedmanagement@yahoo.com","","La Jolla","California","La Jolla, California US 92121"
"Exotic Meds","(619) 610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","La Jolla","CA","La Jolla, CA  92122"
"Superfly Delivery","858-717-0563","superflydeliverysd@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"Golden State Greens Point Loma - La Jolla","6192688035","delivery@goldenstategreens.com","","La Jolla","California","La Jolla, California US 92037"
"Super Buds","619-919-9666","SUPERBUDSSD@GMAIL.COM","","LA JOLLA/Pacific Beach","California","LA JOLLA/Pacific Beach, California US 92037"
"Pakalolo Sunshine","6199802597","pakalolosunshine@gmail.com","http://www.pak-sun.org","La Jolla","CA","La Jolla, CA  92122"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","La Jolla","CA","La Jolla, CA  92037"
"Buzzed Bunny","619-900-3355","buzzedbunnyy@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"Triple High","858-322-3216","triplehighsd@gmail.com","http://420-420-420.com","La jolla","California","La jolla, California US 92122"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","La Jolla","California","La Jolla, California US 92122"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","La Jolla","CA","La Jolla, CA  92037"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","San Diego","CA","San Diego, CA  92140"
"Members Only","619-292-8865","membersonlyclub619@gmail.com","","La Jolla","California","La Jolla, California US 92122"
"Lavish Buds Delivery","6196395422 ","lavishbudsdelivery@gmail.com","https://loyalboxads.com/p?c=q76513&i=22129858","La jolla","California","La jolla, California US 92037"
"Mankind Delivery","(858) 247-0953","info@mankindcannabis.com","http://www.mankindcannabis.com","San Diego","California","San Diego, California US 92121"
"Limitless","619-301-8903","limitlesscollectives@icloud.com","","La Jolla","CA","La Jolla, CA  92037"
"Blu Diamond Solutions","619-878-3638","bds2you@gmail.com","http://www.bdiamondsol.com","La Jolla","CA","La Jolla, CA  92122"
"Bud Club","619-874-4793","CallorText@dontemail.com","","La Jolla","CA","La Jolla, CA  92122"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","La Jolla/Torrey Pines","California","La Jolla/Torrey Pines, California US 92037"
"Limitless","619-301-8903","limitlesscollectives@icloud.com","","la Jolla","Ca","la Jolla, Ca  92037"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"Elevated Krew","8588484165","elevatedcannabis619@gmail.com","","La Jolla","California","La Jolla, California US 92037"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","La Jolla","California","La Jolla, California US 92122"
