"Business name","Phone","Email","Website","State","City","Address"
"True Meds Delivery Incorporated","1619 332 9597","truemedsdelivery@gmail.com","","San Diego","CA","San Diego, CA  92115"
"Speedy Weedy Delivery","619-333-3335","sales@weedydelivers.com","https://speedyweedydelivery.com","La Mesa","California","La Mesa, California US 91942"
"Happy Time Delivery","(619) 404-8830","happytimegroup420@gmail.com","","La Mesa","California","La Mesa, California US 91945"
"Weed 4 Less","1(619) 772-8468","weed4less619@gmail.com","","La Mesa","California","La Mesa, California US 91941"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","La Mesa","California","La Mesa, California US 91941"
"Dankology- La Mesa","6194935337","DANKOLOGYSD@GMAIL.COM","","La Mesa","California","La Mesa, California US 91941"
"Perfect Canna","(858) 214- 0122","PerfectCannaDistro@Gmail.com","","La Mesa","California","La Mesa, California US 91942"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","La Mesa","CA","La Mesa, CA (Select a country) 91942"
"Exotic Meds","619-610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","La Mesa","","La Mesa,  US 92107"
"The Great Meds","6195588963","thegreatmgmt@gmail.com","","San Diego","CA","San Diego, CA  92115"
"Pronto Delivery","6198328845","sdbestdelivery@hotmail.com","","La Mesa","California","La Mesa, California US 91941"
"House Of Dank","619-383-4740","HOUSEOFDANK@YAHOO.COM","","La Mesa","CA","La Mesa, CA  91941"
"Supreme Meds","1(619)486-2299","suprememeds1@gmail.com","","La Mesa","California","La Mesa, California US 92115"
"Weedfellas","6193179911","weedfellas619@gmail.com","","San Diego","CA","San Diego, CA USA 92115"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"Puffy Delivery","619-567-5194","support@puffydelivery.com","http://puffydelivery.com","La Mesa","California","La Mesa, California US 91942"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Diego","CA","San Diego, CA  92115"
"Express Care","619-631-9592","Expresscaresd@gmail.com","","La Mesa","CA","La Mesa, CA (Select a country) 92115"
"Quality Control Meds","619-536-5744 ","qcontrol95@gmail.com","","La mesa","California","La mesa, California US 91942"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92115"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","La Mesa","California","La Mesa, California US 91942"
"The Antidote","(747)-400-6413","happychill420@gmail.com","","La Mesa","California","La Mesa, California US 92115"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","La Mesa","California","La Mesa, California US 92115"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","La Mesa","California","La Mesa, California US 91941"
"Healthcare Alternatives","619-277-4523 ","healthcarealternatives@gmail.com","http://hca215.tumblr.com","San Diego","CA","San Diego, CA  92119"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","La Mesa","CA","La Mesa, CA CA 92115"
"Blu Diamond Solutions","619-878-3638","Grngrwbizadm@gmail.com","http://www.bdiamondsol.com","La Mesa","CA","La Mesa, CA  92115"
"Buzzed Bunny","619-900-3354","buzzedbunnyy@gmail.com","","SDSU","California","SDSU, California US 91941"
"Lavish Buds Delivery","6196395422 ","lavishbudsdelivery@gmail.com","https://loyalboxads.com/p?c=q76513&i=22129858","La Mesa","California","La Mesa, California US 92115"
"Quality Delivery - East","(619) 549-9786","tmp@tmp.com","","San Diego","CA","San Diego, CA USA 92115"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","La Mesa","California","La Mesa, California US 92120"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","La Mesa","California","La Mesa, California US 92115"
"March and Ash Delivery","619-314-7336","info@marchandash.com","https://marchandash.com","San Diego","California","San Diego, California US 92120"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","La Mesa","Ca","La Mesa, Ca  91942"
"Culture Cannabis Co","6199203876","cannabisdeals@outlook.com","","La Mesa","California","La Mesa, California US 91942"
