"Business name","Phone","Email","Website","State","City","Address"
"Loilty Caregivers","6262951638","loiltycaregivers@yahoo.com","","La Puente/West Covina","CA","La Puente/West Covina, CA  91744"
"Green Tree Remedy","3238005420","sales@greentreeremedy.com","","La puente","Ca","La puente, Ca  91744"
"Temple Of Healing Delivery","6264237246","Templeofhealling.hh@gmail.com","","Hacienda Heights","California","Hacienda Heights, California US 91715"
"Buddies","626-238-8784","buddiesmedexpress@yahoo.com","","La Puente","California","La Puente, California US 91790"
"C.O.D.","6262773163","cannabisondelivery626@gmail.com","","La Puente","California","La Puente, California US 91746"
"High Rollers Xpress","626-615-3720","HIGHRx420@gmail.com","","Industry","California","Industry, California US 91746"
"Green Lit Pharms","626-899-3854","greenlitpharmsexpress@gmail.com","http://www.greenlitpharms.com","La Puene","California","La Puene, California US 91746"
"Positive Organic Treatment","(626) 474-4041","hnp73@yahoo.com","","West Covina","California","West Covina, California US 91792"
"Red Eye Meds","(650) 489-4914","theredeyeclub420@gmail.com","http://theredeyeclub.com","La Puente / Hacienda Heights","California","La Puente / Hacienda Heights, California US 91744"
"Route 22","909-569-4529","myroute2248@yahoo.com","","La Puente","California","La Puente, California US 91744"
"Real Monster Delivery","8052856973","realmonsterdelivery@gmail.com","","La Puente","California","La Puente, California US 91744"
"Lifted Cookies","626-225-5548","liftedcookies2k19@gmail.com","","La Puente","California","La Puente, California US 91790"
"Mr. Chowws Remedies","626-622-5998","MrChowwsRemedies@Yahoo.com","","Wallnut","California","Wallnut, California US 91763"
"Kush All Night","(626)664-6994","Joesmithjr65@gmail.com","","Hacienda Heights","California","Hacienda Heights, California US 91745"
"Quality Meds Delivery","626-782-3270","qualitymedsdelivery@gmail.com","","La Puente","California","La Puente, California US 91790"
"SGV MED EXPRESS","626-200-3587","sgv20132@yahoo.com","","West Covina","Ca","West Covina, Ca USA 91790"
"Wee-Delivery Medical Marijuana Collective","888.422.9658","donationsweedelivery@gmail.com","https://www.wee-delivery.com/","La Puente","CA","La Puente, CA  91744"
"Green Pinnacle - Walnut","909-345-4373","GreenPinnacle420@gmail.com","","Walnut","CA","Walnut, CA (Select a country) 91789"
"The Spot","626-295-6541","smokeout735@gmail.com","","La Puente","Ca","La Puente, Ca  91790"
"Mellow Martian","626-720-9344","mellowmartiancollective@gmail.com","http://mellowmartian.com","La Puente","Ca","La Puente, Ca  91744"
"420 Cure","626-991-3140","HEALTHYLIVING4200@GMAIL.COM","","La Puente","California","La Puente, California US 91746"
"Walnut Valley Wellness","626-533-1047","walnutvw@outlook.com","","La Puente","California","La Puente, California US 91789"
"The Highest Choice","(626)413-2682","thehighestchoice@gmail.com","","Hacienda Heights","California","Hacienda Heights, California US 91745"
"Pelican","323-536-5613","thepelican10@gmail.com","","Hacienda Heights","CA","Hacienda Heights, CA USA 91745"
"Hyperwolf - Walnut 2.0","(714) 988-4700","Info@Hyperwolf.com","http://Hyperwolf.com","West Covina","California","West Covina, California US 91792"
