"Business name","Phone","Email","Website","State","City","Address"
"Speedy Weedy Delivery","619-333-3335","sales@weedydelivers.com","https://speedyweedydelivery.com","Lemon Grove","California","Lemon Grove, California US 91945"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","Spring Valley","California","Spring Valley, California US 91977"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","Spring Valley","CA","Spring Valley, CA  91977"
"The Great Meds","6195588963","thegreatmgmt@gm9ail.com","","San Diego","CA","San Diego, CA  91977"
"House Of Dank","619-383-4740","houseofdank@yahoo.com","","Lemon Grove","CA","Lemon Grove, CA  91945"
"Duckys Meds","619-404-8705","duckys619@gmail.com","https://youtu.be/Of0czt-9HRI","Lemon Groove","California","Lemon Groove, California US 91945"
"Puffy Delivery","619-245-4040","support@puffydelivery.com","http://puffydelivery.com","Lemon Grove","California","Lemon Grove, California US 91945"
"Freedom Farmers","619-388-9638","FreedomFarmers@yahoo.com","","San Diego","CA","San Diego, CA USA 92104"
"WEEDRIVE","619-569-7512","weedrive1@gmail.com","http://WEEDRIVEUSA.COM","Spring Valley","CA","Spring Valley, CA  91977"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Lemon Grove","California","Lemon Grove, California US 91945"
"Buzzed Bunny","619-900-3354","buzzedbunnyy@gmail.com","","Lemon Grove","California","Lemon Grove, California US 92121"
"Purple Dragon Delivery","619-635-1729","purpledragonsd@gmail.com","http://sandiegomedicalcannabisdelivery.com","Spring Valley","California","Spring Valley, California US 91977"
"Happy Time Delivery","(619) 404-8830","happytimegroup420@gmail.com","","Lemon Grove","","Lemon Grove,  US 91977"
"VIP Specials","(619)631-9232","vipspecials420@gmail.com","","Lemon Grove","California","Lemon Grove, California US 91945"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Lemon Grove","California","Lemon Grove, California US 91977"
"Lavish Buds Delivery","6196395422","lavishbudsdelivery@gmail.com","https://loyalboxads.com/p?c=q76513&i=22129858","Lemon Grove","California","Lemon Grove, California US 91945"
