"Business name","Phone","Email","Website","State","City","Address"
"Empire Delivery - Manteca / Lathrop","(209) 589-6475","empirehealthandwellness64@gmail.com","http://www.empirehw.com","Manteca","California","Manteca, California US 95336"
"Medallion Wellness Delivery - Manteca","209-222-3110","medallionwellnessdelivery@gmail.com","http://medallionwellness.com/","Manteca","CA","Manteca, CA  95336"
"GoTreez - Lathrop","(888)801-0877","gotreez1@gmail.com","http://gotreez.com/wj-menu/","Lathrop","California","Lathrop, California US 95330"
"Grasshoppers!","209-502-1750","uhan@grasshoppershwc.org","","Manteca","California","Manteca, California US 95336"
"Specialty Meds - Lathrop","209-237-8932","specialtymeds209@gmail.com","","Lathrop","CA","Lathrop, CA  95330"
"Smoakland - Lathrop","510-513-9570","register@smoakland.com","http://smoakland.com","Manteca","CA","Manteca, CA  95336"
"TruLeaf Delivery","(209) 606-9694","info@truleafinc.com","","Manteca","California","Manteca, California US 95337"
"Cloud9 Xpress","925-409-5675","sales@cloud9xpress.com","","Manteca","California","Manteca, California US 95337"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Manteca","California","Manteca, California US 95336"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Manteca","California","Manteca, California US 95337"
"Phuckette","(209) 683-5070 ","order@phuckettedirect.com","https://www.phuckette.com/","Manteca","California","Manteca, California US 95336"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Manteca","California","Manteca, California US 95336"
