"Business name","Phone","Email","Website","State","City","Address"
"Hyperwolf - Menifee","951-200-2088","order@hyperwolf.com","https://www.Hyperwolf.com","Menifee","California","Menifee, California US 92586"
"Lyftd","9518169227","420Lyftd@gmail.com","","Menifee","California","Menifee, California US 92584"
"SHEANNABIS - MENIFEE / WINCHESTER - Grand Opening!!!","9516097530","honeybubz@gmail.com","","Menifee","California","Menifee, California US 92584"
"Royal Genetics","951-834-7417","royal.genetics@yahoo.com","","Menifee","California","Menifee, California US 92586"
"Smart Delivery","951-581-2977","smartdelivery.t@gmail.com","","Menifee","California","Menifee, California US 92551"
"The Gas Station Delivery - Menifee","1 (909) 420-5214","tgsdelivery@yahoo.com","","Menifee","CA","Menifee, CA USA 92586"
"Mile High Supply","951-501-9009","MHSupplys@gmail.com","https://www.milehighsupplys.com/","Menifee","California","Menifee, California US 91786"
"Presidential Collective - Menifee","1-951-440-9422","presidentialcollective951@gmail.com","","Menifee","CA","Menifee, CA United States 992584"
"Holiday Meds","951-409-5419","Holidaymeds420@gmail.com","","Menifee","California","Menifee, California US 92584"
"Cloudy 8","(951) 570-9047","cloudyeight59@gmail.com","","Menifee","California","Menifee, California US 92584"
"The High Church Delivery"," (877) 766-5420","info@thehighchurch.com","http://thehighchurch.com","Menifee","CA","Menifee, CA  92586"
"SoCALGreen Meds - Menifee","951-401-8020","patientinfo@socalgreenmeds.com","","Menifee","California","Menifee, California US 92404"
"WeedBell Delivery - Menifee","9514098388","hello@weedbell.com","http://weedbell.com","Menifee","California","Menifee, California US 92586"
"Herbalistic Care HHC - Menifee","951-821-8558","herbalistic.care@gmail.com","http://www.HerbalisticCare.com","Menifee Area","California","Menifee Area, California US 92586"
"TNF Flower Shop","951-381-2344","tnf.associates@gmail.com","","Menifee","CALIFORNIA","Menifee, CALIFORNIA United States 92586"
"Super Dank Deliveries","408-829-1248","superdank420247@gmail.com","","Winchester","California","Winchester, California US 92596"
"Green Mile - Menifee","951-451-7238","greenmile951@gmail.com","","Menifee","California","Menifee, California US 92586"
"Flower and Honey","(951) 422-9540","flowerhoney666@gmail.com","","Menifee","California","Menifee, California US 92596"
"Hempire Meds - Menifee","951-801-4200","Hempiremeds@gmail.com","","Menifee","CA","Menifee, CA USA 92584"
"Green Giant Health Care- Menifee","951-581-9884","greengiant@freecannabis4you.com","http://freecannabis4you.com","Menifee","California","Menifee, California US 92584"
"HEAVY ORGANICS+ Powered by The Cookie House","951-251-2649","heavyorganics@gmail.com","","Menifee","California","Menifee, California US 92584"
"Dank Bank Collective","9095330065","superstickyy710@gmail.com","","Menifee","California","Menifee, California US 92586"
