"Business name","Phone","Email","Website","State","City","Address"
"True Meds Delivery Incorporated","619-332-9597","truemedsdelivery@gmail.com","","Mission Valley","CA","Mission Valley, CA  92104"
"MedMen Delivery - Mission Valley","(619) 450-8909","info.sandiego@medmen.com","https://medmen.com/stores/san-diego-kearny-mesa","Mission Valley","California","Mission Valley, California US 92108"
"Speedy Weedy Delivery","619-333-3330","sales@weedydelivers.com","https://speedyweedydelivery.com","Mission Valley","California","Mission Valley, California US 92108"
"California Cannabis","1619-627-4697","californiacannabiss@gmail.com","","Mission Valley","California","Mission Valley, California US 92108"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Mission Valley","","Mission Valley,  US 92108"
"Exotic Meds","(619) 610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","Mission Valley","CA","Mission Valley, CA USA 92116"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Mission Valley","CA","Mission Valley, CA  92108"
"Pronto Delivery","6198328845","sdbestdelivery@hotmail.com","","Mission Valley","California","Mission Valley, California US 92108"
"The Great Meds","6195588963","thegreatmgmt@gm9ail.com","","San Diego","California","San Diego, California US 92108"
"House Of Dank","6194860730","HOUSEOFDANK@YAHOO.COM","","Mission Valley","CA","Mission Valley, CA  92101"
"Supreme Meds","(619)486-2299","suprememeds1@gmail.com","","Mission Valley","California","Mission Valley, California US 92123"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","Mission Valley","California","Mission Valley, California US 92108"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","Mission Valley","CA","Mission Valley, CA  92108"
"TigerLily Bakes (3)","858-752-0828","orders@tigerlilybakes.com","","Mission Valley","CA","Mission Valley, CA  92108"
"Mack and Bros.","(858) 410-0444","delivery@mackandbros.com","","Mission Valley","California","Mission Valley, California US 92108"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Diego","CA","San Diego, CA  92104"
"Buzzed Bunny","619-900-3355","buzzedbunnyy@gmail.com","","Mission Valley","California","Mission Valley, California US 92121"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92116"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","Mission Valley","Ca","Mission Valley, Ca  92108"
"Express Care","619-631-9592","Expresscaresd@gmail.com","","Mission Valley","CA","Mission Valley, CA (Select a country) 92108"
"Quality Delivery","(619) 549-9786","tmp@tmp.com","","San Diego","ca","San Diego, ca USA 92103"
"Super Buds","619-919-9666","superbudssd@gmail.com","","Mission Valley","California","Mission Valley, California US 92108"
"VIP Specials","(619)631-9232","vipspecials420@gmail.com","","Mission Valley","CA","Mission Valley, CA  92108"
"Blu Diamond Solutions","619-878-3638","bds2you@gmail.com","http://www.bdiamondsol.com","Hillcrest","CA","Hillcrest, CA  92103"
"The Kush Remedy","6193661967","thekushremedy@gmail.com","http://www.thekushremedy.com","Mission Valley","CA","Mission Valley, CA USA 92106"
"Bud Club","619-874-4793","budclubsd@hushmail.com","","Mission Valley","CA","Mission Valley, CA  92103"
"Stone Zone Delivery - San Diego","619-354-0022","stonezonesd@gmail.com","","Mission Valley","California","Mission Valley, California US 92108"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Mission Valley","California","Mission Valley, California US 92108"
"Culture Cannabis Co","6199203876","cannabisdeals@outlook.com","","Mission Valley","California","Mission Valley, California US 92108"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","San Diego","California","San Diego, California US 92103"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","San Diego","California","San Diego, California US 92108"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92103"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","Hillcrest","California","Hillcrest, California US 92103"
"Limitless","619-301-8903","limitlesscarecollec@gmail.com","","Mission Valley","California","Mission Valley, California US 92108"
"SDRC Delivery","844-420-SDRC (7372)","loudincsd@gmail.com","http://www.sandiegorecreationalcannabis.com","Mission Valley","California","Mission Valley, California US 92108"
