"Business name","Phone","Email","Website","State","City","Address"
"Empire Delivery - Modesto","(209) 589-6475","empirehealthandwellness64@gmail.com","http://www.empirehw.com","Modesto","California","Modesto, California US 95354"
"Medallion Wellness Delivery - Modesto","209-222-3110","medallionwellnessdelivery@gmail.com","http://medallionwellness.com/","Modesto","CA","Modesto, CA  95354"
"TruLeaf Delivery","(209) 606-9694","info@truleafinc.com","","Modesto","California","Modesto, California US 95350"
"Hermies Herbs","2094968170","hermiesherbs@gmail.com","","Modesto","California","Modesto, California US 95358"
"Urban Flavours Delivery - Modesto","855-635-2868","orders@urbanflavoursdelivery.com","http://urbanflavoursdelivery.com","Modesto","California","Modesto, California US 95350"
"West Coast Green Rush","18334207874","info@westcoastgreenrush.com","http://www.westcoastgreenrush.com","Modesto","California","Modesto, California US 95354"
"Grasshoppers!","2095021750","grasshoppersHWC@gmail.com","","Modesto","California","Modesto, California US 95356"
"THE HEALING CONNECTION - Modesto","209-581-7806","THCtoYourDoor@gmail.com","http://SmokeAFatty.com","Modesto","California","Modesto, California US 95355"
"Green on the Go - Ceres Modesto","209-543-5080","greenonthego7@gmail.com","","Modesto","CA","Modesto, CA  95354"
"Smoakland - Modesto","510-513-9570","register@smoakland.com","http://www.cannabicarecollective.com","Modesto","CA","Modesto, CA  95351"
"Humble Root","9167935182","orders@humbleroot.com","http://www.humbleroot.com","Modesto","California","Modesto, California US 95354"
"Urban Flavours Delivery -Salida","855-635-2868","orders@urbanflavoursdelivery.com","https://urbanflavoursdelivery.com","Modesto","California","Modesto, California US 95350"
"IMC - Modesto","209-589-4885","islandmc.209@gmail.com","","Modesto","California","Modesto, California US 95351"
"The Peoples Remedy Mchenry- Delivery","(209) 640-6878","tpr.patterson@gmail.com","http://thepeoplesremedy.com","Modesto","California","Modesto, California US 95356"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Modesto","California","Modesto, California US 95357"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Modesto","California","Modesto, California US 95351"
