"Business name","Phone","Email","Website","State","City","Address"
"MedMen Delivery - Monterey Bay","(831) 884-5144","info.seaside@medmen.com","https://medmen.com/stores/monterey-bay-seaside","Seaside","California","Seaside, California US 93950"
"Golden Essentials Delivery - Seaside","(831) 206-2524","goldenessdelivery@gmail.com","http://www.goldenessentialsdelivery.com/","Seaside","CA","Seaside, CA USA 93940"
"MONTEREY - COMPASSIONATE BAY DELIVERY","(844) 223-4911","info@cbd831.com","http://www.compassionatebay.com","Monterey","CA","Monterey, CA  93940"
"Sticky Thumb 831","831-601-5286","stickythumb831@gmail.com","","Monterey","CA","Monterey, CA  93940"
"Tranquility Health Collective: Community First.","831-393-4842","info@tranquilityhealth.org","http://www.tranquilityhealth.org/menu","Monterey","CA","Monterey, CA  93940"
"Door Rush 420","866-787-4420","orders@doorrush420.com","http://doorrush420.com","Monterey","California","Monterey, California US 93940"
"Monterey Sanctuary","831-455-6097","MontereySanctuary831@gmail.com","http://usanctuary.com/","Monterey","California","Monterey, California US 93955"
"Monterey's Farmaceutical","831-710-1442","MontereysFarmaceutical@gmail.com","","Monterey","California","Monterey, California US 93940"
"Marina's Farmaceutical","831-710-1442","MontereysFarmaceutical@gmail.com","","Monterey","California","Monterey, California US 95060"
"600s Cannabis","661-400-4836","RAMIROREYES1080@GMAIL.COM","http://600delivery.com","Monterey","California","Monterey, California US 93940"
"The Members Only Club","(831) 754-8805","info@mocdelivery.com","http://www.mocdelivery.com","Monterey","California","Monterey, California US 93940"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Monterey","California","Monterey, California US 93923"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Monterey","California","Monterey, California US 93940"
