"Business name","Phone","Email","Website","State","City","Address"
"Bento - Mountain View","415-862-3686","order@bento.delivery","http://www.bento.delivery","Mountain View","California","Mountain View, California US 94043"
"MINT XPRESS now Enjoymint","6505164540","info@enjoymintdelivered.com","http://www.mintxpress.net","Mountain View","California","Mountain View, California US 94518"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Palo Alto","California","Palo Alto, California US 94306"
"Lakeside Remedy - Mountain View - Palo Alto","510-309-6981","lakesideremedy@gmail.com","http://www.lakesideremedy.com","Mountain View","California","Mountain View, California US 94303"
"Harvest Bloom - Mountain View/Palo Alto","(844) 811-1822","hello@getharvestbloom.com","https://getharvestbloom.com","Palo Alto","California","Palo Alto, California US 94306"
"Calico Buds RX","650-213-2491","CalicoBudsRX@gmail.com","","Palo Alto","California","Palo Alto, California US 94306"
"Marie's Deliverables","650-716-6116","cbd@mariesdeliverables.com","http://www.mariesdeliverables.com","Mountain View","CA","Mountain View, CA USA 94002"
"10 Collective","(415) 966- 5941","10collectivellc@gmail.com","https://10collective.org/","Menlo Park","California","Menlo Park, California US 94025"
"Smoakland - Palo Alto","510-513-9570","register@smoakland.com","http://www.smoakland.com","Palo Alto","California","Palo Alto, California US 95116"
"Elemental Wellness - Mountain View / Palo Alto","408-433-3344 ext. 5","delivery@elementalwellnesscenter.com","http://elementalwellnesscenter.com/","Mountain View","California","Mountain View, California US 94039"
"CEAS - Palo Alto","650-556-5135","info@ceascollective.org","http://ceascollective.org","Palo Alto","California","Palo Alto, California US 94301"
"Silicon Valley Medicinal","650-284-6262","siliconvalleymedicinal@gmail.com","http://www.svmedicinal.org","Mountain View","California","Mountain View, California US 94087"
"Natural Green ReLeaf","1-888-344-2019","info@ngr-sf.com","http://ngr-sf.com","Palo Alto","California","Palo Alto, California US 94103"
"Bento - Palo Alto","415-862-3686","order@bento.delivery","http://www.bento.delivery","Redwood City","California","Redwood City, California US 94063"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Palo Alto","CA","Palo Alto, CA  94304"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Mountain View","CA","Mountain View, CA  94041"
"Fresh Mint","(510) 692-5365","freshmintmd@gmail.com","http://www.freshmintmd.com","Palo Alto","California","Palo Alto, California US 94304"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Mt View","California","Mt View, California US 94040"
"Bayshore now MINT XPRESS - Mountain View","(408) 436-2440","info@mintxpress.net","http://www.mintxpress.net","Mountain View","California","Mountain View, California US 94043"
"Gold Coast Harvest Collective","8885751323","support@lyfted.co","http://www.GCHCollective.com/","Palo Alto","California","Palo Alto, California US 94303"
"Cannabis Express - Mountain View / Palo Alto","415-301-7573","contact@cannabisexpress.com","http://www.CannabisExpress.com","Stanford","CA","Stanford, CA  94305"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Menlo Park","Ca","Menlo Park, Ca  94025"
"C3 Delivery","(510) 616-8381","C3DeliveryBay@gmail.com","http://C3Delivered.com","Palo Alto/ Mountain View","California","Palo Alto/ Mountain View, California US 94020"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Los Altos","CA","Los Altos, CA  94022"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","Palo Alto","CA","Palo Alto, CA  94303"
"Green Bay Collective","650-257-0313","greenbaycollective@gmail.com","","Atherton","CA","Atherton, CA (Select a country) 94063"
"Arch Wellness","510-600-7948","arch.420.215@gmail.com","http://www.archmedicaldelivery.com","Palo Alto","California","Palo Alto, California US 94306"
"Silicon Valley Medicinal","650-284-6262","siliconvalleymedicinal@gmail.com","http://www.svmedicinal.org","Mountain View","California","Mountain View, California US 95032"
"Overland","(844) 687-5263","info@overlanddelivery.com","","Mountain View","California","Mountain View, California US 94041"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Mountain View","CA","Mountain View, CA  94040"
"Budee","9259532850","contact@budee.org","http://www.budee.org","Menlo Park","California","Menlo Park, California US 94025"
"Herbi","844-464-3724","support@herbi.com","http://www.herbi.com","Palo Alto","California","Palo Alto, California US 94306"
"Green On The Go - Palo Alto","510-688-4396","greenonthego7@gmail.com","","Palo Alto","California","Palo Alto, California US 94304"
"Only Good Weed","( 510) 957-5878","info@nlygoodweed.com","http://www.OnlyGoodWeed.com","Palo Alto","California","Palo Alto, California US 94305"
"Canna Culture Collective Delivery","(408) 264-7877","info@cannaculturecollective.com","http://cannaculturecollective.com/","Mountain View","California","Mountain View, California US 94040"
