"Business name","Phone","Email","Website","State","City","Address"
"HoneyBudz - MURRIETA","9517583317","honeybubz@gmail.com","","Murrieta","California","Murrieta, California US 92562"
"WeedBell Delivery - Murrieta","9514098388","hello@weedbell.com","http://weedbell.com","Murrieta","California","Murrieta, California US 92562"
"Lyftd","(951)9707184","420Lyftd@gmail.com","","Murrieta","California","Murrieta, California US 92562"
"Mile High Supply","951-501-9009","MHSupplys@gmail.com","http://mile-high-supply-625494.shoplightspeed.com/","Murrieta","California","Murrieta, California US 92562"
"Hyperwolf - Murrieta","951-200-2088","order@Hyperwolf.com","https://www.Hyperwolf.com","Murrieta","California","Murrieta, California US 92562"
"Royal Genetics","951-834-7417","royal.genetics@yahoo.com","","Murrieta","California","Murrieta, California US 92562"
"Express Delivery Service - Murrieta","951-400-1563","expressdeliveryserviceco@gmail.com","","Murrieta","CA","Murrieta, CA USA 92562"
"SoCAL Green Meds - Murrieta","951-401-8020","patientinfo@socalgreenmeds.com","","Murrieta","California","Murrieta, California US 92563"
"The High Church Delivery","(877) 766-5420","info@thehighchurch.com","http://thehighchurch.com","Murrieta","CA","Murrieta, CA  92562"
"DESERT DREAMS - DELIVERY","951-239-9875","captainhookkk@hotmail.com","","Murrieta","California","Murrieta, California  92562"
"Holiday Meds","951-409-5419","Holidaymeds420@gmail.com","","Murrieta","California","Murrieta, California US 91941"
"Top Flight Delivery - Murrieta","951-423-9195","topflightxx24@gmail.com","","Murrieta","California","Murrieta, California US 92563"
"Extraction - Murrieta","949-375-8936","extraction420@gmail.com","","Murrieta","CA","Murrieta, CA USA 92595"
"PACK BOYZ UNLIMITED","951-263-8583","packboyz420@gmail.com","","Murrieta","CA","Murrieta, CA  92562"
"Cloudy 8","(951) 570-9047","cloudyeight59@gmail.com","","Murrieta","California","Murrieta, California US 92562"
"Apothecary Genetics - Murrieta","9543368500","apogendelivery@gmail.com","","Murrieta","California","Murrieta, California US 92563"
"Super Dank Deliveries","408-829-1248","superdank420247@gmail.com","","Murrieta","California","Murrieta, California US 92562"
"Twisted Hope Collective","951-331-8791","jaceace13@twistedhopecollective.com","","Murrieta","Ca","Murrieta, Ca United States 92562"
"The Gas Station Delivery - Murrieta","1 (909) 420-5214","tgsdelivery@yahoo.com","","Murrieta","CA","Murrieta, CA USA 92652"
"Conscious Flowers","951-285-1554","consciousflowers@gmail.com","","Murrieta","California","Murrieta, California  92562"
"IE Meds","951-442-8462","iemeds951@gmail.com","","Murrieta","California","Murrieta, California US 92562"
"Hempire Meds - Murrieta/Menifee","951-801-4200","Hempiremeds@gmail.com","","Murrieta","CA","Murrieta, CA USA 92563"
"Higher Calling","951-269-9402","highercalling888@gmail.com","","Murrieta","CA","Murrieta, CA (Select a country) 92562"
"Discreet Medical Cannabis","323-491-7491","discreetmedicalcannabis@gmail.com","http://www.discreetmedicalcannabis.com","Murrieta","California","Murrieta, California US 92591"
"Green Chakra","7608458479 ","greenchakradelivery@gmail.com","","Murrieta","California","Murrieta, California US 92584"
"Hyperwolf - Murrieta 2.0","951-200-2088","order@hyperwolf.com","https://www.Hyperwolf.com","Murrieta","California","Murrieta, California US 92562"
"Dank Bank Collective","9095330065","superstickyy710@gmail.com","","Murrieta","California","Murrieta, California US 92652"
