"Business name","Phone","Email","Website","State","City","Address"
"HOLY HEALERS","714-686-9903","holyhealersdelivery@gmail.com","","Newport Beach","California","Newport Beach, California US 92660"
"1-866-DELIVERY","1-866-DELIVERY","info@DeliveryGreens.com","http://www.DeliveryGreens.com","Newport Beach","California","Newport Beach, California United States 92661"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","","Newport Beach","California","Newport Beach, California US 92625"
"Herbaculture - Newport Beach","9495141616","herbacultureinc@gmail.com","http://www.herbacultureoc.com","Newport Beach","CA","Newport Beach, CA USA 92660"
"Puffy Delivery","424-242-0733","support@puffydelivery.com","http://puffydelivery.com","Newport Beach","California","Newport Beach, California US 92663"
"Buderfly Delivery","909-438-7592","Buderflydelivery@outlook.com","","Newport Beach","California","Newport Beach, California US 92660"
"Golden Leaf","909-720-0205","weedmaps@goldenleaf420.com","http://goldenleaf420.com","Newport Beach","California","Newport Beach, California US 92663"
"Blum Delivery - Newport Beach","949-238-4203","ca-info@letsblum.com","https://www.letsblum.com/shop-blum","Newport Beach","California","Newport Beach, California US 92663"
"QUIKBUDS Premium Delivery - Newport Beach","714-697-7003","quikbuds@gmail.com","http://quikbuds.com","Newport Beach","California","Newport Beach, California US 92663"
"GrassRoots Collective","949 432 0456","GRDeliveryService@gmail.com","","Newport Beach","CA","Newport Beach, CA  92663"
"Secret Stash","714-837-8817","secretstashoc@gmail.com","","Newport Beach","CA","Newport Beach, CA USA 92660"
"Stone Zone Delivery - Newport Beach","949-416-5154","StoneZoneOC@gmail.com","","Newport Beach","CA","Newport Beach, CA  92663"
"1-866-DELIVERY","1-866-DELIVERY","info@DeliveryGreens.com","http://www.DeliveryGreens.com","Santa Ana","CA","Santa Ana, CA USA 92651"
"SCQM Newport Beach East","714-878-6069","SoCalQualityMedical@gmail.com","http://www.scqmdelivery.com","Newport Beach","CA","Newport Beach, CA USA 92660"
"GasCar - Newport Beach","714-450-5401","gascar420@gmail.com","","Newport Beach","CA","Newport Beach, CA  92663"
"KUSHAGRAM - NEWPORT BEACH","949.750.2003","donations@kushagram.com","","Newport Beach","California","Newport Beach, California US 92663"
"KUSHAGRAM - CORONA DEL MAR","949-750-2003","donations@kushagram.com","http://kushagram.com","Newport Beach","California","Newport Beach, California US 92659"
"KUSHAGRAM","949-750-2002","donations@kushagram.com","","Newport Beach","California","Newport Beach, California US 92660"
"OC Compassionate Care - Newport Beach","949-751-9747","occcdelivery@gmail.com","http://www.occompassionatecare.org","Newport Beach","CA","Newport Beach, CA United States 92660"
"KUSHAGRAM - FASHION ISLAND","949-750-2003","Donations@Kushgram.com","http://kushagram.com","Newport Beach","California","Newport Beach, California US 92657"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","","Newport Beach","California","Newport Beach, California US 92657"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","http://kushagram.com","Newport Beach","California","Newport Beach, California US 92660"
"KUSHAGRAM","949-750-2002","Donations@Kushgram.com","","Newport Beach","California","Newport Beach, California US 92661"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","","Newport Beach","California","Newport Beach, California US 92660"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","","Newport Beach","California","Newport Beach, California US 92663"
"Juicebox Cartel","(310) 998-7507","jc@juiceboxcartel.com","https://juiceboxcartel.com/about-4/","Newport Beach","California","Newport Beach, California US 92663"
"1Stop OC","714-585-5657","onestopoc@yahoo.com","","Newport Beach","CA","Newport Beach, CA  92657"
