"Business name","Phone","Email","Website","State","City","Address"
"True Meds Delivery Incorporated","1619 332 9597","truemedsdelivery@gmail.com","","North Park","CA","North Park, CA  92116"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","North Park","California","North Park, California US 92104"
"Speedy Weedy Delivery","619-333-3330","sales@weedydelivers.com","https://speedyweedydelivery.com","Normal Heights","California","Normal Heights, California US 92104"
"Happy Time Delivery","(619) 402-2345","happytimegroup@gmail.com","","North Park","California","North Park, California US 92104"
"WEEDRIVE","619-569-7512","weedrive1@gmail.com","","North Park","Ca","North Park, Ca  92104"
"Dankology- North Park","6194935337","DANKOLOGYSD@GMAIL.COM","","North Park","California","North Park, California US 92104"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","North Park","CA","North Park, CA  92104"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","North Park","CA","North Park, CA (Select a country) 92104"
"Weedfellas","6193179911","weedfellas@yahoo.com","","North Park","CA","North Park, CA  92104"
"The Great Meds","619-558-8963","thegreatmgmt@gmail.com","","San Diego","California","San Diego, California US 92104"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92104"
"Exotic Meds","619-610-8587","exotic.medsdelivery@gmail.com","https://www.snapchat.com/add/exoticmeds","San Diego","CA","San Diego, CA  91902"
"Need 4 Weed","(619) 635-5694","N4W619@gmail.com","","Normal Heights/North Park","California","Normal Heights/North Park, California US 92108"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Mission Valley","California","Mission Valley, California US 92116"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","North Park","CA","North Park, CA  92104"
"House of Dank","6194860730","houseofdank@yahoo.com","","North Park","CA","North Park, CA  92104"
"Supreme Meds","(619)486-2299","suprememeds1@gmail.com","","Normal Heights","California","Normal Heights, California US 92105"
"TigerLily Bakes","858-752-0828","tigerlilybakes123@gmail.com","http://tigerlilybakes.com","San Diego","California","San Diego, California US 92109"
"Mr Speedy Delivery","6197249004","MrSpeedyDeliveries@gmail.com","http://mrspeedydeliveries.com","San Diego","California","San Diego, California US 92116"
"Tree House Collective","(619) 302-5383","bellaflorasd@gmail.com","http://lamesamedicalmarijuana.com/","North Park","California","North Park, California US 92116"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92107"
"BOGO BOYS","(619) 549-9786","tmp@tmp.com","","NORTH PARK","CA","NORTH PARK, CA  92105"
"The Kush Remedy","6193661967","thekushremedy@gmail.com","http://www.thekushremedy.com","Northpark","CA","Northpark, CA  92104"
"Scissor Drifters","7147684762","scissordrifters@gmail.com","https://weedmaps.com/deliveries/scissor-drifters","North Park","California","North Park, California US 92104"
"Quality Delivery","(619) 549-9786","tmp@tmp.com","","San Diego","CA","San Diego, CA  92102"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","North Park","CA","North Park, CA  92103"
"Lucky Shamrock","(619) 634-6803","luckyshamrock007@gmail.com","https://youtu.be/j37berwG_Eo","San Diego","California","San Diego, California US 92102"
"Affordable Ounces & More","6193065997","affordableounces@gmail.com","","Normal Heights","California","Normal Heights, California US 92104"
"Budzilla - North Park","619-836-0619","BudzillaSD619@protonmail.com","","North Park","CA","North Park, CA (Select a country) 92104"
"Buzzed Bunny","619-900-3354","buzzedbunnyy@gmail.com","","North Park","CA","North Park, CA USA 92104"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92114"
"CBD Delivery - Higher Hemp","619-363-4999","nick@higherhempcbd.com","https://www.HigherHempCBD.com","Normal Heights","California","Normal Heights, California US 92116"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92101"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92102"
