"Business name","Phone","Email","Website","State","City","Address"
"KUSHAGRAM","323-739-1134","donations@kushagram.com","","Long Beach","California","Long Beach, California US 90805"
"Green Tree Remedy","3238005420","sales@greentreeremedy.com","","Long Beach","CA","Long Beach, CA  90802"
"Weedrive2U - Signal Hill","(562) 350-5637","weedrive2u@gmail.com","","South Gate","","South Gate,  US 90241"
"LB Collective","562-522-4205","lbcollective@yahoo.com","","Long Beach","CA","Long Beach, CA  90805"
"Higher Purpose Delivery","562-552-0889","higherpurposedelivery@gmail.com","http://HigherPurposeDelivery.com","Signal Hill","CA","Signal Hill, CA  90755"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","North Long Beach","California","North Long Beach, California US 90807"
"ABC Delivery","5628262052","O@O.com","http://www.abccollective.com","Long Beach","CA","Long Beach, CA USA 90807"
"Krafted Strains","5629224439","masterthekraft@kraftedstarins.com","","Long Beach","California","Long Beach, California US 90807"
"The Medicine Man (OPEN LATE)","310-951-6006","mundunugucaregivers@gmail.com","","Long Beach","California","Long Beach, California US 90712"
"Divine Choice Delivery","562-743-9352","divinechoicedelivery@outlook.com","","Long Beach","California","Long Beach, California US 90755"
"Good Tree","562-315-8955","support@goodtreedelivery.com","http://goodTreeDelivery.com","North Long Beach","California","North Long Beach, California US 90805"
"Puffy Delivery","562-276-0694","support@puffydelivery.com","http://puffydelivery.com","North Long Beach","California","North Long Beach, California US 90807"
"UGC - UnderGround Cannabis","5623629052","ugclbc420@gmail.com","","North Long Beach","California","North Long Beach, California US 90806"
"Green Bae Collective","323-578-2876","GreenBaeCollective@gmail.com","http://www.greenbaecollective.com","North Long Beach","California","North Long Beach, California US 90805"
"The House Of Ounces","2139094790","TheLAhouseofounces@gmail.com","","Long Beach","California","Long Beach, California US 90806"
"UGC - UnderGround Cannabis","5623629052","ugclbc420@gmail.com","","North Long Beach","California","North Long Beach, California US 90805"
"Root215 - North Long Beach / Signal Hill","562-228-4408","root215delivery@gmail.com","","North Long Beach","CA","North Long Beach, CA  90822"
"KUSHAGRAM - Los Cerritos","323-739-1134","donations@kushagram.com","","Los Cerritos","California","Los Cerritos, California US 90807"
"Good Tree","562-315-8955","support@goodtreedelivery.com","","Long Beach","California","Long Beach, California US 90001"
"Herbavors","(714) 770-6058","herbavorscollective@gmail.com","","Long Beach","California","Long Beach, California US 90755"
"Deals on Wheels 420 Wellness","949-546-7131","dealsonwheelslb@gmail.com","","Long Beach","California","Long Beach, California US 90805"
"CBD Salon","562-213-9073","LBCFlowerDelivery@outlook.com","https://longbeachflowersdelivery.com","Long Beach","","Long Beach,  US 90805"
"Canna Harbor -North Long Beach","1-424-305-4416","elevateharborcitydelivery@gmail.com","","North Long Beach","California","North Long Beach, California US 90807"
"Take Flight LA","2138405997","Takeflightlacollective@gmail.com","http://Instagram.com/takeflightcollectivela","Long Beach","California","Long Beach, California US 90805"
"The Station - Delivery","562-221-1490","longbeachstation@gmail.com","http://thestationlb.com","Long Beach","California","Long Beach, California US 90755"
