"Business name","Phone","Email","Website","State","City","Address"
"MJ Rush Delivery","4242818142","MJRUSHDELIVERY@GMAIL.COM","","Northridge","California","Northridge, California US 91325"
"Reseda Discount Caregivers","818-757-0434","keri_rdc@yahoo.com","http://www.rdccollective.com","Northridge","California","Northridge, California US 91324"
"GRASSDOOR","310-749-9135","support@grassdoor.com","http://www.grassdoor.com","Northridge","California","Northridge, California US 91325"
"The Gas Station - Delivery Service","818-799-6168","DeliveryGasStation@Gmail.com","","Northridge","California","Northridge, California US 91325"
"Cloud 420 Delivery","818-270-0979","cloud420w@gmail.com","","Northridge","California","Northridge, California US 91324"
"Dank of the West","8182218079","dankofthewest818@gmail.com","http://www.dankofthewest818.com","Northridge","California","Northridge, California US 91325"
"MHPC 2 Go","818-422-7479","mhpc2go@gmail.com","","Northridge","California","Northridge, California US 91324"
"SUGARBUDZ","8186999629","SugarbudzPacoima@gmail.com","","Northridge","California","Northridge, California US 90001"
"SOLD PROFIT HUSTLE","7605773522","soldprofithustle1@gmail.com","","Granada Hills","California","Granada Hills, California US 91344"
"SpeedWeedLA","818-213-1049","granadagreens@gmail.com","","Granada Hills","California","Granada Hills, California US 91311"
"Deluxe Caregivers","818-427-6706","deluxecaregiversds@gmail.com","","Northridge","California","Northridge, California US 91326"
"Potmates Delivery","626-545-5749","Potmates77@gmail.com","","Los Angeles","California","Los Angeles, California US 91324"
"8th Wonder Delivery","8183128900","8thwonderdelivery@gmail.com","","Northridge","California","Northridge, California US 91325"
"Mr Smoke","747-272-2744","mrsmokela@gmail.com","","Northridge","California","Northridge, California US 91335"
"Weedmates","(818)-964-6010","weedmates19@gmail.com","","Northridge","California","Northridge, California US 91325"
"CanEx Delivery","(310) 384-8880","canexdelivery@gmail.com","http://www.canexdelivery.org","Reseda","California","Reseda, California US 91335"
"LCI","323-813-1116","lci420delivery@gmail.com","","Chatsworth","California","Chatsworth, California US 91325"
"Medi-Drnz Powered by Pure Bros","(818) 294-2224","medi.drnzpure@gmail.com","","Northridge","California","Northridge, California US 91326"
"Tasty Farms Delivery - Northridge","(818) 388-1920 ","tastyfarmsdelivery@gmail.com","http://www.tastyfarmsdelivery.com","Northridge","California","Northridge, California US 91325"
"Fire Bud","818-581-9554","firebudindustries@gmail.com","","Granada Hills","California","Granada Hills, California US 91344"
"Cali Green Express","(818) 855-2919","caligreenexpress@gmail.com","http://CaliGreenExpress.com","GRANADA HILLS","CA","GRANADA HILLS, CA  91344"
"The Highlife Cannabis Express","7472664087","thlcannabisexpress28@gmail.com","","Northridge","CA","Northridge, CA USA 91335"
"Cali Green Express","(818) 855-2919","caligreenexpress@gmail.com","http://CaliGreenExpress.com","CHATSWORTH","CA","CHATSWORTH, CA USA 91324"
"Dope Dynasty","818-213-3992","dopedynasty420@gmail.com","","Woodlands Hills","California","Woodlands Hills, California US 91367"
"Nightime with Remedy","818 336 8535","nightimeremedy35@gmail.com","","Northridge","California","Northridge, California US 91311"
"iWeed","747-203-5085","iweed007@gmail.com","https://iWeed.me/","Northridge","California","Northridge, California US 91344"
"Green Panda Express","818- 747-0514","greenpandaexpress90@yahoo.com","","Northridge","CA","Northridge, CA  91324"
"BudHut","818 739 9008","budhutla@gmail.com","","Northridge","California","Northridge, California US 91324"
"Stone Zone Delivery - Northridge","3234847846","stonezone818@gmail.com","","Northridge","California","Northridge, California US 91324"
"Bronto Delivery","323-487-9333","brontodelivery@gmail.com","http://www.brontodelivery.com","Northridge","California","Northridge, California US 91335"
"Pineapple Express","877 WE-DELIVER","support@pineappleexpress.com","https://pineappleexpress.com/?utm_source=weedmaps&utm_medium=affiliate&utm_campaign=porter_ranch","Porter Ranch","CA","Porter Ranch, CA  91326"
"Trap House Delivery","323-346-7248","ttraphouseboyz@gmail.com","","Northridge","California","Northridge, California US 91325"
"BudHut","818-739-9008","budhutla@gmail.com","","Northridge","California","Northridge, California US 91325"
"Fire Bud","818-581-9554","firebudindustries@gmail.com","","Northridge","California","Northridge, California US 91325"
"DR Kush Delivery","818) 855-0602","drkushdelivery@gmail.com","","Northridge","California","Northridge, California US 91325"
"ASAP BUDZ","747-900-3357","asapbudz420@hotmail.com","","Winnetka","CA","Winnetka, CA USA 91311"
"Crystal Cannabis","626-689-5142","Crystalcannabisla@gmail.com","","Northrige","California","Northrige, California US 91324"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Receda","California","Receda, California US 91325"
"We The Best Delivery - Northridge","213-712-3607","wethebestdelivery420@gmail.com","","Northridge","CA","Northridge, CA  91324"
"Joy Delivery","818-423-3744","joydelivered420@gmail.com","","Reseda","California","Reseda, California US 91335"
"Canoga Budz Delivery","(747) 214 - 9421","Canoga0800@gmail.com","","Los Angeles","California","Los Angeles, California US 91325"
"Emberz Delivery","3109350063","emberzdelivery@gmail.com","https://emberzdelivery.com/","Northridge","California","Northridge, California US 91325"
"HCMA - NC Co-Op Delivery","(818)699-9333","hcmadelivery@gmail.com","https://hcmadelivery.com/","Northridge","California","Northridge, California US 91325"
"DC Delivers","818-887-0980","info@dccollective.com","http://www.dccollective.com","Northridge","California","Northridge, California US 91325"
"Divine Wellness Delivery","3107348463","divinewellnesscenter@gmail.com","https://divinewellnessla.com/view-menu/","Northridge","California","Northridge, California US 91325"
