"Business name","Phone","Email","Website","State","City","Address"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://Kushagram.com","Oakland","California","Oakland, California US 94611"
"The Green Team Cannabis Delivery","510-697-1566","thegreenteam510@gmail.com","http://www.the-green-team.org","Berkeley","California","Berkeley, California US 94704"
"Mountain Remedy","(925) 420-4215","info@mountainremedy.com","http://www.mountainremedy.com","Oakland","CA","Oakland, CA  94606"
"FLYT Delivery at FLYT Lounge","(415) 407-2593","info@flytdelivery.com","http://www.flytdelivery.com","Oakland","California","Oakland, California US 94607"
"831 Delivery - Oakland","888-575-1323","support@lyfted.co","http://www.831.delivery","Oakland","California","Oakland, California USA 94601"
"Lakeside Remedy","510-309-6981","lakesideremedy@gmail.com","http://www.lakesideremedy.com","Oakland","CA","Oakland, CA (Select a country) 94612"
"KUSHAGRAM","510-633-8136","kgoak@kushagram.com","http://Kushagram.com","Oakland","California","Oakland, California US 94609"
"Cali Coast Delivery - Emeryville","510-325-6617","registration@calicoast420.com","http://www.calicoast420.com","Emeryville","California","Emeryville, California US 94608"
"Urban Flavours Delivery - Oakland","855-635-2868","orders@urbanflavoursdelivery.com","https://urbanflavoursdelivery.com","Oakland","California","Oakland, California US 94608"
"Mountain High Recreation","(415) 420-6470","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Oakland","California","Oakland, California US 94607"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Alameda","California","Alameda, California US 95037"
"FLOWER CO.","415-360-0896","hello@flowercompany.com","https://www.flowercompany.com","Oakland","California","Oakland, California US 94607"
"Smoakland - Oakland","510-513-9570","register@smoakland.com","http://www.smoakland.com","Oakland","CA","Oakland, CA USA 94601"
"Weed Now","510-488-4706","weednow510@gmail.com","http://www.getweednow.co","Oakland","California","Oakland, California US 96067"
"Greenflow","5105007778","symret@gmail.com","","Oakland","California","Oakland, California US 94609"
"Mitchs Boutique","510-626-0420","info@mitchsboutique.com","","Oakland","California","Oakland, California US 94602"
"Puffy Delivery","510-346-5408","support@puffydelivery.com","http://puffydelivery.com","Oakland","California","Oakland, California US 94607"
"Kizzle","(510) 485-1313","kizzlesdelivery@gmail.com","","Oakland","California","Oakland, California US 94602"
"Golden State Canna","5104993681","goldenstatecann@gmail.com","","Oakland","California","Oakland, California US 94618"
"Fresh Mint - Oakland","(510) 692-5365","freshmintmd@gmail.com","http://www.freshmintmd.com","Oakland","California","Oakland, California US 94607"
"Jingletown Cannabis Club","(510) 210-1689","Oakland@jtcclub.com","http://www.jtcclub.com","Oakland","California","Oakland, California US 94601"
"City Greens","415-993-6847","info@citygreens.org","http://www.citygreens.org","Oakland","California","Oakland, California US 94611"
"West Coast Medical Finest","(650) 450-3766","info@wcmfinest.org","http://www.wcmfinest.org","Oakland","California","Oakland, California US 94621"
"Buzz Delivery","(844) 420-2899","info@buzzdelivery.org","http://www.buzzdelivery.org/","Oakland","California","Oakland, California US 94608"
"The Diamond Bonsai","510 421 6135","TDBVERIFY@GMAIL.COM","http://THEDIAMONDBONSAI.CA","Oakland","CA","Oakland, CA  94619"
"INDIKA - Oakland","(415) 988-0263","indikamcc@gmail.com","http://indikamcc.com","Oakland","California","Oakland, California US 94606"
"Green Gravity Collective","(510) 500-2706","greengravitycollective@gmail.com","","Oakland","California","Oakland, California US 94116"
"Padre Mu","510-605-7071","delivery@padremu.com","http://www.padremu.com","Alameda","California","Alameda, California US 94501"
"Irie Care Delivery - Oakland","510-328-8896","IrieCareCollective@gmail.com","http://www.Iriecaredelivery.com","Oakland","California","Oakland, California US 94602"
"Cannabud Express","5108336372","customer.service@cannabudexpress.com","http://www.cannabudexpress.com","Oakland","California","Oakland, California US 94606"
"Syndicate","5105188126","syndicatedelivery@gmail.com","","Oakland","CA","Oakland, CA  94605"
"Road Runner Co - Oakland","(510) 517-0216","info@roadrunnerco.net","http://roadrunnerco.net","Oakland","CA","Oakland, CA  94605"
