"Business name","Phone","Email","Website","State","City","Address"
"Speedy Weedy Delivery","619-333-3330","sales@weedydelivers.com","https://speedyweedydelivery.com","Ocean Beach","California","Ocean Beach, California US 92110"
"True Meds Delivery Incorporated","6195043216","truemedsdelivery@gmail.com","","Ocean Beach","CA","Ocean Beach, CA  92107"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Ocean Beach","California","Ocean Beach, California US 92106"
"Dankology- Ocean Beach","6194935337","DANKOLOGYSD@GMAIL.COM","","Ocean Beach","California","Ocean Beach, California US 92106"
"Weed Management","6194307153","weedmanagement@yahoo.com","","San Diego","California","San Diego, California US 92110"
"Holy Green","619-387-6952","forbiddengreen@yahoo.com","","San Diego","California","San Diego, California US 92110"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Ocean Beach","CA","Ocean Beach, CA USA 92110"
"Harbor Collective","619-841-2045","harborcollective@hotmail.com","http://harbormmcc.com","Ocean Beach","CA","Ocean Beach, CA  92107"
"House Of Dank - Ocean Beach","6194860730","houseofdank@yahoo.com","","Ocean Beach","Ca","Ocean Beach, Ca  92107"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"Better Budz","858-263-5832","betterbudzpb@gmail.com","","Ocean Beach","California","Ocean Beach, California US 92107"
"SoCal AMC","7607165266","socalamc@gmail.com","","San Diego","CA","San Diego, CA United States 92110"
"Tree of Life","(619)307-3620","treeoflifedelivery@gmail.com","","San Diego","California","San Diego, California US 92107"
"Puffy Delivery","619-361-8374","support@puffydelivery.com","http://puffydelivery.com","Ocean Beach","California","Ocean Beach, California US 89555"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Ocean Beach","California","Ocean Beach, California US 92107"
"Bud Club - Ocean Beach","619-874-4793","CallorText@dontemail.com","","San Diego","CA","San Diego, CA  92107"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92106"
"JL Cannabis","6198500847","colliej621@gmail.com","","Ocean Beach","California","Ocean Beach, California US 92109"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","Ocean Beach","California","Ocean Beach, California  92107"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","Ocean Beach","California","Ocean Beach, California US 92107"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","Ocean Beach","CA","Ocean Beach, CA  92107"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Ocean Beach","California","Ocean Beach, California US 92110"
"Buzzed Bunny","619-900-3354","buzzedbunnyy@gmail.com","","Ocean Beach","CA","Ocean Beach, CA  92121"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92107"
"Budzilla - Ocean Beach","619-836-0619","BudzillaSD619@protonmail.com","","Ocean Beach","CA","Ocean Beach, CA  92107"
"Limitless","619-301-8903","limitlesscollectives@icloud.com","","Ocean Beach","CA","Ocean Beach, CA  92107"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","San Diego","California","San Diego, California US 92107"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","San Diego","California","San Diego, California US 92110"
"Limitless","619-301-8903","limitlesscollectives@icloud.com","","Ocean Beach","Ca","Ocean Beach, Ca  92107"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","San Diego","California","San Diego, California US 92110"
"The Kush Remedy","6193661967","thekushremedy@gmail.com","http://www.thekushremedy.com","Ocean Beach","California","Ocean Beach, California US 92107"
