"Business name","Phone","Email","Website","State","City","Address"
"Sticky Selections","6194937746","Stickyselection710@gmail.com","","Oceanside","California","Oceanside, California US 92054"
"Speedy Weedy Delivery","(657)-333-3336","info@speedyweedydelivery.com","https://speedyweedydelivery.com","Oceanside","California","Oceanside, California US 92054"
"West Coast Farms","7606398735","onthemove92084@gmail.com","","Oceanside","California","Oceanside, California US 92003"
"Bud Rush","760-291-7326","budrush760@gmail.com","","Oceanside","California","Oceanside, California US 92054"
"Better Daze - Oceanside","619-876-3269","betterdazecollective@gmail.com","","Oceanside","California","Oceanside, California US 92056"
"Fuego Meds","619-396-4621","fuegomeds420@gmail.com","","Oceanside","California","Oceanside, California US 92054"
"Cess","760-848-3631","cess@toke.com","","Oceanside","California","Oceanside, California US 92054"
"Dankology- Oceanside","619-504-8134","DANKOLOGYSD@GMAIL.COM","","Oceanside","California","Oceanside, California US 92054"
"Budzilla","6198360619","BudzillaSD619@protonmail.com","","Oceanside","CA","Oceanside, CA  92108"
"House Of Dank","619-383-4740","houseofdank@yahoo.com","","Oceanside","California","Oceanside, California US 92054"
"Green Go","760 637 7837","greengomed@gmail.com","http://greengodelivery.com","Oceanside","CA","Oceanside, CA  92056"
"$100.00 Oz","619-653-4122","iwholesalemedical@icloud.com","","Oceanside","CA","Oceanside, CA  92054"
"Extraction - Oceanside","949-375-8936","extraction420@gmail.com","","Oceanside","CA","Oceanside, CA USA 92056"
"Modern Medicine Delivery","760-575-4020","modernmedicinedelivers@gmail.com","","Oceanside","CA","Oceanside, CA USA 92054"
"Puffy Delivery","760-424-5596","support@puffydelivery.com","http://puffydelivery.com","Oceanside","California","Oceanside, California US 92677"
"The Gas Station Delivery - Oceanside","1 (909) 420-5214","tgsdelivery@yahoo.com","","Oceanside","CA","Oceanside, CA USA 92049"
"North County Organic Healing","858-356-2420","northcountyorganichealing@gmail.com","http://northcountyorganichealing.com","Oceanside","CA","Oceanside, CA  92054"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Oceanside","California","Oceanside, California US 92054"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","Oceanside","CA","Oceanside, CA  92054"
"MCEC - Oceanside","760-299-6232","customerservice@mcecdelivery.com","https://mcecdelivery.com/shopping-cart/","Oceanside","California","Oceanside, California US 92054"
"Super Nova Meds","619-322- 8087","supernovameds@yahoo.com","","Oceanside","California","Oceanside, California US 92054"
"Lunar Smokes","7602995712","lunarsmokescompany@gmail.com","","Oceanside","California","Oceanside, California US 92056"
"Lunar Smokes","7602995712","lunarsmokescompany@gmail.com","","Oceanside","California","Oceanside, California US 92056"
