"Business name","Phone","Email","Website","State","City","Address"
"Recreational - Queen of Dragons","530-840-6420","queenofdragonsdelivery@yahoo.com","http://queenofdragons.com","Oroville/ Chico","CA","Oroville/ Chico, CA USA 95966"
"Rightfully Medicated","530-624-1840","rmdservice@yahoo.com","","Oroville","California","Oroville, California US 95940"
"Recreational - Queen of Dragons","530-840-6420","queenofdragonsdelivery@yahoo.com","http://queenofdragons.com","Oroville","CA","Oroville, CA USA 95966"
"Zente Farms - Oroville","530-420-9001","zentefarms@gmail.com","","Oroville","California","Oroville, California US 95966"
"Table Mountain Meds","408-767-0119","TBD@gmail.com","","Oroville","Ca","Oroville, Ca  95966"
"SilverStreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Oroville","California","Oroville, California US 95965"
"JWC Deliveries -Recreational","916-968-6292","jwcdelivery@gmail.com","http://www.jwcdeliveries.co","Oroville","California","Oroville, California US 95965"
"Max Value","5307740094","btbutte@gmail.com","","Oroville","California","Oroville, California US 95965"
"The THC collective","5309367422","thccollective919191@gmail.com","","Oroville","California","Oroville, California US 95965"
"Ruthless Extracts","(530) 282-9462","velldog1@gmail.com","","Oroville","California","Oroville, California US 95966"
