"Business name","Phone","Email","Website","State","City","Address"
"Speedy Weedy Delivery","619-333-3331","sales@weedydelivers.com","https://speedyweedydelivery.com","Pacific Beach","California","Pacific Beach, California US 92109"
"True Meds Delivery Incorporated","(619) 5043216","truemedsdelivery@gmail.com","","San Diego","CA","San Diego, CA  92109"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92109"
"MedMen Delivery - Pacific Beach","(619) 450-8909","info.sandiego@medmen.com","https://medmen.com/stores/san-diego-kearny-mesa","San Diego","California","San Diego, California US 92109"
"Pakalolo Sunshine","619-980-2597","pakalolosunshine@gmail.com","http://www.pak-sun.org","Pacific Beach","CA","Pacific Beach, CA  92109"
"Happy Time Delivery Pacific Beach","(619) 402-2345","happytimegroup420@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92109"
"Weedfellas","6193179911","weedfellas@yahoo.com","","Pacific Beach","CA","Pacific Beach, CA  92109"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","Del Mar","California","Del Mar, California US 92014"
"Weed Management","6194307153","weedmanagement@yahoo.com","","San Diego","California","San Diego, California US 92109"
"The Kush Remedy","6193661967","thekushremedy@gmail.com","http://www.thekushremedy.com","Pacific Beach","California","Pacific Beach, California US 92109"
"Harbor Collective","6198412045","harborcollective@hotmail.com","http://harbormmcc.com","Pacific Beach","CA","Pacific Beach, CA  92109"
"House Of Dank","6194860730","houseofdank@yahoo.com","","Pacific Beach","Ca","Pacific Beach, Ca  92109"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"Better Budz","858-263-5832","betterbudzpb@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92109"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","San Diego","CA","San Diego, CA  92101"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Pacific Beach","Ca","Pacific Beach, Ca US 92109"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","Pacific Beach","CA","Pacific Beach, CA  92109"
"Bud Club - Pacific Beach","619-874-4793","Callortext@dontemail.com","","San Diego","Ca","San Diego, Ca  92109"
"Limitless Care Collective","619-301-8903","limitlesscollectives@icloud.com","","Pacific Beach","CA","Pacific Beach, CA  92109"
"Quality Control Meds","619-536-5744","qcontrol95@gmail.com","","San Diego","California","San Diego, California US 92109"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","San Diego","California","San Diego, California US 92109"
"Buzzed Bunny","619-900-3355","buzzedbunnyy@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92121"
"Limitless","619-301-8903","limitlesscollectives@icloud.com","","Pacific Beach","CA","Pacific Beach, CA  92109"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92109"
"Express Care","619-631-9592","Expresscaresd@gmail.com","","Pacific Beach","CA","Pacific Beach, CA (Select a country) 92107"
"Limitless","619-301-8903","limitlesscollectives@icloud.com","","Pacific Beach","Ca","Pacific Beach, Ca  92109"
"Poseidon's Buds","(619) 323-6897","poseidonsbuds@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92109"
"Better Budz","858-263-5832","betterbudzpb@gmail.com","","Pacific Beach","California","Pacific Beach, California US 92109"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","Pacific Beach","California","Pacific Beach, California US 92109"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","Vista","California","Vista, California US 92083"
"Golden State Greens Point Loma","6192688035","delivery@goldenstategreens.com","","Pacific Beach","California","Pacific Beach, California US 92109"
