"Business name","Phone","Email","Website","State","City","Address"
"SoCal Kings Collective","7609922615","socalkingscollective@yahoo.com","","Palm Desert","CA","Palm Desert, CA USA 92211"
"Flower Market Delivery - Palm Desert","844-420-3030","Hello@flowermarket.delivery","https://flowermarket.delivery/","Palm Desert","California","Palm Desert, California US 92260"
"420 Oasis","760-507-9887","info@the420oasis.com","","Palm Desert","California","Palm Desert, California US 92211"
"Leef Industries","(760) 832-9222","support@leefindustries.com","","Palm Desert","California","Palm Desert, California US 92260"
"BEST FRIENDS FARM","760-660-5579","bestfriendsfarm420@gmail.com","http://www.bestfriendsfarm.org","Rancho Mirage","CA","Rancho Mirage, CA USA 92270"
"Ultra Meds","(760) 620-8133 ","Deliveryultrameds@gmail.com","","Indio","California","Indio, California US 92201"
"Coachella Lighthouse Delivery","442-256-3627","info@lighthousedispensary.com","https://www.lighthousedispensary.com/","Coachella Valley","CA","Coachella Valley, CA USA 92201"
"Desert Flowers","7603339166","desertflowers2018@gmail.com","","Palm Desert","California","Palm Desert, California US 92210"
"Alternative 2 Pharma","760-899-7896","TheA2PCollective@gmail.com","","La Quinta","CA","La Quinta, CA  92253"
"Douja Meds","760-851-1892","Doujameds420@gmail.com","","La Qunita","CA","La Qunita, CA  92253"
"California Gold","7608242740","CaliGold16@gmail.com","","Palm Desert","California","Palm Desert, California US 92260"
"Green Heart Delivery","(760) 641-6090 ","greenheartcaregivers@gmail.com","http://GREENHEART710.COM","Palm Desert","CA","Palm Desert, CA (Select a country) 92260"
"Desert Farmacy","(760)641-6548","desertfarmacy4@gmail.com","","Indio","California","Indio, California US 92201"
"Highlight K","7606099459","Highlitecannabis@yahoo.com","","la quinta","California","la quinta, California US 92253"
"Desert Heart Collective","760-565-1501","desertheartcollective@yahoo.com","","Rancho Mirage","CA","Rancho Mirage, CA  92270"
"Prime Time","760-401-9270","primetime710delivery@gmail.com","","Palm Desert / Rancho Mirage","California","Palm Desert / Rancho Mirage, California US 92260"
"Fire House Collective","760 219 6739","firehousecollective1@gmail.com","","Rancho Mirage","California","Rancho Mirage, California US 92270"
"Only the Best Curbside & Delivery","760-610-4747","otbmmj2@gmail.com","http://www.cdxxbakery.com","Palm Desert","CA","Palm Desert, CA USA 92260"
"All Caring Delivery","760-574-9002","allcaringdelivery@gmail.com","","indio","CA","indio, CA  92201"
"G's Finest","760-600-6593","Gsfinestdelivery@gmail.com","","Indio","California","Indio, California US 92236"
"Only the Best Curbside & Delivery","760-610-4747","otbmmj2@gmail.com","http://www.cdxxbakery.com","Indio","California","Indio, California US 92201"
"Gs Finest","(760) 600-6593","Gsfinestdelivery@gmail.com","","La Quinta","California","La Quinta, California US 92253"
"California Care Group","760-219-0692","delivery@calicaregroup.com","http://www.calicaregroup.com","Indio","California","Indio, California US 92253"
