"Business name","Phone","Email","Website","State","City","Address"
"The Micro Buddery","7606000739","support@themicrobuddery.com","https://themicrobuddery.com/delivery/","Palm Springs","California","Palm Springs, California US 92262"
"Flower Market Delivery - Palm Springs","844-420-3030","Hello@flowermarket.delivery","https://flowermarket.delivery/","Palm Springs","California","Palm Springs, California US 92262"
"Coachella Lighthouse Delivery","442-256-3627","info@lighthousedispensary.com","https://www.lighthousedispensary.com/","Palm Springs","CA","Palm Springs, CA USA 92262"
"420 Oasis","760-507-9887","info@the420oasis.com","https://the420oasis.com","Palm Springs","California","Palm Springs, California US 92264"
"Leef Industries","(760) 832-9222","support@leefindustries.com","","Palm Springs","California","Palm Springs, California US 92262"
"Meds on Demand","818-747-6485","medsondemand420@gmail.com","","Desert Hot Springs","California","Desert Hot Springs, California US 92240"
"Roadrunner Desert Delivery","(760) 799 - 1833","roadrunnergreenery@gmail.com","http://www.roadrunnerdesertdelivery.com","Palm Springs","California","Palm Springs, California US 92262"
"EXOTIC MEDS","(760) 799-4490","exoticmedss@yahoo.com","","Thousand Palms","CA","Thousand Palms, CA USA 92270"
"Only the Best Curbside & Delivery","760-610-4747","otbmmj2@gmail.com","http://www.cdxxbakery.com","Palm Springs","California","Palm Springs, California  92262"
"Brown Dog Delivery","COMING SOON","browndogcoop@gmail.com","","Desert Hot Springs","California","Desert Hot Springs, California US 92234"
