"Business name","Phone","Email","Website","State","City","Address"
"Sticky Selections","7607172041","Stickyselection710@gmail.com","","Poway","California","Poway, California US 92126"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Poway","California","Poway, California US 92064"
"Speedy Weedy Delivery"," 619-333-3331","sales@weedydelivers.com","https://speedyweedydelivery.com","Poway","California","Poway, California US 92126"
"The Great Meds","(619) 558-8963","thegreatmgmt@gmail.com","","Poway","California","Poway, California US 92126"
"WEEDRIVE","6194022849","weedrive1@gmail.com","http://www.weedriveusa.com","Poway/Mira Mesa","CA","Poway/Mira Mesa, CA  92064"
"Dankology- Poway","619-504-8134","DANKOLOGYSD@GMAIL.COM","","Poway","California","Poway, California US 92128"
"Paradise Greens Collective","619-654-6843","greensparadise@yahoo.com","","Poway","California","Poway, California US 92025"
"Bud Rush","760-291-7326","budrush760@gmail.com","","poway","California","poway, California US 92131"
"House Of Dank","619-383-4740","HOUSEOFDANK@YAHOO.COM","","Poway","CA","Poway, CA  92126"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","North San Diego","California","North San Diego, California US 92129"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Poway","California","Poway, California US 92126"
"Superfly Delivery","858-717-0563","superflydeliverysd@gmail.com","","Poway","California","Poway, California US 92126"
"Fire Meds San Diego","760-317-8888","TBD@gmail.com","","San Diego","California","San Diego, California US 92121"
"Holy Green","619-387-6952","forbiddengreen@yahoo.com","","San Diego","California","San Diego, California US 92128"
"Herbs & Meds","858-648-8678","herbsnmeds@gmail.com","","Poway","California","Poway, California US 92064"
"Weed Management","6194307153","weedmanagement@yahoo.com","","poway","California","poway, California US 92064"
"Mack and Bros.","(858) 410-0444","delivery@mackandbros.com","http://www.mackandbros.com","Poway","California","Poway, California US 92064"
"A+ Deliveries","858-868-1828","aplusdeliveries619@gmail.com","","San Diego","CA","San Diego, CA  92126"
"Freedom Farmers","619-388-9638","FreedomFarmers@yahoo.com","","San Diego","CA","San Diego, CA  92123"
"Quality Therapeutics","619-536-8932","qualitytherapeutics@gmail.com","http://www.qualitytherapeutics.org","San Diego","California","San Diego, California US 92064"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","San Diego","CA","San Diego, CA  92126"
"Duckys Meds","619-404-8705","duckys619@gmail.com","","Poway","California","Poway, California US 92025"
"Need 4 Weed","(619)635-5694","N4W619@gmail.com","","Poway/Mira Mesa","California","Poway/Mira Mesa, California US 92126"
"March and Ash Delivery","(619) 314-7336","info@marchandash.com","http://www.marchandash.com","Poway","California","Poway, California US 92064"
"Buzzed Bunny","619-900-3355","buzzedbunnyy@gmail.com","","San Diego","California","San Diego, California US 90001"
"Stone Zone Delivery - San Diego","619-354-0022","stonezonesd@gmail.com","","San Diego","California","San Diego, California US 92128"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Mira Mesa/Poway/Miramar","California","Mira Mesa/Poway/Miramar, California US 92126"
"5G Exclusive","858-265-8964","4gdank@gmail.com","","Poway","California","Poway, California US 92129"
