"Business name","Phone","Email","Website","State","City","Address"
"NorCal Holistics","(916) 993-5361 ","orders@norcalholistics.org","http://www.norcalholistics.org","Roseville","California","Roseville, California US 95678"
"Exclusive Care","916-850-9607","exclusivecare916@gmail.com","","Roseville","California","Roseville, California US 95661"
"California Best Genetics","(916) 241-3985","calisbestcannabis.ca@gmail.com","https://www.calibestgenetics.com/","Roseville","California","Roseville, California US 95678"
"Ohana Gardens","(916)-354-9646","Info@ohanagardens.org","http://OhanaGardens.org","Roseville","California","Roseville, California US 95661"
"Convnt (Meditation Meds)","9166637138","MeditationMeds420@gmail.com","https://www.convnt.com","Roseville","California","Roseville, California US 92832"
"CannaBeasts","(916) 800-7873","cannabeast18@gmail.com","http://cannabeast.co","Roseville","California","Roseville, California US 95678"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Roseville","CA","Roseville, CA  95747"
"Go Green","916-547-0013","go_green85@yahoo.com","","Roseville","CA","Roseville, CA  95678"
"Gaia Xpress","9162560431","greengaiaxpress@gmail.com","","Roseville","CA","Roseville, CA USA 95678"
"Sac Medical Extracts","916-476-7859","sacmedicalextracts@gmail.com","","Roseville","California","Roseville, California US 95677"
"Potkings"," (916)472-4194  ","potkings916@gmail.com","","Roseville","California","Roseville, California US 95747"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Roseville","California","Roseville, California US 95678"
"Citadel Alternative Care - Roseville","844-778-6741","order.citadel@gmail.com","","Roseville","CA","Roseville, CA  95678"
"VIP Express","916-500-8103","exclusivecare916@gmail.com","","Rocklin","California","Rocklin, California US 95650"
"DubHub","916-420-0926","dubhub916@gmail.com","","Roseville","California","Roseville, California US 95678"
"Trees Of Knowledge","9164948424","info@treesofknowledge.net","http://www.treesofknowledge.net","Roseville","California","Roseville, California US 95765"
"Premium Meds","916-226-5336","premiummeds916@gmail.com","","Roseville/Rocklin","CA","Roseville/Rocklin, CA  95677"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Roseville","Ca","Roseville, Ca (Select a country) 95678"
"Green Frog","9164107839","4greenfrogdelivery@gmail.com","","Roseville","CA","Roseville, CA (Select a country) 95747"
"Cali Cannabliss Health & Wellness","9162258681","420calideals@gmail.com","","Roseville","California","Roseville, California US 95678"
"NORCANNA INC","916-671-3446","Norcanna@gmail.com","http://www.NORCANNA.com","Rosville","CA","Rosville, CA  95678"
"Mountain High Recreation","(916) 673-7100","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Roseville","CA","Roseville, CA  95678"
"I Heart Canna - Roseville / Rocklin","1 (844) 882-2662","iheartcannasacramento@gmail.com","https://iheartcanna.club/sacramento-menu/","Roseville","California","Roseville, California US 95747"
"Sacramento Confidential Delivery","(530) 404-0462","scdprop215@gmail.com","","Roseville","California","Roseville, California US 95765"
"Space Boy X","916 582-1996","spaceboyxpress@gmail.com","","Roseville","California","Roseville, California US 95678"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Roseville","California","Roseville, California US 95661"
"Fire Farms","9164308500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Roseville","CA","Roseville, CA  95678"
"Humble Root","9167935182","orders@humbleroot.com","http://humbleroot.com","Roseville","CA","Roseville, CA  95678"
"I Heart Canna - Lincoln","1 (844) 882-2662","iheartcannasacramento@gmail.com","https://iheartcanna.club/sacramento-menu/","Lincoln","CA","Lincoln, CA USA 95648"
"VIP Express","916-500-8103","exclusivecare916@gmail.com","","Lincoln","California","Lincoln, California US 95648"
"Calm and Collective, Inc.","916-919-6877","Sacgrower@gmail.com","http://Calmandcollective.org","Roseville","California","Roseville, California US 95661"
