"Business name","Phone","Email","Website","State","City","Address"
"Organic Care of California","9163464233","organiccareofcalifornia@gmail.com","http://Organiccareofcalifornia.com","Sacramento","CA","Sacramento, CA  95822"
"DubHub","916-917-0697","dubhub916@gmail.com","","Sacramento","California","Sacramento, California US 95820"
"STC Alternative Healing","916-661-1542","info@stcalternativehealing.com","http://www.stcalternativehealing.com","Sacramento","CA","Sacramento, CA USA 95820"
"Citadel Alternative Care - South Sacramento","844-778-6741  ","order.citadel@gmail.com","","Sacramento","CA","Sacramento, CA USA 95826"
"Vibe by California | Alpine | Sacramento","916-739-6337","alpinealternative@gmail.com","http://www.vibesacramento.com","sacramento","California","sacramento, California US 95826"
"Premium Meds","916-226-5336","Premiummeds916@gmail.com","","Sacramento South","CA","Sacramento South, CA USA 95670"
"Nature's Remedy","(510)-967-3508","naturesremedies@yahoo.com","","Sacramento","California","Sacramento, California US 95823"
"Calm and Collective, Inc.","916-919-6877","Sacgrower@gmail.com","http://Calmandcollective.org","Sacramento South","CA","Sacramento South, CA  95818"
"SilverStreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Sacramento South","CA","Sacramento South, CA (Select a country) 95820"
"SweetPot","(916) 803-5051","sweetpot3400@gmail.com","https://weedmaps.com/new_admin/deliveries/trapweed-2/edit","Sacramento South","California","Sacramento South, California US 95818"
"The Green Depot"," 916-889-3791","oaklandraiders42012@yahoo.com","","Sacramento","California","Sacramento, California US 94203"
"InstaGramz","9162246584","Instagramzz916@gmail.com","","Sacramento","CA","Sacramento, CA (Select a country) 95822"
"Jay Goods Delivery","(916) 519-5747","jaygoodsdelivery@gmail.com","http://jaygoods.store","Sacramento","California","Sacramento, California US 95820"
"Green Frog","9164107839","4greenfrogdelivery@gmail.com","","Sacramento","CA","Sacramento, CA (Select a country) 95818"
"Earthman Meds","(916) 538-9468","earthmanmeds@gmail.com","","Sacramento Pocket","CA","Sacramento Pocket, CA USA 95831"
"Cannaisseur - Sac State","(844) 916-WEED","cannaisseurcollective916@gmail.com","","Sacramento","California","Sacramento, California US 95826"
"Puffy Delivery - South Sacramento","(916) 226-1789","support@puffydelivery.com","http://puffydelivery.com","Sacramento","California","Sacramento, California US 95818"
"Dank Dash","9166617324","dankdashcoop@gmail.com","","Sacramento","CA","Sacramento, CA  95826"
"CannaBeasts","(916) 800-7873","cannabeast18@gmail.com","http://cannabeast.co","Sacramento","California","Sacramento, California US 95817"
"Sacramento Confidential Delivery","(916) 520-4512","scdprop215@gmail.com","","Sacramento","California","Sacramento, California US 95826"
"Fire Farms","9164308500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Sacramento","CA","Sacramento, CA  95831"
"Cannaisseur - Sac City","(844) 916-WEED","cannaisseurcollective916@gmail.com","","Sacramento","","Sacramento, US 95818"
"Thc Garden","916-248-2883","thcgarden415@gmail.com","","Sacramento","California","Sacramento, California US 95817"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Sacramento South","California","Sacramento South, California US 95818"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Sacramento","California","Sacramento, California US 95823"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Sacramento","California","Sacramento, California US 95820"
"Potkings","(916) 472-4194  ","potkings916@gmail.com","","Sacramento","California","Sacramento, California US 92651"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Sacramento","California","Sacramento, California US 95826"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Sacramento","California","Sacramento, California US 95817"
