"Business name","Phone","Email","Website","State","City","Address"
"The Re-Up","916.891.7646","TheCannabisReUp@gmail.com","http://TheCannabisReUp.com","Sacramento","California","Sacramento, California US 95825"
"DubHub","(916)917-0697","dubhub916@gmail.com","","Sacramento","California","Sacramento, California US 95814"
"Ohana Gardens","(916)-354-9646","Info@ohanagardens.org","http://OhanaGardens.org","Sacramento","California","Sacramento, California US 95821"
"Canna-Couriers","916-579-4002","order@cannacouriersdelivery.com","https://www.cannacouriersdelivery.com/","Sacramento","California","Sacramento, California US 95401"
"Organic Care of California","9163464233","Organiccareofcalifornia@gmail.com","http://Organiccareofcalifornia.com","Sacramento","CA","Sacramento, CA  95822"
"Jay Goods Delivery","(916) 519-5747","jaygoodsdelivery@gmail.com","http://jaygoods.store","Sacramento","California","Sacramento, California US 95816"
"STC Alternative Healing","916-661-1542","info@stcalternativehealing.com","http://www.stcalternativehealing.com","Sacramento","CA","Sacramento, CA USA 95826"
"Gaia Xpress","9162560431","greengaiaxpress@gmail.com","","Sacramento","CA","Sacramento, CA USA 95816"
"FLOWER CO.","415-360-0896","hello@flowercompany.com","https://www.flowercompanynow.com/","Sacramento","California","Sacramento, California US 95816"
"Zipp Delivery - Sacramento","916-318-9931","zippdelivery1@gmail.com","","Sacramento","California","Sacramento, California US 95816"
"Trees Of Knowledge","916-494-8424","info@treesofknowledge.net","http://www.treesofknowledge.net","Sacramento","California","Sacramento, California US 95814"
"Premium Meds","916-226-5336","Premiummeds916@gmail.com","","Sacramento","CA","Sacramento, CA Sacramento County 95816"
"Herbmates","9162388052","420deliveryservicedispatch@gmail.com","","Sacramento","CA","Sacramento, CA  90001"
"Cali Cannabliss Health & Wellness","9162258681","420calideals@gmail.com","","Sacramento","California","Sacramento, California US 95811"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Sacramento","CA","Sacramento, CA (Select a country) 95814"
"Sacramento Confidential Delivery","(916) 520-4512","scdprop215@gmail.com","","Natomas","California","Natomas, California US 95833"
"Green Frog","9164107839","4greenfrogdelivery@gmail.com","","Sacramento/Natomas","CA","Sacramento/Natomas, CA USA 95835"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Sacramento","CA","Sacramento, CA  95833"
"California Green Cross","(916) 600-0211","orders@californiagreencross.org","https://www.californiagreencross.org","Sacramento","California","Sacramento, California US 95818"
"Puffy Delivery","(916) 226-1789","support@puffydelivery.com","http://puffydelivery.com","Sacramento","California","Sacramento, California US 95816"
"Exclusive Care","916-990-7070","exclusivecare916@gmail.com","","Sacramento","CA","Sacramento, CA  95815"
"I Heart Canna - Sacramento"," 1 (844) 882-2662","iheartcannasacramento@gmail.com","https://iheartcanna.club/sacramento-menu/","Sacramento","CA","Sacramento, CA USA 95814"
"Earthman Meds","(916) 538-9468","earthmanmeds@gmail.com","","Sacramento","CA","Sacramento, CA USA 95819"
"The Plug Inc","916-794-5754","theplug916@gmail.com","","Sacramento","California","Sacramento, California US 95834"
"Puffin Exoticz","916-758-7015","puffinexoticz@gmail.com","","Sacramento","California","Sacramento, California US 95811"
"Earthman Meds","916-538-9468","earthmanmeds@gmail.com","","Natomas","CA","Natomas, CA USA 95833"
"Mountain High Recreation","(916) 673-7100","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Sacramento","CA","Sacramento, CA  95816"
"Cannaisseur - Midtown","(844)916-WEED","cannaisseurcollective916@gmail.com","","Sacramento","California","Sacramento, California US 95811"
"Ghostbudz","(916) 235-3640","ghostbudz420@gmail.com","","Sacramento","California","Sacramento, California US 95816"
"Buds Galaxy","707-655-5935","allaboutthebiz100@gmail.com","","Sacramento","California","Sacramento, California US 95818"
"CannaBeasts","(916) 800 7873","cannabeasts18@gmail.com","http://cannabeasts.co","Sacramento","California","Sacramento, California US 95815"
"ganjarunner","(855) 554-2652","contact@ganjarunner.com","http://ganjarunner.com","Sacramento","California","Sacramento, California US 95816"
"Royal Cannabis","916-717-4715","ROYALWEEDMAPS@GMAIL.COM","","Sacramento","California","Sacramento, California US 95834"
"Urban Flavours Delivery - Rio Linda","855-232-7229","orders@urbanflavoursdelivery.com","http://Urbanflavoursdelivery.com","Sacramento","California","Sacramento, California US 92651"
"INFINITE DELIVERY","916-265-4011","info@infinitedelivery.net","http://www.infinitedelivery.net","Sacramento","California","Sacramento, California US 95811"
"Tetra Healing Company","9165336375","jharris@artemis-8.com","http://www.Tetrahealingco.com","Sacramento","California","Sacramento, California US 95811"
"Dank Dash","9166617324","dankdashcoop@gmail.com","","Sacramento","CA","Sacramento, CA  95838"
"Fire Farms","916-430-8500","Fire_Farms@aol.com","http://www.firefarmsdelivery.com","Sacramento","CA","Sacramento, CA  95814"
"Potkings","(916) 472-4194  ","potkings916@gmail.com","","Sacramento","California","Sacramento, California US 92651"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Sacramento","California","Sacramento, California US 94249"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Sacramento","California","Sacramento, California US 95833"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Sacramento","California","Sacramento, California US 95811"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Sacramento","California","Sacramento, California US 95819"
