"Business name","Phone","Email","Website","State","City","Address"
"OMG Delivery San Bernardino","951-203-5896","omgdelivery909@gmail.com","","San Bernardino","California","San Bernardino, California US 92410"
"Green Tree Remedy","3238005420","gtrdelivery@gmail.com","","San Bernardino","CA","San Bernardino, CA  92410"
"Inland Plug","(909) 961-5692","inlandplug4200@gmail.com","https://www.instagram.com/inlandplug4200/","San Bernardino","California","San Bernardino, California US 92346"
"Dank City OGs","909-713-4048 TEXT ONLY","NOVENDORS@NOVENDORS.COM","","San Bernardino","CA","San Bernardino, CA  92410"
"Green Bee Meds - San Bernardino","(909) 251-2465","GreenBeeMeds420@gmail.com","","San Bernardino","California","San Bernardino, California US 92401"
"HERBPOCALYPSE","9095014091","herbpocalypse@gmail.com","","San Bernardino","California","San Bernardino, California US 92408"
"Danks R Us","909-277-8703","bowlsfor2@gmail.com","","San Bernardino","California","San Bernardino, California US 90001"
"SoCAL Green Meds - San Bernardino","760-514-7007","patientinfo@socalgreenmeds.com","","San Bernardino","California","San Bernardino, California US 92410"
"Dank SB Delivery","5555555555","leaf420delivery@gmail.com","","San Bernardino","California","San Bernardino, California US 92407"
"PMA Collective","9092122029","ckcsb420@gmail.com","","San Bernardino","California","San Bernardino, California US 92404"
"From The Heart - San Bernardino","909-553-1279","fromtheheart082014@gmail.com","","San Bernardino","CA","San Bernardino, CA USA 92407"
"Dank Bank Collective","909-533-0065","supersticky710@gmail.com","","San Bernardino","CA","San Bernardino, CA USA 92401"
"The Green Box Assoc.","909-277-0967","deliverynuggs13@gmail.com","","San Bernardino","CA","San Bernardino, CA USA 92405"
"Rehab Delivery","4422679282","rehabdelivery@gmail.com","http://www.rehabdeliveries.com","San Bernardino","California","San Bernardino, California US 92405"
"BLACK EDEN","909-419-2385","BLACKEDEN420@gmail.com","http://www.blackeden420.com","San Bernardino","California","San Bernardino, California US 92407"
"Chocolate City Collective","951-347-8439","chocolatecitycollective@yahoo.com","","San Bernardino","CA","San Bernardino, CA  92407"
"Weed on Wheels","3233781925","weedonwheels19@gmail.com","","San Bernardino","California","San Bernardino, California US 92410"
"Todays Meds - San Bernardino","1-877-420-Meds","todaysmeds@yahoo.com","http://www.todaysmeds.com","Highland","CA","Highland, CA  92346"
"Green Rush Extracts","909-435-1057","therealgreenrush89@gmail.com","","San Bernardino","California","San Bernardino, California US 92346"
"The House Of Ounces","2132145440","TheLAhouseofounces@gmail.com","","fontana","California","fontana, California US 92316"
