"Business name","Phone","Email","Website","State","City","Address"
"So Cal Members","9092696783 TEXTONLY","SoCalMembers420@Gmail.com","","San Dimas","California","San Dimas, California US 91773"
"SGV MED EXPRESS","626-200-3587","sgv20132@yahoo.com","","San Dimas","Ca","San Dimas, Ca  91733"
"35 Cap PRC - La Verne","(909) 242-9226","prc40cap@gmail.com","","La Verne","CA","La Verne, CA  91750"
"Bud Run","(909) 938-4222","budrun3@gmail.com","","San Dimas","California","San Dimas, California US 91773"
"Best Remedy","626-371-5321","sgvbestremedy@yahoo.com","","La verne / San Dimas","CA","La verne / San Dimas, CA  91750"
"Wings of Wellness - La Verne","(909) 921-7447","wingsofwellnesie@gmail.com","http://wingsofwellnesie.com","La Verne","California","La Verne, California US 91750"
"The Green Goose","(626)848-5060","thegreengoose420@gmail.com","","San Dimas","CA","San Dimas, CA  91773"
"Golden leaf","818-726-0600","weedmaps@goldenleaf420.com","http://goldenleaf420.com","San Dimas","California","San Dimas, California US 91773"
"Pot Mates","6262067594","potmatesdelivery420@gmail.com","","La Verne","California","La Verne, California US 91750"
"World Class Cannabis","949-554-4233","WorldClassCannabis420@gmail.com","","La Verne","California","La Verne, California US 91750"
"Buderfly Delivery","909-438-7592","buderflydelivery@outlook.com","","San Dimas","California","San Dimas, California US 91750"
"Pot Mates","6262067594","potmatesdelivery420@gmail.com","","La Verne","California","La Verne, California US 91750"
"Pot Mates","6262067594","potmatesdelivery420@gmail.com","","San Dimas","California","San Dimas, California US 91773"
"Mellow Martian - La Verne","626-720-9344","mellowmartiancollective@gmail.com","http://mellowmartian.com","La Verne","CA","La Verne, CA USA 91750"
"Mr.Chowws Remedies","909-706-5526","MrChowwsRemedies@Yahoo.com","","La Verne","CA","La Verne, CA  91750"
"Honor Roll Delivery","(888) 884-7229","honorrolldelivery@gmail.com","http://www.honorrolldelivery.com","San Dimas","California","San Dimas, California US 91773"
"Green Pinnacle","909-345-4373","GreenPinnacle420@gmail.com","","San Dimas","CA","San Dimas, CA  91773"
"OG Pharmacy","9094564169","og.pharmacyco@gmail.com","https://ogpharmacy.dropdelivery.app","La Verne","California","La Verne, California US 91750"
"Hyperwolf - San Dimas 2.0","310-566-8384","order@hyperwolf.com","http://www.HyperWolf.com","San Dimas","California","San Dimas, California US 91773"
"Wee-Delivery Medical Marijuana Collective","888-422-9658","donationsweedelivery@gmail.com","http://wee-delivery.com","San Dimas","Ca","San Dimas, Ca  90042"
"Route 22","909-569-4529","myroute2248@yahoo.com","","San Dimas","California","San Dimas, California US 91773"
"Hyperwolf - La Verne 2.0","951-200-2088","info@Hyperwolf.com","http://Hyperwolf.com","La Verne","California","La Verne, California US 91750"
"THRC - VERIFIED PRODUCTS","(323) 868-2207","THRC1012@gmail.com","","San Dimas","California","San Dimas, California US 91773"
