"Business name","Phone","Email","Website","State","City","Address"
"Fast Meds Delivery 805 - Oxnard","(805) 396-4004","FastMedsDelivery805@gmail.com","","Oxnard","California","Oxnard, California US 93033"
"Beez Delivery","805-585-7377","beezdelivery420@gmail.com","","Oxnard","California","Oxnard, California US 93030"
"Gold Coast Meds","323-834-2748","support@goldcoastmeds.com","http://GoldCoastMeds.com","Oxnard","CA","Oxnard, CA USA 93030"
"Tree Factory","844-420-8733","thebesttrees805@gmail.com","","Oxnard","California","Oxnard, California US 93033"
"LA Rush - Camarillo","(818) 724-9797","larush818@gmail.com","","Oxnard","CA","Oxnard, CA USA 93030"
"GREEN CROSS DELIVERY","805-400-0197","greencrossventura@gmail.com","","OXNARD","California","OXNARD, California US 93030"
"Tasty Farms Delivery - Oxnard","805 290 2818","tastyfarmsdelivery@gmail.com","","Oxnard","California","Oxnard, California US 93030"
"Smart Meds Delivery","(805) 444-8124","smartmedsdelivery@yahoo.com","","Oxnard","CA","Oxnard, CA USA 93035"
"805 Alternative Wellness - Oxnard","8054162420","805awc@protonmail.com","https://805aw.com/","Oxnard","California","Oxnard, California US 93030"
"Budah Man Collective","(805) 663-7774","budahman2015@gmail.com","","Oxnard","CA","Oxnard, CA  93030"
"C.A.M Group","805-509-8236","collabrativealternativemeds@gmail.com","","OXNARD","California","OXNARD, California US 93041"
"The City Delivery 805","8054208746","thecitydelivery805@gmail.com","","Oxnard","California","Oxnard, California US 93030"
"Tasty Farms Delivery - Camarillo","805 290 2818","tastyfarmsdelivery@gmail.com","","Camarillo","California","Camarillo, California US 93010"
"Firehouse Caregivers Camarillo","805-901-0121","firehousecaregivers@gmail.com","","Camarillo","CA","Camarillo, CA USA 93010"
"Firehouse Caregivers Oxnard","805-901-0121","firehousecaregivers@gmail.com","","Oxnard","CA","Oxnard, CA USA 93030"
"Cali Coast Delivery","805-980-8293","registration@calicoast420.com","http://www.calicoast420.com","Oxnard","California","Oxnard, California US 93003"
"Ventura Collective","805-760-1658","info@venturacollective.com","http://www.venturacollective.com","Ventura County","CA","Ventura County, CA USA 93041"
"Presidential Collective - Oxnard","1-(805)-270-9837","presidentialcollective2019@gmail.com","","Oxnard","CA","Oxnard, CA (Select a country) 93036"
"Fast Meds Delivery 805 - North Oxnard","(805)396-4004","fastmedsdelivery805@gmail.com","","Oxnard","California","Oxnard, California US 93033"
"Doober805","805-421-9449","doober805@gmail.com","http://Doober805.com","Oxnard","California","Oxnard, California US 93036"
"Gold Coast Meds","323-834-2748","support@goldcoastmeds.com","http://GoldCoastMeds.com","Camarillo,","CA","Camarillo,, CA USA 93010"
"GREEN CROSS DELIVERY","805-400-0197","greencrossventura@gmail.com","","Oxnard","California","Oxnard, California US 93030"
"Firehouse Caregivers - Port Hueneme","805-901-0121","firehousecaregivers@gmail.com","","Port Hueneme","CA","Port Hueneme, CA USA 93033"
"Bleu Diamond - Oxnard / Camarillo","(805) 310-1078","bleudiamondco@gmail.com","https://www.bleudiamondco.com/","Oxnard","California","Oxnard, California US 93036"
"Fast Meds Delivery 805 - Camarillo","(805)396-4004","FastMedsDelivery805@gmail.com","","Camarillo","California","Camarillo, California US 93010"
"Emberz Delivery","3109350063","emberzdelivery@gmail.com","https://emberzdelivery.com/","Oxnard","California","Oxnard, California US 93030"
